,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,1521.90000,139.60000,-66.90000,72.70000,-84.10000,-213.40000,-51.90000,-376.40000,1218.20000,-244.60000,-20.20000,-109.60000,,689.80000,689.80000,-63.10000,252.30000,-0.20000,-0.20000,-1580.70000,-1580.70000,-3.60000,-1584.50000,-94.80000,126.80000
2021-12-31,1503.10000,134.80000,-80.30000,54.50000,-91.10000,19.00000,-10.60000,174.50000,1732.10000,-325.80000,-4.00000,-13.10000,,-1350.10000,-1350.10000,-29.50000,-1722.50000,-1.80000,-1.80000,-354.20000,-354.20000,-0.30000,-356.30000,-332.80000,109.30000
2020-12-31,823.40000,107.20000,352.00000,459.20000,41.90000,-120.60000,-12.20000,-228.30000,1054.30000,-407.00000,-0.30000,-10.00000,,-74.70000,-74.70000,-39.10000,-531.10000,-0.80000,-0.80000,-484.90000,-484.90000,-1.20000,-486.90000,15.80000,92.60000
2019-12-31,1046.90000,89.30000,43.50000,132.80000,-88.00000,-105.40000,36.90000,3.20000,1182.90000,-254.40000,-24.00000,-135.20000,,-158.20000,-158.20000,-24.00000,-595.80000,-10.00000,-10.00000,-102.80000,-102.80000,-2.80000,-115.60000,468.50000,81.30000
2018-12-31,722.20000,77.40000,349.80000,427.20000,-28.70000,-65.70000,17.00000,-222.70000,926.70000,-238.70000,-3.00000,,,342.00000,342.00000,-23.60000,76.70000,-437.30000,-437.30000,-648.50000,-648.50000,-15.40000,-1101.20000,-104.30000,71.00000
2017-12-31,583.60000,81.90000,94.30000,176.20000,-27.80000,-124.00000,5.20000,240.90000,1000.70000,-168.10000,-7.40000,-192.90000,,-231.29990,-231.29990,-47.50000,-647.20000,176.30000,176.30000,-649.50000,-649.50000,,-473.20000,-111.80000,61.60000
2016-12-31,569.50000,71.20000,-35.80000,35.40000,-60.40000,-65.60000,42.70000,99.50000,704.40000,-176.10000,-41.30000,,-9.80000,14.30010,4.50000,1.20000,-211.70000,222.10000,222.10000,-559.00000,-559.00000,68.40000,-268.50000,211.70000,56.90000
2015-12-31,494.90000,65.80000,-75.20000,-9.40000,-38.30000,-67.70000,6.30000,64.20000,549.70000,-102.70000,-3.80000,-331.60000,-9.20000,128.80000,119.60010,2.40000,-316.10000,1.90000,1.90000,-192.90000,-192.90000,32.40000,-158.60000,64.60000,49.90000
2014-12-31,811.10000,68.60000,-58.30000,10.30000,-26.80000,-30.50000,17.20000,200.90000,1022.30000,-79.80000,-10.80000,-15.00000,-359.60000,-167.80000,-527.40000,,-633.00000,-12.70000,-12.70000,-187.60000,-187.60000,47.30000,-153.00000,233.40000,48.30000
2013-12-31,389.10000,62.90000,-31.80000,31.10000,8.50000,-44.40000,7.60000,52.50000,472.70000,-106.70000,-1.10000,,-298.20000,-2.70000,-300.90000,-4.00000,-412.70000,409.60000,409.60000,-451.40000,-451.40000,76.70000,34.90000,109.50000,47.40000
2012-12-31,291.50000,53.70000,-37.60000,16.10000,-26.50000,-21.70000,20.00000,54.50000,362.10000,-106.00000,-7.00000,-36.60000,69.10000,0.80000,69.90000,0.90000,-78.80000,39.50000,39.50000,-244.00000,-244.00000,48.90000,-155.60000,139.70000,42.10000
2011-12-31,236.70000,58.00000,49.50000,107.50000,-53.70000,-57.00000,19.30000,-36.00000,308.20000,-72.70000,-7.70000,-42.60000,-290.30000,6.80000,-283.50000,,-406.50000,104.40000,104.40000,-243.90000,-243.90000,4.30000,-135.20000,-224.90000,35.00000
2010-12-31,218.00000,56.50000,-22.00000,34.50000,-34.20000,-36.80000,6.30000,-1.10000,251.40000,-55.20000,-1.20000,,-0.40000,-4.70000,-5.10000,,-61.50000,-48.40000,-48.40000,-107.90000,-107.90000,52.40000,-103.90000,62.00000,29.30000
2009-12-31,229.10000,58.70000,-68.40000,-9.70000,-51.60000,-13.10000,7.90000,-54.10000,165.30000,33.90000,0.00000,,9.70000,-3.50000,6.20000,,40.10000,-84.60000,-84.60000,-28.80000,-28.80000,21.60000,-91.80000,115.40000,28.30000
