,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,4562.00000,1344.00000,618.00000,1962.00000,-47.00000,,161.00000,-199.00000,6325.00000,-1324.00000,,,,-2006.00000,-3330.00000,-47.00000,-347.00000,-394.00000,-1251.00000,-1251.00000,-1789.00000,-69.00000,-3503.00000,-508.00000,55.00000,-1789.00000
2021-12-31,2276.00000,1275.00000,357.00000,1632.00000,-196.00000,,121.00000,36.00000,3944.00000,-37.00000,,,,-1502.00000,-1539.00000,-1191.00000,313.00000,-878.00000,-525.00000,-525.00000,-424.00000,-14.00000,-1841.00000,564.00000,51.00000,-424.00000
2020-12-31,-4672.00000,1311.00000,5382.00000,6693.00000,217.00000,,-38.00000,97.00000,2118.00000,-275.00000,,,,-1826.00000,-2101.00000,796.00000,-348.00000,448.00000,-137.00000,-137.00000,-329.00000,-19.00000,-37.00000,-20.00000,37.00000,-329.00000
2019-12-31,315.00000,1454.00000,1137.00000,2591.00000,-187.00000,,149.00000,-167.00000,2739.00000,56.00000,-776.00000,-485.00000,-485.00000,-2683.00000,-3888.00000,2214.00000,-1368.00000,846.00000,513.00000,513.00000,-234.00000,-63.00000,1062.00000,-87.00000,48.00000,-234.00000
2018-12-31,945.00000,623.00000,-9.00000,614.00000,13.00000,,0.00000,6.00000,1565.00000,-1585.00000,,-111.00000,-111.00000,-1807.00000,-3503.00000,1062.00000,851.00000,1913.00000,305.00000,305.00000,-135.00000,-42.00000,2041.00000,103.00000,27.00000,-135.00000
2017-12-31,517.00000,331.00000,89.00000,420.00000,-97.00000,-2.00000,34.00000,-48.00000,889.00000,-868.00000,,,,-2264.00000,-3132.00000,,370.00000,370.00000,370.00000,370.00000,-41.00000,-10.00000,689.00000,-1554.00000,26.00000,-41.00000
2016-12-31,-164.90800,180.73200,331.97200,512.70400,-33.73600,-0.25500,5.73000,-15.71600,332.08000,-369.50500,,-2.34500,-2.34500,-938.39200,-1310.24200,523.43900,75.00000,598.43900,2052.00100,2052.00100,-9.57400,-16.24500,2624.62100,1646.45900,26.45300,-9.57400
2015-12-31,-547.79000,220.29800,746.20090,966.49900,11.14700,0.22400,-14.34400,-2.20800,416.50100,-410.98600,,-2.70200,-2.70200,-481.36200,-895.05000,,-178.00000,-178.00000,655.56100,655.56100,-7.96800,-1.11200,468.48100,-10.06800,18.52900,-7.96800
2014-12-31,195.97100,172.13000,3.55500,175.68500,-42.14100,0.91500,15.67400,-15.26700,356.38900,-544.00490,,-34.47700,-34.47700,-903.51500,-1481.99700,,213.50000,213.50000,935.51300,935.51300,-2.31400,-6.46300,1140.23600,14.62800,9.81600,-2.31400
2013-12-31,54.58700,67.61500,27.38200,94.99700,-20.50500,0.55400,5.68400,6.19300,155.77700,-299.87500,-18.55000,,,-621.71500,-940.14000,450.00000,10.00000,460.00000,326.18100,326.18100,,-12.62100,773.56000,-10.80300,1.75200,
2012-12-31,-36.52100,26.76700,55.89600,82.66300,1.06000,-0.63900,-2.80400,3.55000,49.69200,-101.14400,-63.59000,,,-18.34400,-183.07800,,-85.05000,-85.05000,237.16400,237.16400,,0.67100,152.78500,19.39900,3.48200,
2011-12-31,-0.38600,16.35400,13.59500,29.94900,-5.68000,-0.87200,4.50100,1.43500,30.99800,-87.18400,,6.01000,6.01000,0.06600,-81.10800,,40.23300,40.23300,,,,12.71700,52.95000,2.84000,0.54400,
2010-12-31,8.23100,8.30800,0.18100,8.48900,-8.61500,-4.89700,0.43900,-11.52800,5.19200,-55.04500,,,,-0.19100,-55.23600,,37.11600,37.11600,,,-5.57900,20.19600,51.73300,1.68900,,-5.57900
