,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,3390.00000,884.00000,-13.00000,871.00000,46.00000,-980.00000,224.00000,1826.00000,680.00000,4579.00000,-1114.00000,,,,,-375.00000,-1489.00000,-1000.00000,-1000.00000,-1229.00000,-1229.00000,-1369.00000,127.00000,-3471.00000,-361.00000,165.00000,-1369.00000
2021-12-31,3257.00000,890.00000,60.00000,950.00000,138.00000,405.00000,194.00000,-56.00000,636.00000,4271.00000,-887.00000,,,,,5.00000,-882.00000,-1497.00000,-1497.00000,-1828.00000,-1828.00000,-1315.00000,50.00000,-4590.00000,-1221.00000,126.00000,-1315.00000
2020-12-31,3167.00000,878.00000,1.00000,879.00000,371.00000,502.00000,-215.00000,-823.00000,-204.00000,3858.00000,-967.00000,,,,,-7.00000,-974.00000,1019.00000,1019.00000,-587.00000,-587.00000,-1240.00000,-95.00000,-903.00000,1922.00000,128.00000,-1240.00000
2019-12-31,3484.00000,829.00000,225.00000,1054.00000,176.00000,-376.00000,6.00000,-1408.00000,-1602.00000,2981.00000,-987.00000,,,,,-7.00000,-994.00000,-559.00000,-559.00000,-231.00000,-231.00000,-1152.00000,-55.00000,-1997.00000,-61.00000,133.00000,-1152.00000
2018-12-31,3345.00000,763.00000,150.00000,913.00000,417.00000,-591.00000,-197.00000,-454.00000,-825.00000,3148.00000,-690.00000,-10099.00000,,,,555.00000,-10234.00000,7983.00000,7983.00000,-1769.00000,-1769.00000,-1075.00000,-53.00000,5086.00000,-2020.00000,140.00000,-1075.00000
2017-12-31,2912.00000,441.00000,524.00000,965.00000,-195.00000,-182.00000,657.00000,-516.00000,-236.00000,3876.00000,-428.00000,-399.00000,,,,39.00000,-788.00000,85.00000,85.00000,-1558.00000,-1558.00000,-986.00000,60.00000,-2399.00000,649.00000,123.00000,-986.00000
2016-12-31,2572.00000,453.00000,386.00000,839.00000,-122.00000,-377.00000,567.00000,-1038.00000,-970.00000,2163.00000,-392.00000,-58.00000,,,,59.00000,-391.00000,492.00000,492.00000,-1704.00000,-1704.00000,-911.00000,-46.00000,-2169.00000,-451.00000,95.00000,-911.00000
2015-12-31,3036.00000,481.00000,311.00000,792.00000,632.00000,141.00000,-89.00000,-2012.00000,-1328.00000,2607.00000,-569.00000,-5.00000,,500.00000,500.00000,274.00000,200.00000,-500.00000,-500.00000,-2965.00000,-2965.00000,-873.00000,-29.00000,-4367.00000,-1603.00000,98.00000,-873.00000
2014-12-31,2533.00000,496.00000,404.00000,900.00000,330.00000,-303.00000,-161.00000,743.00000,609.00000,3828.00000,-521.00000,,,-500.00000,-500.00000,-81.00000,-1102.00000,,,-2835.00000,-2835.00000,-822.00000,-18.00000,-3675.00000,-913.00000,128.00000,-822.00000
2013-12-31,2357.00000,525.00000,341.00000,866.00000,-223.00000,-200.00000,-204.00000,389.00000,-238.00000,3111.00000,-436.00000,,14.00000,-36.00000,-22.00000,95.00000,-363.00000,,,-157.00000,-157.00000,-591.00000,23.00000,-725.00000,2005.00000,120.00000,-591.00000
2012-12-31,-332.00000,2885.00000,-108.00000,2777.00000,225.00000,-490.00000,-413.00000,902.00000,224.00000,2606.00000,-436.00000,,110.00000,-326.00000,-216.00000,10.00000,-642.00000,-18.00000,-18.00000,-456.00000,-456.00000,-893.00000,-15.00000,-1382.00000,647.00000,114.00000,-893.00000
2011-12-31,2526.00000,703.00000,144.00000,847.00000,-397.00000,-186.00000,17.00000,653.00000,87.00000,3238.00000,-458.00000,-1560.00000,235.00000,-284.00000,-49.00000,93.00000,-1974.00000,747.00000,747.00000,-1270.00000,-1270.00000,-673.00000,-5.00000,-1201.00000,36.00000,128.00000,-673.00000
2010-12-31,2624.00000,569.00000,160.00000,729.00000,-152.00000,-23.00000,366.00000,-589.00000,-398.00000,2986.00000,-370.00000,-233.00000,126.00000,-11.00000,115.00000,80.00000,-408.00000,-700.00000,-700.00000,-908.00000,-908.00000,-631.00000,13.00000,-2226.00000,350.00000,118.00000,-631.00000
2009-12-31,2394.00000,562.00000,352.00000,914.00000,-151.00000,-72.00000,-92.00000,-273.00000,-588.00000,2855.00000,-385.00000,-811.00000,,-310.00000,-310.00000,114.00000,-1392.00000,-157.00000,-157.00000,-67.00000,-67.00000,-577.00000,-5.00000,-806.00000,642.00000,117.00000,-577.00000
