,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-4404.00000,394.00000,4198.00000,4592.00000,-12.00000,-135.00000,-38.00000,8.00000,204.00000,392.00000,-286.00000,-180.00000,-85.00000,-40.00000,,-40.00000,,-591.00000,991.00000,,991.00000,63.00000,63.00000,-54.00000,1000.00000,779.00000,366.00000
2021-12-31,762.00000,283.00000,-348.00000,-65.00000,-164.00000,-58.00000,60.00000,-91.00000,-152.00000,545.00000,-208.00000,,-2444.00000,246.00000,1285.00000,1531.00000,52.00000,-1069.00000,471.00000,,471.00000,60.00000,60.00000,-582.00000,-51.00000,-578.00000,754.00000
2020-12-31,656.00000,227.00000,124.00000,351.00000,89.00000,-12.00000,40.00000,-37.00000,73.00000,1080.00000,-189.00000,,-98.00000,-124.00000,-11.00000,-135.00000,-132.00000,-554.00000,,,,-675.00000,-675.00000,-91.00000,-766.00000,-232.00000,194.00000
2019-12-31,990.00000,234.00000,14.00000,248.00000,-58.00000,25.00000,-35.00000,-82.00000,-194.00000,1051.00000,-209.00000,,,-20.00000,1006.00000,986.00000,-32.00000,745.00000,-550.00000,,-550.00000,-265.00000,-265.00000,-82.00000,-897.00000,898.00000,194.00000
2018-12-31,782.00000,220.00000,154.00000,374.00000,-105.00000,-53.00000,45.00000,-8.00000,-18.00000,1142.00000,-296.00000,,-100.00000,-15.00000,-1402.00000,-1417.00000,,-1813.00000,731.00000,,731.00000,-155.00000,-155.00000,18.00000,594.00000,-81.00000,193.00000
2017-12-31,678.00000,186.00000,-185.00000,1.00000,-26.00000,-33.00000,10.00000,163.00000,195.00000,875.00000,-310.00000,-2.00000,,-29.00000,-151.00000,-180.00000,278.00000,-214.00000,-4.00000,,-4.00000,-180.00000,-180.00000,8.00000,-176.00000,490.00000,164.00000
2016-12-31,428.00000,171.00000,223.00000,394.00000,3.00000,-30.00000,-2.00000,8.00000,-45.00000,779.00000,-260.00000,-11.00000,-18.00000,-14.00000,-212.00000,-226.00000,,-515.00000,5.00000,,5.00000,-195.00000,-195.00000,-106.00000,-296.00000,-34.00000,129.00000
2015-12-31,458.00000,166.00000,198.00000,364.00000,-96.00000,-81.00000,46.00000,-8.00000,-40.00000,786.00000,-143.00000,0.00000,-37.00000,-6.00000,79.00000,73.00000,,-107.00000,,,,-202.00000,-202.00000,-343.00000,-545.00000,133.00000,133.00000
2014-12-31,353.35100,150.64300,147.49500,298.13800,-50.38100,-36.54200,-2.10600,-27.77600,-165.83600,501.27100,-105.99600,-36.22000,-3.28500,-11.75500,-249.36800,-261.12300,,-406.62400,1102.38700,-1244.72100,-142.33390,-140.85500,-140.85500,116.44100,-166.74800,-75.48300,152.55100
2013-12-31,125.30800,134.16200,-39.26300,94.89900,-15.92800,6.21700,2.38900,-10.75800,153.40300,386.42100,-79.21500,-11.34400,-523.50100,95.58000,448.83100,544.41090,,-69.64900,-10.85200,,-10.85200,44.44000,44.44000,-72.30700,-38.71900,277.65600,105.82600
2012-12-31,151.25400,100.32300,58.01800,158.34100,-34.44100,-23.70700,15.11200,0.67500,-17.97300,291.87300,-68.78100,-12.22800,-83.15600,40.88100,-26.72800,14.15300,,-150.01200,,,,-28.16400,-28.16400,17.40900,-10.75500,131.00300,94.32400
2011-12-31,86.62800,101.36500,125.17100,226.53600,-7.01100,22.15200,-21.09700,2.03800,35.02700,358.14000,-77.80000,-1.75000,-58.30200,-13.76900,-249.37810,-263.14710,,-400.99900,903.49200,-349.87400,553.61800,-502.95600,-502.95600,46.35400,97.01600,54.03100,92.09200
2010-12-31,124.89100,63.41600,86.64000,150.05600,-7.84400,-48.58300,23.15000,-1.12500,-2.37400,272.57300,-49.81800,-6.65000,-98.21100,-27.67700,-102.69700,-130.37400,,-285.05300,,,,74.02900,74.02900,42.44500,116.47400,104.31400,71.64500
2009-12-31,72.28100,51.47000,64.24200,115.71200,-18.57800,-20.55700,11.77800,-8.44200,-15.80200,172.19100,-52.67300,-3.40000,-1.32500,,-199.17100,-199.17100,,-256.56900,,-10.00000,-10.00000,-128.18100,-128.18100,39.31900,-98.86200,-182.39100,60.81100
