,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1091.00000,1145.00000,108.00000,1253.00000,-421.00000,427.00000,38.00000,-84.00000,2260.00000,-674.00000,-1315.00000,-5.00000,-20.00000,-25.00000,8.00000,-2006.00000,616.00000,325.00000,941.00000,-1239.00000,-1239.00000,,-31.00000,-329.00000,-150.00000,194.00000,
2021-12-31,971.00000,1281.00000,10.00000,1291.00000,-138.00000,244.00000,576.00000,680.00000,2942.00000,-640.00000,-1458.00000,-10.00000,,-10.00000,5.00000,-2103.00000,-140.00000,210.00000,70.00000,-465.00000,-465.00000,,-840.00000,-1235.00000,-448.00000,170.00000,
2020-12-31,308.00000,1305.00000,-113.00000,1192.00000,255.00000,253.00000,34.00000,459.00000,1959.00000,-616.00000,-177.00000,-9.00000,8.00000,-1.00000,-2.00000,-796.00000,727.00000,-385.00000,342.00000,-491.00000,-491.00000,,-68.00000,-217.00000,977.00000,95.00000,
2019-12-31,227.00000,1215.00000,-44.00000,1171.00000,-122.00000,240.00000,-94.00000,19.00000,1417.00000,-582.00000,-588.00000,-3.00000,-22.00000,-25.00000,5.00000,-1190.00000,1001.00000,-254.00000,747.00000,-938.00000,-938.00000,,-85.00000,-276.00000,-54.00000,146.00000,
2018-12-31,284.00000,1152.00000,-76.00000,1076.00000,-297.00000,368.00000,-59.00000,-106.00000,1254.00000,-459.00000,-309.00000,-4.00000,-40.00000,-44.00000,2.00000,-810.00000,899.00000,116.00000,1015.00000,-1390.00000,-1390.00000,,-77.00000,-452.00000,-68.00000,113.00000,
2017-12-31,1296.00000,1063.00000,-1134.00000,-71.00000,-141.00000,90.00000,-122.00000,-255.00000,970.00000,-369.00000,-842.00000,2.00000,15.00000,17.00000,4.00000,-1190.00000,2357.00000,154.00000,2511.00000,-2529.00000,-2529.00000,,-54.00000,-72.00000,-239.00000,106.00000,
2016-12-31,87.00000,350.00000,148.00000,498.00000,-177.00000,160.00000,222.00000,275.00000,860.00000,-164.00000,1887.00000,-40.00000,62.00000,22.00000,-14.00000,1731.00000,-1485.00000,172.00000,-1313.00000,-1000.00000,-1000.00000,,29.00000,-2284.00000,221.00000,80.00000,
2015-12-31,388.00000,147.00000,9.00000,156.00000,-246.00000,104.00000,69.00000,-68.00000,476.00000,-78.00000,32.00000,,,,-21.00000,-67.00000,188.00000,,188.00000,-451.00000,-451.00000,,14.00000,-249.00000,110.00000,38.00000,
2014-12-31,357.00000,128.00000,-6.00000,122.00000,-79.00000,46.00000,-21.00000,-46.00000,433.00000,-83.00000,-92.00000,,6.00000,6.00000,-4.00000,-173.00000,242.00000,,242.00000,-388.00000,-388.00000,,16.00000,-130.00000,90.00000,30.00000,
2013-12-31,226.02700,129.32900,-17.94600,111.38300,-151.68100,107.04700,53.27600,55.96100,393.37100,-86.32600,-144.97000,,0.06000,0.06000,-4.94000,-236.17600,-387.65720,,-387.65720,480.45600,480.45600,,-21.84200,70.95700,210.41500,22.82600,
2012-12-31,176.63100,107.52500,39.08600,146.61100,-60.25500,58.34500,27.48900,12.45900,335.70100,-68.60700,-43.19700,,-13.71100,-13.71100,-6.71800,-132.23300,440.13810,,440.13810,-9.89700,-9.89700,-567.85100,-9.26300,-146.87300,51.42900,25.92600,-567.85100
2011-12-31,240.32700,122.02000,-118.84700,3.17300,-115.74800,67.38200,-74.34300,-82.54700,160.95300,-72.70300,-227.11500,,88.08600,88.08600,-13.10600,-224.83800,260.12100,,260.12100,-13.21000,-13.21000,-288.32200,-17.89800,-59.30900,-130.31600,14.13000,-288.32200
2010-12-31,165.25500,102.78300,6.82200,109.60500,2.75100,38.91400,70.79300,103.30000,378.16000,-77.68200,-100.35700,,14.47600,14.47600,22.12900,-141.43400,-78.40000,,-78.40000,-9.26900,-9.26900,-67.49300,2.08100,-153.08100,80.84100,17.32900,-67.49300
