,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,962.00000,478.00000,225.00000,703.00000,-257.00000,-411.00000,411.00000,243.00000,-14.00000,1651.00000,-488.00000,,39.00000,,39.00000,1.00000,-448.00000,-609.00000,330.00000,-279.00000,-23.00000,-23.00000,-797.00000,18.00000,-1081.00000,13.00000,96.00000,-797.00000
2021-12-31,1495.00000,467.00000,-263.00000,204.00000,-9.00000,-135.00000,194.00000,-48.00000,2.00000,1701.00000,-553.00000,,30.00000,-10.00000,20.00000,5.00000,-528.00000,-289.00000,-17.00000,-306.00000,-177.00000,-177.00000,-788.00000,-35.00000,-1306.00000,-149.00000,68.00000,-788.00000
2020-12-31,1264.00000,479.00000,15.00000,494.00000,75.00000,-54.00000,-9.00000,216.00000,228.00000,1986.00000,-505.00000,,-62.00000,,-62.00000,-18.00000,-585.00000,-672.00000,-6.00000,-678.00000,112.00000,112.00000,-782.00000,-40.00000,-1388.00000,38.00000,76.00000,-782.00000
2019-12-31,977.00000,484.00000,-173.00000,311.00000,-145.00000,2.00000,-9.00000,40.00000,-112.00000,1176.00000,-586.00000,1332.00000,65.00000,,65.00000,-37.00000,774.00000,-929.00000,-25.00000,-954.00000,-156.00000,-156.00000,-769.00000,-26.00000,-1905.00000,76.00000,56.00000,-769.00000
2018-12-31,1344.00000,516.00000,-275.00000,241.00000,76.00000,-86.00000,115.00000,-154.00000,-49.00000,1536.00000,-578.00000,-28.00000,,-397.00000,-397.00000,55.00000,-948.00000,585.00000,-225.00000,360.00000,-153.00000,-153.00000,-762.00000,-11.00000,-566.00000,40.00000,59.00000,-762.00000
2017-12-31,1254.00000,481.00000,-436.00000,45.00000,-1300.00000,80.00000,193.00000,-13.00000,-896.00000,403.00000,-501.00000,-592.00000,,-7.00000,-7.00000,1249.00000,149.00000,619.00000,-68.00000,551.00000,-419.00000,-419.00000,-736.00000,,-604.00000,1.00000,66.00000,-736.00000
2016-12-31,700.00000,517.00000,369.00000,886.00000,-480.00000,7.00000,124.00000,46.00000,-315.00000,1271.00000,-507.00000,-398.00000,,25.00000,25.00000,488.00000,-392.00000,920.00000,-788.00000,132.00000,-58.00000,-58.00000,-716.00000,-144.00000,-786.00000,29.00000,63.00000,-716.00000
2015-12-31,614.00000,534.00000,297.00000,831.00000,-127.00000,-42.00000,427.00000,-52.00000,246.00000,1691.00000,-553.00000,-161.00000,,-456.00000,-456.00000,43.00000,-1127.00000,90.00000,374.00000,464.00000,-470.00000,-470.00000,-700.00000,,-706.00000,-192.00000,51.00000,-700.00000
2014-12-31,633.00000,503.00000,408.00000,911.00000,131.00000,-30.00000,96.00000,-5.00000,249.00000,1793.00000,-582.00000,,,-6.00000,-6.00000,15.00000,-573.00000,-8.00000,89.00000,81.00000,-473.00000,-473.00000,-680.00000,9.00000,-1063.00000,170.00000,37.00000,-680.00000
2013-12-31,1808.00000,532.00000,-775.00000,-243.00000,-50.00000,112.00000,31.00000,125.00000,242.00000,1807.00000,-637.00000,,,-6.00000,-6.00000,2.00000,-641.00000,-117.00000,-326.00000,-443.00000,-69.00000,-69.00000,-653.00000,24.00000,-1141.00000,-8.00000,34.00000,-653.00000
2012-12-31,961.00000,448.00000,188.00000,636.00000,-65.00000,-80.00000,208.00000,-38.00000,161.00000,1758.00000,-533.00000,-2668.00000,,,,-44.00000,-3245.00000,977.00000,796.00000,1773.00000,166.00000,166.00000,-622.00000,,1317.00000,-179.00000,,-622.00000
2011-12-31,864.00000,369.00000,284.00000,653.00000,-100.00000,-125.00000,40.00000,45.00000,78.00000,1595.00000,-594.00000,,,,,7.00000,-587.00000,-50.00000,189.00000,139.00000,-507.00000,-507.00000,-604.00000,15.00000,-957.00000,16.00000,,-604.00000
2010-12-31,1280.00000,392.00000,-307.00000,85.00000,59.00000,-159.00000,72.00000,35.00000,-357.00000,1008.00000,-474.00000,,,,,9.00000,-465.00000,986.00000,-1.00000,985.00000,-848.00000,-848.00000,-584.00000,8.00000,-439.00000,110.00000,,-584.00000
2009-12-31,1208.00000,384.00000,-127.00000,257.00000,-75.00000,-13.00000,-59.00000,85.00000,178.00000,1643.00000,-377.00000,,,,,7.00000,-370.00000,759.00000,-1344.00000,-585.00000,-56.00000,-56.00000,-546.00000,5.00000,-1182.00000,79.00000,,-546.00000
