,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-11-30,4648.50100,84.91200,853.61100,938.52290,-422.39800,-2383.82100,-216.25000,-2321.35600,3265.66800,-32.52800,,,-495.59600,-495.59600,399.82200,-128.30200,-623.07900,409.06700,-214.01200,-1039.30900,-1039.30900,-438.03800,414.08000,-1277.27900,1860.08700,184.08600,-438.03800
2021-11-30,4456.54900,79.17900,-352.05210,-272.87300,-289.77600,-1960.61400,-281.82100,-1650.90200,2532.77400,-23.62100,3.32700,,-446.98900,-446.98900,362.19700,-105.08600,-1341.09000,262.10700,-1078.98300,-1430.21200,-1430.21200,-309.77600,414.23600,-2404.73500,22.95300,134.62100,-309.77600
2020-11-30,2467.55300,69.77800,312.61900,382.39700,25.86800,781.36200,267.15100,1340.86900,4190.81900,-38.81800,14.97800,,-478.72100,-478.72100,222.35600,-280.20500,-2012.30600,-281.83500,-2294.14100,-321.52400,-321.52400,-195.04300,364.13300,-2446.57500,1464.03900,107.13100,-195.04300
2019-11-30,1842.11900,65.99000,396.40900,462.39900,312.25500,-623.64400,-496.14700,-822.17500,1482.34300,-7.19000,24.44600,,-405.71900,-405.71900,408.05900,19.59600,-1202.01600,166.55200,-1035.46400,-522.58100,-522.58100,-51.45400,-19.72500,-1629.22400,-127.28500,86.94000,-51.45400
2018-11-30,1717.51300,67.63700,79.97200,147.60900,-431.18300,-135.87000,-19.11800,-173.37500,1691.74700,-130.43900,-1078.28200,,568.52800,568.52800,46.23900,-593.95400,-1246.47300,-454.70000,-1701.17300,-296.77200,-296.77200,-49.15900,-148.79700,-2195.90100,-1098.10800,72.65500,-49.15900
2017-11-30,771.75400,77.63600,334.83300,412.46900,253.11100,-661.49400,-150.13500,-201.84900,982.37400,-111.77300,-517.80100,,-133.31200,-133.31200,-82.19400,-845.08000,1157.89200,,1157.89200,-26.33400,-26.33400,-37.60800,100.34600,1194.29600,1331.59000,61.35600,-37.60800
2016-11-30,913.09100,64.83800,214.93800,279.77600,-260.84400,-503.52700,57.87600,-685.06300,507.80400,-51.15100,97.14600,,-54.73300,-54.73300,-77.09900,-85.83700,143.65810,,143.65810,-0.43100,-0.43100,-35.32400,-358.78600,-250.88300,171.08400,55.51600,-35.32400
2015-11-30,819.20000,63.54000,11.18000,74.72000,-86.43200,-1126.90700,-326.01700,-1313.56600,-419.64600,137.67200,,2.03000,60.15800,62.18800,-298.25300,-98.39300,797.52410,,797.52410,-13.78300,-13.78300,-33.19200,-355.87900,394.67000,-123.36900,43.87300,-33.19200
2014-11-30,628.69300,59.92900,105.50200,165.43100,-113.00100,-1367.41500,-428.28300,-1582.61200,-788.48800,291.03600,-5.48900,0.03700,302.81700,302.85400,-150.04200,438.35900,847.83590,,847.83590,-6.82500,-6.82500,-32.77500,-146.79800,661.43800,311.30900,40.71800,-32.77500
2013-11-30,504.92600,53.84600,101.64600,155.49200,-62.70800,-1627.13600,39.97900,-1468.13200,-807.71400,371.65300,-5.62300,-21.52700,439.58300,418.05600,-94.83700,689.24900,12.42000,,12.42000,21.79400,21.79400,-30.91200,-225.07500,-221.77300,-340.23800,33.68900,-30.91200
2012-11-30,657.33200,49.53100,-379.84300,-330.31200,17.37000,-765.96700,-31.20000,-751.66800,-424.64800,181.06100,,,-97.46700,-97.46700,161.69700,245.29100,341.52600,47.86000,389.38600,15.02500,15.02500,-30.39400,-47.52100,326.49600,147.13900,31.74500,-30.39400
2011-11-30,112.54400,42.14100,34.65200,76.79300,-132.25800,-100.34700,-109.02600,-448.47200,-259.13500,-9.93600,,,-225.64000,-225.64000,99.42200,-136.15400,104.89800,138.45600,243.35400,1.02700,1.02700,-29.90600,-49.71700,164.75800,-230.53100,24.04700,-29.90600
2010-11-30,120.45900,20.08000,60.07800,80.15800,340.44400,-179.37700,33.40600,73.61100,274.22800,-5.06200,,,-700.97500,-700.97500,32.66600,-673.37100,359.34000,54.12100,413.46100,0.43200,0.43200,-29.57700,-48.47600,335.84000,-63.30300,28.07500,-29.57700
2009-11-30,-446.05900,21.64100,634.76100,656.40200,-117.87400,433.46100,-9.19100,210.50000,420.84300,0.32900,,,-275.44900,-275.44900,,-275.12000,-39.98400,-8.22600,-48.21000,219.87100,219.87100,-27.58800,-35.78000,108.29300,254.01600,30.39200,-27.58800
