,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,5732.00000,1404.00000,639.00000,2043.00000,-542.00000,-107.00000,1274.00000,-746.00000,27.00000,7802.00000,-1670.00000,,,,-119.00000,-1789.00000,3961.00000,3961.00000,-7900.00000,-7900.00000,-3016.00000,-115.00000,-7070.00000,-1057.00000,238.00000,-3016.00000
2021-12-31,6315.00000,1364.00000,1478.00000,2842.00000,15.00000,564.00000,-98.00000,-462.00000,64.00000,9221.00000,-1522.00000,,,,361.00000,-1161.00000,-500.00000,-500.00000,-4087.00000,-4087.00000,-2940.00000,-89.00000,-7616.00000,444.00000,227.00000,-2940.00000
2020-12-31,6833.00000,1290.00000,-761.00000,529.00000,359.00000,74.00000,-372.00000,779.00000,821.00000,8183.00000,-1766.00000,,,,-244.00000,-2010.00000,-519.00000,-519.00000,-1100.00000,-1100.00000,-2764.00000,-144.00000,-4527.00000,1646.00000,221.00000,-2764.00000
2019-12-31,6230.00000,1189.00000,360.00000,1549.00000,107.00000,-622.00000,-1098.00000,1296.00000,-468.00000,7311.00000,-1484.00000,,,,243.00000,-1241.00000,-900.00000,-1500.00000,-1200.00000,-1200.00000,-2556.00000,-72.00000,-5328.00000,742.00000,189.00000,-2556.00000
2018-12-31,5046.00000,1161.00000,25.00000,1186.00000,-179.00000,-119.00000,914.00000,-4787.00000,-3094.00000,3138.00000,-1278.00000,,,,203.00000,-1075.00000,-750.00000,-150.00000,-1492.00000,-1492.00000,-2347.00000,-163.00000,-4152.00000,-2089.00000,173.00000,-2347.00000
2017-12-31,1963.00000,1195.00000,3335.00000,4530.00000,-902.00000,-79.00000,-189.00000,2363.00000,-17.00000,6476.00000,-1177.00000,,,,30.00000,-1147.00000,,,-2001.00000,-2001.00000,-2163.00000,-141.00000,-4305.00000,1024.00000,158.00000,-2163.00000
2016-12-31,5173.00000,1215.00000,-1250.00000,-35.00000,598.00000,173.00000,-188.00000,-678.00000,51.00000,5189.00000,-1063.00000,,,,78.00000,-985.00000,-952.00000,-952.00000,-2096.00000,-2096.00000,-2048.00000,1639.00000,-3457.00000,747.00000,149.00000,-2048.00000
2015-12-31,3605.00000,1026.00000,-205.00000,821.00000,-256.00000,-398.00000,-160.00000,1537.00000,675.00000,5101.00000,-939.00000,-9003.00000,,,208.00000,-9734.00000,9101.00000,9101.00000,-2897.00000,-2897.00000,-1932.00000,5.00000,4277.00000,-356.00000,138.00000,-1932.00000
2014-12-31,3614.00000,994.00000,-118.00000,876.00000,28.00000,77.00000,95.00000,-1175.00000,-624.00000,3866.00000,-845.00000,-898.00000,,,20.00000,-1723.00000,,,-1592.00000,-1592.00000,-1760.00000,38.00000,-3314.00000,-1171.00000,164.00000,-1760.00000
2013-12-31,2981.00000,990.00000,580.00000,1570.00000,767.00000,-60.00000,-647.00000,-429.00000,-5.00000,4546.00000,-836.00000,-269.00000,,,-16.00000,-1121.00000,-150.00000,-150.00000,-935.00000,-935.00000,-1540.00000,-81.00000,-2706.00000,719.00000,189.00000,-1540.00000
2012-12-31,2745.00000,988.00000,1145.00000,2133.00000,-460.00000,-422.00000,-236.00000,-1664.00000,-3317.00000,1561.00000,-942.00000,-259.00000,,,24.00000,-1177.00000,,,-550.00000,-550.00000,-1352.00000,-166.00000,-2068.00000,-1684.00000,167.00000,-1352.00000
2011-12-31,2655.00000,1008.00000,202.00000,1210.00000,-363.00000,-74.00000,609.00000,-88.00000,388.00000,4253.00000,-987.00000,-624.00000,510.00000,510.00000,313.00000,-788.00000,1348.00000,1348.00000,-2349.00000,-2349.00000,-1095.00000,-48.00000,-2144.00000,1321.00000,157.00000,-1095.00000
2010-12-31,2878.00000,1052.00000,669.00000,1721.00000,3.00000,-207.00000,-364.00000,-300.00000,-798.00000,3801.00000,-1074.00000,650.00000,-171.00000,-171.00000,22.00000,-573.00000,,,-2361.00000,-2361.00000,-969.00000,-28.00000,-3358.00000,-130.00000,168.00000,-969.00000
2009-12-31,2973.00000,1014.00000,652.00000,1666.00000,-685.00000,-237.00000,-21.00000,63.00000,-1152.00000,3487.00000,-1166.00000,-435.00000,-279.00000,-279.00000,48.00000,-1832.00000,1222.00000,1222.00000,-1851.00000,-1851.00000,-908.00000,105.00000,-1432.00000,223.00000,154.00000,-908.00000
