,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-2227.00000,-74.00000,818.00000,744.00000,-54.00000,300.00000,-89.00000,5889.00000,5516.00000,4033.00000,,,-11352.00000,-11352.00000,-291.00000,-11643.00000,182.00000,,182.00000,-566.00000,420.00000,-310.00000,8049.00000,8341.00000,731.00000,-310.00000
2021-12-31,1405.00000,-46.00000,310.00000,264.00000,-93.00000,-108.00000,389.00000,-1938.00000,-1518.00000,151.00000,,,-2123.00000,-2123.00000,-1444.00000,-3567.00000,151.00000,,151.00000,-1085.00000,-1085.00000,-319.00000,5573.00000,4320.00000,904.00000,-319.00000
2020-12-31,499.00000,-41.00000,730.00000,689.00000,-21.00000,266.00000,-18.00000,-783.00000,-654.00000,534.00000,,,-8732.00000,-8732.00000,-749.00000,-9481.00000,289.00000,,289.00000,-282.00000,-282.00000,-311.00000,8396.00000,8092.00000,-855.00000,-311.00000
2019-12-31,886.00000,-31.00000,626.00000,595.00000,105.00000,-2510.00000,107.00000,-1642.00000,-4167.00000,-2686.00000,,,-2171.00000,-2171.00000,-3328.00000,-5499.00000,501.00000,,501.00000,-570.00000,-570.00000,-303.00000,8775.00000,8403.00000,218.00000,-303.00000
2018-12-31,1641.00000,-9.00000,-133.00000,-142.00000,-87.00000,-118.00000,-101.00000,596.00000,444.00000,1943.00000,-12.00000,,-3789.00000,-3789.00000,-2014.00000,-5815.00000,534.00000,,534.00000,-906.00000,-906.00000,-289.00000,5250.00000,4589.00000,717.00000,-289.00000
2017-12-31,2079.00000,-23.00000,1191.00000,1168.00000,34.00000,121.00000,113.00000,-1608.00000,-2459.00000,788.00000,,,-3252.00000,-3252.00000,-936.00000,-4188.00000,,,,-679.00000,-679.00000,-262.00000,3247.00000,2306.00000,-1094.00000,-262.00000
2016-12-31,1192.00000,-73.00000,787.00000,714.00000,-54.00000,168.00000,-27.00000,-790.00000,-634.00000,1272.00000,,,-2439.00000,-2439.00000,-1227.00000,-3666.00000,-264.00000,,-264.00000,-853.00000,-853.00000,-238.00000,3325.00000,1970.00000,-424.00000,-238.00000
2015-12-31,1154.00000,-74.00000,141.00000,67.00000,97.00000,146.00000,,718.00000,1022.00000,2243.00000,75.00000,,-3239.00000,-3239.00000,-1059.00000,-4223.00000,48.00000,,48.00000,-853.00000,-853.00000,-204.00000,2216.00000,1207.00000,-773.00000,-204.00000
2014-12-31,1515.00000,-74.00000,105.00000,31.00000,-53.00000,309.00000,,495.00000,980.00000,2526.00000,,,-1386.00000,-1386.00000,-419.00000,-1805.00000,-500.00000,,-500.00000,-618.00000,-618.00000,-170.00000,2122.00000,834.00000,1555.00000,-170.00000
2013-12-31,1244.00000,-74.00000,-511.00000,-585.00000,-40.00000,151.00000,,-348.00000,140.00000,799.00000,,-943.00000,-3667.00000,-4610.00000,-100.00000,-4710.00000,393.00000,,393.00000,-415.00000,-415.00000,-128.00000,2195.00000,2045.00000,-1866.00000,-128.00000
2012-12-31,1313.00000,-74.00000,-256.00000,-330.00000,28.00000,222.00000,,-156.00000,286.00000,1269.00000,,448.00000,-4122.00000,-3674.00000,-183.00000,-3857.00000,-20.00000,,-20.00000,-493.00000,-493.00000,-91.00000,2912.00000,2308.00000,-280.00000,-91.00000
2011-12-31,221.00000,-75.00000,786.00000,711.00000,-73.00000,88.00000,,11.00000,344.00000,1276.00000,,2074.00000,-4069.00000,-1995.00000,-130.00000,-2125.00000,-227.00000,-100.00000,-327.00000,-572.00000,-572.00000,-61.00000,3578.00000,2618.00000,1769.00000,-61.00000
2010-12-31,902.00000,-75.00000,-155.00000,-230.00000,-14.00000,47.00000,,621.00000,1048.00000,1720.00000,321.00000,-248.00000,-5629.00000,-5877.00000,-74.00000,-5630.00000,344.00000,1.00000,345.00000,344.00000,-654.00000,-42.00000,2818.00000,2467.00000,-1443.00000,-42.00000
2009-12-31,-485.00000,-76.00000,1834.00000,1758.00000,128.00000,-3.00000,,-461.00000,-336.00000,937.00000,327.00000,-1799.00000,-6305.00000,-8104.00000,-75.00000,-7852.00000,266.00000,-216.00000,50.00000,652.00000,1602.00000,-79.00000,3600.00000,5173.00000,-1742.00000,-79.00000
