,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,1208.38900,1190.93800,-1042.75600,148.18200,-236.18200,3.10700,-162.25500,16.85200,1373.42300,-384.09700,,-1789.60400,-226.88900,-226.88900,3944.23500,1543.64500,749.77500,-2096.21700,-1346.44200,-960.65800,-960.65800,-4.78900,-502.20600,-2814.09500,101.42200,65.18300,-4.78900
2020-12-31,-1319.90700,1244.91900,-744.84200,500.07710,960.09900,14.70500,-48.78700,-673.21300,-1493.04300,-264.44300,,,-96.92500,-96.92500,2520.67200,2159.30400,4007.81000,-1595.08900,2412.72100,170.98400,170.98400,-77.60600,-402.67200,2103.42700,2772.03300,106.95600,-77.60600
2019-12-31,2214.38000,1343.62100,-1466.03100,-122.40990,-726.61000,6.52200,-28.34200,-281.56900,1810.40100,-736.42800,,116.65200,-81.87700,-81.87700,4221.08700,3519.43400,-514.16700,-3634.04900,-4148.21600,218.47190,218.47190,-271.28800,-328.56200,-4529.59400,802.84200,88.83800,-271.28800
2018-12-31,583.89400,1219.14600,84.44600,1303.59200,-149.55400,-7.86000,-43.16100,-164.94700,1722.53900,-1461.23100,,-870.91810,-56.29500,-56.29500,305.42300,-2083.02100,997.73500,1242.25900,2239.99400,-1283.33300,-1283.33300,-260.59200,-306.83500,389.23400,26.76700,70.17700,-260.59200
2017-12-31,2088.18400,1026.47600,-1178.75500,-152.27900,-17.97200,-4.65600,-75.92000,270.50600,2206.41100,-1863.36400,,,-16.72700,-16.72700,299.49900,-1580.59200,-152.66900,15.00100,-137.66800,60.04800,60.04800,-252.01400,-239.14400,-568.77800,53.41400,62.49400,-252.01400
2016-12-31,1235.84600,890.02000,-816.01500,74.00500,-31.86600,10.80600,-41.94800,224.12100,1533.97200,-2258.52900,,-559.44300,11.36700,11.36700,530.40100,-2276.20400,-791.65140,491.03200,-300.61940,1107.50000,1107.50000,,-287.45900,519.42200,-223.73100,55.48700,0.00000
2015-12-31,-1039.64900,2334.15400,-16.79000,2317.36400,-62.72000,-2.64900,-62.25200,-272.63600,1005.07900,-1458.78700,,92.20700,373.93800,373.93800,197.58400,-795.05800,-875.50390,977.27500,101.77110,,,,-359.65000,-257.87900,-43.40300,42.87200,0.00000
2014-12-31,127.17800,853.41500,497.24000,1350.65500,-32.43500,3.16700,0.54500,-347.16300,1130.67000,-864.39000,-85.00000,,-585.87300,-585.87300,11.11300,-1524.15000,741.85010,-28.00000,713.85010,,,,-405.77300,308.07700,-89.95400,37.26400,
2013-12-31,41.37400,884.50600,381.62100,1266.12700,-59.84200,-0.33600,-66.96600,2.94700,1310.44800,-544.09400,-21.60000,,4.09300,4.09300,1.46400,-560.13700,-112.26200,-28.00000,-140.26200,,,,-349.44600,-489.70800,260.16000,32.33200,
2012-12-31,-1616.91200,1001.08600,1409.10100,2410.18700,1.26000,5.18300,-47.65900,116.07600,909.35100,-422.33700,,,-24.33100,-24.33100,0.25100,-446.41700,-2193.24500,1779.26200,-413.98320,,,,-372.97600,-786.95900,-322.40400,39.56000,
2011-12-31,3234.94400,910.94600,-3545.04100,-2634.09500,-155.04300,-8.03900,20.78600,74.27700,675.12600,-300.89600,,407.04600,-129.03100,-129.03100,1.56900,-21.31200,1024.32700,-305.88000,718.44670,,,,-6.52500,711.92200,1366.94900,39.70700,
2010-12-31,-1437.39700,721.40600,1033.45100,1754.85700,-17.37600,5.41800,-10.68200,186.55400,504.01400,-129.89000,,,-702.99900,-702.99900,246.81000,-586.07900,13.36910,-1886.07900,-1872.71000,588.45600,588.45600,,-190.92400,-1475.17800,-1557.24300,34.98800,
2009-12-31,-1291.68200,740.12500,1595.23700,2335.36200,-121.08800,6.57100,-43.88500,-455.76600,587.91400,-114.55900,,746.26600,-963.68500,-963.68500,1.72300,-330.25500,1574.33600,-1027.19300,547.14290,1104.41800,1104.41800,,-162.81100,1488.75000,1760.56300,36.57100,
