,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,866.80000,506.00000,-165.30000,340.70000,-12.10000,-131.70000,-31.20000,-41.30000,-216.30000,991.20000,-481.80000,698.10000,-704.60000,-704.60000,4.50000,-483.80000,-69.50000,,-69.50000,-149.40000,-149.40000,-159.10000,-29.50000,-407.50000,99.90000,42.70000,-159.10000
2021-12-31,702.80000,451.70000,98.60000,550.30000,-194.40000,73.20000,109.80000,-104.00000,-115.40000,1137.70000,-423.10000,-3066.40000,,,14.90000,-3474.60000,2465.50000,,2465.50000,1.30000,1.30000,-147.80000,-27.60000,2291.40000,-45.50000,43.00000,-147.80000
2020-12-31,721.10000,393.50000,2.90000,396.40000,6.10000,-19.30000,-34.00000,-20.20000,-67.40000,1050.10000,-359.70000,77.20000,,,-127.20000,-409.70000,-152.50000,,-152.50000,-47.70000,-47.70000,-140.30000,-16.50000,-357.00000,283.40000,30.00000,-140.30000
2019-12-31,612.00000,371.50000,69.00000,440.50000,-50.40000,-27.70000,25.90000,-34.20000,-86.40000,966.10000,-393.50000,8.40000,,,-0.80000,-385.90000,-361.10000,,-361.10000,-84.50000,-84.50000,-129.80000,-28.70000,-604.10000,-23.90000,34.10000,-129.80000
2018-12-31,470.40000,344.00000,83.10000,427.10000,-10.60000,-22.00000,20.10000,-179.90000,-192.40000,705.10000,-376.00000,-1573.00000,,,0.80000,-1948.20000,86.40000,,86.40000,-105.00000,-105.00000,-116.40000,-23.40000,-158.40000,-1401.50000,29.30000,-116.40000
2017-12-31,713.40000,297.20000,-241.40000,55.80000,-29.30000,-79.00000,-17.90000,14.60000,-111.60000,657.60000,-410.30000,23.90000,,,0.30000,-386.10000,1340.30000,,1340.30000,-101.70000,-101.70000,-108.90000,-4.80000,1124.90000,1396.40000,30.50000,-108.90000
2016-12-31,425.44400,285.25300,69.91800,355.17100,-25.07200,-47.38100,-8.11600,-11.10600,-91.67500,688.94000,-387.26700,-168.04600,,,0.29300,-555.02000,107.33000,-10.23500,97.09500,-241.69400,-241.69400,-105.03600,-2.65600,-252.29100,-118.37100,20.48100,-105.03600
2015-12-31,288.93800,263.58700,106.93500,370.52200,12.30900,-21.52500,-40.05300,-29.59100,-78.86000,580.60000,-318.23200,404.97000,1.80800,1.80800,,88.54600,-21.32000,10.05200,-11.26800,-490.33300,-490.33300,-107.46200,-0.32500,-609.38800,59.75800,13.58900,-107.46200
2014-12-31,154.29400,222.74600,9.27500,232.02100,-16.65000,-12.02000,5.30300,18.71000,-4.65700,381.65800,-232.18300,181.68300,1.17500,1.17500,,-49.32500,-191.60190,-2.37300,-193.97490,39.71400,39.71400,-91.30400,-20.55400,-266.11900,66.21400,8.99300,-91.30400
2013-12-31,119.43200,173.76100,26.05900,199.82000,-22.52300,-11.63900,20.06300,3.79800,-10.30100,308.95100,-155.23300,-55.91400,,,-3.40200,-214.54900,-16.75310,2.55600,-14.19710,11.69100,11.69100,-74.19700,-0.65600,-77.35900,17.04300,7.00800,-74.19700
2012-12-31,85.52700,177.21100,22.05000,199.26100,-20.30200,-9.64000,-8.67300,-23.48400,-62.09900,222.68900,-151.02300,9.81300,,,-2.00000,-143.21000,-12.65500,,-12.65500,6.95900,6.95900,-73.76700,-0.64400,-80.10700,-0.62800,7.78100,-73.76700
2011-12-31,83.57300,173.40700,8.95000,182.35700,-19.37500,-5.10700,30.38700,-12.74100,-6.83600,259.09400,-155.36300,-83.56100,,,,-238.92400,24.55000,-2.12300,22.42700,1.47300,1.47300,-73.64800,-14.72300,-64.47100,-44.30100,11.52200,-73.64800
2010-12-31,98.66400,181.53700,14.45600,195.99300,-20.54600,1.24100,8.22300,-13.76700,-24.84900,269.80800,-135.91600,-38.26600,,,,-174.18200,-219.98800,0.38600,-219.60200,3.04700,3.04700,-73.55000,1.21100,-288.89400,-193.26800,14.67500,-73.55000
2009-12-31,88.16400,179.39100,29.78500,209.17600,48.52100,-12.52500,-10.45200,-4.51600,21.02800,318.36800,-139.23000,-41.80100,,,-4.00000,-185.03100,93.85700,-202.94000,-109.08300,294.17700,294.17700,-71.17800,-21.45600,92.46000,225.79700,20.55200,-71.17800
