,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,872.50200,113.02300,46.17800,159.20100,-83.41700,-43.39200,-13.82600,-16.26300,-172.63600,859.06700,-120.84200,-8.28100,-10.27200,-139.39500,359.85820,359.85820,-1066.78200,-1066.78200,-9.11500,-716.03900,-2.59800,19.66100
2021-12-31,768.98500,108.05700,27.38800,135.44500,-66.46800,-118.71800,93.97300,-5.04000,4.39500,908.82500,-103.92800,-220.86200,10.68200,-314.10800,391.97300,391.97300,-979.53500,-979.53500,-2.98700,-590.54900,4.31000,19.59500
2020-12-31,602.73900,98.70900,3.50400,102.21300,-4.49500,-3.83600,-17.80300,-4.76300,19.74700,724.69900,-89.38800,-6.24200,-4.73000,-100.36000,5.17100,5.17100,-748.27900,-748.27900,-0.80000,-743.90800,-113.53100,18.68700
2019-12-31,561.10900,88.68100,13.78800,102.46900,-31.40800,-4.60300,-12.22100,-0.33500,-60.12800,603.45000,-95.91900,-2.00400,-1.16000,-99.08300,258.29700,258.29700,-727.41800,-727.41800,-8.24700,-477.36800,29.67500,18.28500
2018-12-31,512.61100,84.69100,2.24500,86.93600,-19.54000,-21.19500,33.67100,0.62200,-34.54200,565.00500,-134.53600,-5.52700,1.11900,-138.94400,64.29100,64.29100,-450.39900,-450.39900,-1.91400,-388.02200,29.42300,17.57900
2017-12-31,375.97200,76.12900,82.66800,158.79700,-38.98500,-13.68000,11.88500,-6.25100,-18.44400,516.32500,-115.45300,-108.44500,6.55400,-217.34400,59.02300,59.02300,-371.34800,-371.34800,-7.20500,-319.53000,-9.98700,16.58200
2016-12-31,384.37000,68.79500,25.55400,94.34900,-52.15100,-12.43100,9.63300,0.29100,-17.96100,460.75800,-123.53400,-111.38100,3.45900,-231.45600,311.59600,311.59600,-474.52100,-474.52100,-0.68000,-163.60500,59.78700,15.30600
2015-12-31,352.82000,64.03800,21.51500,85.55300,1.62500,-18.78500,1.69800,-5.11900,1.42400,439.79700,-81.55700,-13.77900,-5.41500,-100.75100,147.38700,147.38700,-465.41000,-465.41000,-1.93800,-319.96100,13.62400,14.22300
2014-12-31,338.24100,62.80200,25.62700,88.42900,7.49200,-9.30200,6.29800,4.39200,-7.75800,418.91200,-88.66000,-5.78400,0.12300,-94.32100,42.96500,42.96500,-392.95300,-392.95300,1.75700,-348.23100,-26.61100,13.61100
2013-12-31,306.09400,59.30400,20.10600,79.41000,-28.99500,-8.48400,0.29500,1.60600,-39.57600,345.92800,-82.13800,-2.66100,-1.22400,-86.02300,25.01400,25.01400,-275.23100,-275.23100,0.32500,-249.89200,10.17200,12.63900
2012-12-31,290.84700,54.77800,10.69500,65.47300,-8.76000,46.83100,-27.88100,3.58300,-28.61600,327.70400,-95.16200,-2.09800,,-97.26000,-117.68400,-117.68400,-256.74500,-256.74500,8.03200,-366.39700,-133.89900,13.18500
2011-12-31,269.49300,49.49700,1.72600,51.22300,-53.96400,-20.28100,27.55100,-0.30100,-39.83600,280.88000,-96.01500,-35.37300,-0.90300,-132.29100,-178.09500,-178.09500,-183.80800,-183.80800,1.43400,-360.46900,-211.97600,12.27000
2010-12-31,232.14800,44.52800,10.92500,55.45300,-55.02500,-40.41700,31.69600,-20.10700,-19.32200,268.27900,-73.59300,-3.31400,-0.10800,-77.01500,385.03900,385.03900,-219.54300,-219.54300,2.42700,167.92300,362.54600,12.38500
2009-12-31,172.59300,41.47800,13.16200,54.64000,37.07100,7.81700,-9.41600,-5.80100,5.37200,232.60500,-57.96000,-14.62000,,-72.58000,-161.37600,-161.37600,5.08000,5.08000,-1.14700,-157.44300,6.95800,11.36700
