,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-05-31,6046.00000,840.00000,-38.00000,802.00000,-504.00000,-1676.00000,-845.00000,-1660.00000,5188.00000,-758.00000,,-747.00000,-747.00000,-19.00000,-1524.00000,,15.00000,15.00000,-2863.00000,-2863.00000,-1837.00000,-151.00000,-4836.00000,-1315.00000,638.00000,-1837.00000
2021-05-31,5727.00000,797.00000,88.00000,885.00000,-1606.00000,507.00000,-182.00000,45.00000,6657.00000,-695.00000,,-3276.00000,-3276.00000,171.00000,-3800.00000,,-249.00000,-249.00000,564.00000,564.00000,-1638.00000,-136.00000,-1459.00000,1541.00000,611.00000,-1638.00000
2020-05-31,2539.00000,1119.00000,72.00000,1191.00000,1239.00000,-1854.00000,-654.00000,-1245.00000,2485.00000,-1086.00000,,27.00000,27.00000,31.00000,-1028.00000,6134.00000,43.00000,6177.00000,-2182.00000,-2182.00000,-1452.00000,-52.00000,2491.00000,3882.00000,429.00000,-1452.00000
2019-05-31,4029.00000,720.00000,592.00000,1312.00000,-270.00000,-490.00000,-203.00000,562.00000,5903.00000,-1119.00000,,850.00000,850.00000,5.00000,-264.00000,,-331.00000,-331.00000,-3586.00000,-3586.00000,-1332.00000,-44.00000,-5293.00000,217.00000,325.00000,-1332.00000
2018-05-31,1933.00000,774.00000,766.00000,1540.00000,187.00000,-255.00000,35.00000,1482.00000,4955.00000,-1028.00000,,1326.00000,1326.00000,-22.00000,276.00000,,13.00000,13.00000,-3521.00000,-3521.00000,-1243.00000,-84.00000,-4835.00000,441.00000,218.00000,-1243.00000
2017-05-31,4240.00000,716.00000,-175.00000,541.00000,-426.00000,-231.00000,-120.00000,-935.00000,3846.00000,-1092.00000,,118.00000,118.00000,-34.00000,-1008.00000,1421.00000,327.00000,1748.00000,-2734.00000,-2734.00000,-1133.00000,-29.00000,-2148.00000,670.00000,215.00000,-1133.00000
2016-05-31,3760.00000,662.00000,254.00000,916.00000,60.00000,-590.00000,-161.00000,-1277.00000,3399.00000,-1133.00000,,93.00000,93.00000,6.00000,-1034.00000,868.00000,-67.00000,801.00000,-2731.00000,-2731.00000,-1022.00000,-22.00000,-2974.00000,-714.00000,236.00000,-1022.00000
2015-05-31,3273.00000,649.00000,502.00000,1151.00000,-216.00000,-621.00000,-144.00000,256.00000,4680.00000,-960.00000,,785.00000,785.00000,,-175.00000,-26.00000,-63.00000,-89.00000,-2020.00000,-2020.00000,-899.00000,218.00000,-2790.00000,1632.00000,191.00000,-899.00000
2014-05-31,2693.00000,586.00000,222.00000,808.00000,-298.00000,-505.00000,-210.00000,-488.00000,3013.00000,-877.00000,,-328.00000,-328.00000,-2.00000,-1207.00000,-77.00000,75.00000,-2.00000,-2245.00000,-2245.00000,-799.00000,132.00000,-2914.00000,-1117.00000,177.00000,-799.00000
2013-05-31,2472.00000,502.00000,136.00000,638.00000,142.00000,-219.00000,-28.00000,-78.00000,3032.00000,-584.00000,786.00000,-1140.00000,-1140.00000,-2.00000,-940.00000,937.00000,10.00000,947.00000,-1361.00000,-1361.00000,-703.00000,72.00000,-1045.00000,1083.00000,174.00000,-703.00000
2012-05-31,2211.00000,396.00000,71.00000,467.00000,-323.00000,-815.00000,-141.00000,-854.00000,1824.00000,-561.00000,,1139.00000,1139.00000,8.00000,586.00000,-203.00000,-47.00000,-250.00000,-1346.00000,-1346.00000,-619.00000,115.00000,-2100.00000,377.00000,130.00000,-619.00000
2011-05-31,2133.00000,358.00000,29.00000,387.00000,-273.00000,-551.00000,-35.00000,-708.00000,1812.00000,-431.00000,,-537.00000,-537.00000,-53.00000,-1021.00000,-8.00000,41.00000,33.00000,-1514.00000,-1514.00000,-555.00000,64.00000,-1972.00000,-1124.00000,105.00000,-555.00000
2010-05-31,1907.00000,396.00000,167.00000,563.00000,182.00000,285.00000,-70.00000,694.00000,3164.00000,-325.00000,,-937.00000,-937.00000,-6.00000,-1268.00000,-32.00000,-205.00000,-237.00000,-377.00000,-377.00000,-505.00000,58.00000,-1061.00000,788.00000,159.00000,-505.00000
2009-05-31,1487.00000,784.00000,-123.00000,661.00000,-238.00000,32.00000,14.00000,-412.00000,1736.00000,-423.00000,,-519.00000,-519.00000,144.00000,-798.00000,-7.00000,177.00000,170.00000,-462.00000,-462.00000,-467.00000,25.00000,-734.00000,157.00000,171.00000,-467.00000
