,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,4896.00000,1342.00000,-2783.00000,-1441.00000,-44.00000,-205.00000,-644.00000,-600.00000,2901.00000,-1280.00000,,,,39.00000,-1241.00000,,,,-1504.00000,-1504.00000,-1052.00000,-57.00000,-2613.00000,-953.00000,99.00000,-1052.00000
2021-12-31,7005.00000,1239.00000,-4870.00000,-3631.00000,-10.00000,-52.00000,-348.00000,181.00000,3567.00000,-1331.00000,3400.00000,,,-11.00000,2058.00000,-2236.00000,,-2236.00000,-3705.00000,-3705.00000,-983.00000,-78.00000,-7002.00000,-1377.00000,94.00000,-983.00000
2020-12-31,3189.00000,1267.00000,-355.00000,912.00000,-285.00000,18.00000,13.00000,227.00000,4305.00000,-1215.00000,,,,4.00000,-1211.00000,1212.00000,-78.00000,1134.00000,-490.00000,-490.00000,-953.00000,-123.00000,-432.00000,2662.00000,90.00000,-953.00000
2019-12-31,2248.00000,1265.00000,723.00000,1988.00000,122.00000,-135.00000,-413.00000,128.00000,4297.00000,-1264.00000,,,,57.00000,-1207.00000,-500.00000,-229.00000,-729.00000,-744.00000,-744.00000,-880.00000,-71.00000,-2424.00000,666.00000,127.00000,-880.00000
2018-12-31,3229.00000,800.00000,975.00000,1775.00000,202.00000,-37.00000,-1436.00000,-1148.00000,3827.00000,-1249.00000,-7657.00000,,,28.00000,-8878.00000,-2276.00000,-122.00000,-2398.00000,-1263.00000,-1263.00000,-821.00000,-113.00000,-4595.00000,-9646.00000,86.00000,-821.00000
2017-12-31,2869.00000,475.00000,543.00000,1018.00000,-209.00000,25.00000,-1460.00000,-1231.00000,2613.00000,-928.00000,,,,39.00000,-889.00000,8245.00000,-13.00000,8232.00000,-393.00000,-393.00000,-689.00000,-190.00000,6960.00000,8684.00000,94.00000,-689.00000
2016-12-31,2043.00000,456.00000,983.00000,1439.00000,46.00000,-53.00000,-703.00000,-544.00000,2813.00000,-920.00000,,,,115.00000,-805.00000,563.00000,,563.00000,-1547.00000,-1547.00000,-640.00000,-162.00000,-1786.00000,222.00000,93.00000,-640.00000
2015-12-31,1990.00000,467.00000,568.00000,1035.00000,-30.00000,-80.00000,-220.00000,-827.00000,2162.00000,-471.00000,,,,40.00000,-431.00000,600.00000,,600.00000,-3182.00000,-3182.00000,-603.00000,-90.00000,-3275.00000,-1544.00000,99.00000,-603.00000
2014-12-31,2069.00000,462.00000,269.00000,731.00000,-105.00000,-24.00000,-4.00000,-138.00000,2593.00000,-561.00000,,,,-84.00000,-645.00000,,,,-2668.00000,-2668.00000,-563.00000,-4.00000,-3235.00000,-1287.00000,134.00000,-563.00000
2013-12-31,1952.00000,495.00000,229.00000,724.00000,171.00000,101.00000,-332.00000,-227.00000,2483.00000,-364.00000,,,,18.00000,-346.00000,1964.00000,,1964.00000,-2371.00000,-2371.00000,-545.00000,103.00000,-849.00000,1288.00000,144.00000,-545.00000
2012-12-31,1978.00000,510.00000,216.00000,726.00000,90.00000,46.00000,-136.00000,-52.00000,2640.00000,-331.00000,,250.00000,250.00000,-3.00000,-84.00000,,,,-1316.00000,-1316.00000,-535.00000,155.00000,-1696.00000,860.00000,183.00000,-535.00000
2011-12-31,2118.00000,544.00000,300.00000,844.00000,350.00000,-2.00000,-888.00000,-913.00000,2115.00000,-492.00000,,-250.00000,-250.00000,1422.00000,680.00000,-768.00000,,-768.00000,-2194.00000,-2194.00000,-543.00000,11.00000,-3494.00000,-699.00000,140.00000,-543.00000
2010-12-31,2053.00000,555.00000,654.00000,1209.00000,-471.00000,-64.00000,-318.00000,-809.00000,2453.00000,-585.00000,,-2.00000,-2.00000,-173.00000,-760.00000,473.00000,,473.00000,-1035.00000,-1035.00000,-545.00000,-159.00000,-1266.00000,427.00000,136.00000,-545.00000
2009-12-31,1686.00000,550.00000,-235.00000,315.00000,345.00000,-133.00000,56.00000,200.00000,2133.00000,-473.00000,1650.00000,,,-311.00000,866.00000,369.00000,,369.00000,-1049.00000,-1049.00000,-539.00000,-10.00000,-1229.00000,1770.00000,105.00000,-539.00000
