,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1056.00000,554.00000,60.00000,614.00000,-268.00000,-227.00000,-196.00000,-556.00000,963.00000,-401.00000,-114.00000,,,,54.00000,-461.00000,814.00000,-439.00000,375.00000,-190.00000,-190.00000,-570.00000,-24.00000,-409.00000,94.00000,35.00000,-570.00000
2021-12-31,1441.00000,561.00000,-76.00000,485.00000,-63.00000,-279.00000,-77.00000,-188.00000,1562.00000,-324.00000,-2137.00000,,,,57.00000,-2404.00000,637.00000,190.00000,827.00000,-210.00000,-210.00000,-536.00000,12.00000,93.00000,-821.00000,57.00000,-536.00000
2020-12-31,1071.00000,509.00000,121.00000,630.00000,187.00000,111.00000,24.00000,341.00000,2130.00000,-304.00000,-1169.00000,,,,26.00000,-1447.00000,299.00000,150.00000,449.00000,,,-496.00000,-12.00000,-59.00000,610.00000,44.00000,-496.00000
2019-12-31,1269.00000,511.00000,262.00000,773.00000,121.00000,145.00000,-120.00000,51.00000,2080.00000,-413.00000,-643.00000,,,,47.00000,-1009.00000,-65.00000,100.00000,35.00000,-264.00000,-264.00000,-468.00000,-61.00000,-758.00000,314.00000,39.00000,-468.00000
2018-12-31,1358.00000,497.00000,38.00000,535.00000,-69.00000,-109.00000,-202.00000,-406.00000,1467.00000,-411.00000,-378.00000,,,,25.00000,-764.00000,986.00000,-3.00000,983.00000,-1706.00000,-1706.00000,-453.00000,-29.00000,-1205.00000,-534.00000,37.00000,-453.00000
2017-12-31,1615.00000,460.00000,-175.00000,285.00000,-76.00000,-116.00000,-213.00000,-346.00000,1568.00000,-360.00000,368.00000,,-100.00000,-100.00000,25.00000,-67.00000,-588.00000,-100.00000,-688.00000,-761.00000,-761.00000,-434.00000,-71.00000,-1954.00000,-384.00000,35.00000,-434.00000
2016-12-31,895.00000,440.00000,223.00000,663.00000,-68.00000,56.00000,-32.00000,-143.00000,1351.00000,-380.00000,745.00000,79.00000,,79.00000,-8.00000,436.00000,609.00000,-376.00000,233.00000,-1019.00000,-1019.00000,-414.00000,-10.00000,-1210.00000,509.00000,45.00000,-414.00000
2015-12-31,1427.00000,446.00000,75.00000,521.00000,-125.00000,37.00000,-2.00000,-34.00000,1895.00000,-430.00000,-273.00000,305.00000,19.00000,324.00000,-16.00000,-395.00000,902.00000,-560.00000,342.00000,-698.00000,-698.00000,-383.00000,-73.00000,-812.00000,625.00000,54.00000,-383.00000
2014-12-31,2159.00000,450.00000,-897.00000,-447.00000,-116.00000,-99.00000,-197.00000,-181.00000,1528.00000,-564.00000,-488.00000,143.00000,,143.00000,52.00000,-857.00000,-640.00000,1021.00000,381.00000,-693.00000,-693.00000,-361.00000,-296.00000,-969.00000,-430.00000,71.00000,-361.00000
2013-12-31,3353.00000,452.00000,-2023.00000,-1571.00000,-25.00000,44.00000,-51.00000,-8.00000,1791.00000,-494.00000,-43.00000,569.00000,,569.00000,-29.00000,3.00000,-605.00000,-7.00000,-612.00000,-932.00000,-932.00000,-345.00000,-90.00000,-1979.00000,-190.00000,81.00000,-345.00000
2012-12-31,1064.00000,399.00000,171.00000,570.00000,171.00000,53.00000,-52.00000,172.00000,1787.00000,-330.00000,-122.00000,-1082.00000,,-1082.00000,-77.00000,-1611.00000,207.00000,-10.00000,197.00000,30.00000,30.00000,-358.00000,-220.00000,-351.00000,-151.00000,71.00000,-358.00000
2011-12-31,1212.00000,425.00000,-3.00000,422.00000,-107.00000,-74.00000,-39.00000,-153.00000,1436.00000,-299.00000,-31.00000,624.00000,78.00000,702.00000,-19.00000,353.00000,-400.00000,9.00000,-391.00000,-777.00000,-777.00000,-453.00000,-11.00000,-1632.00000,116.00000,34.00000,-453.00000
2010-12-31,880.00000,470.00000,-229.00000,241.00000,-188.00000,-34.00000,-15.00000,239.00000,1310.00000,-281.00000,-34.00000,-624.00000,,-624.00000,-10.00000,-949.00000,983.00000,-247.00000,736.00000,-440.00000,-440.00000,-447.00000,47.00000,-104.00000,284.00000,,-447.00000
2009-12-31,426.00000,480.00000,-43.00000,437.00000,345.00000,232.00000,104.00000,482.00000,1345.00000,-196.00000,-26.00000,0.00000,,,19.00000,-203.00000,301.00000,-947.00000,-646.00000,-47.00000,-47.00000,-430.00000,,-1123.00000,36.00000,,-430.00000
