,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,2419.00000,1317.00000,2531.00000,3848.00000,-163.00000,-35.00000,-629.00000,-454.00000,5813.00000,-701.00000,,3192.00000,3192.00000,-5912.00000,-3421.00000,1789.00000,1789.00000,-4056.00000,-4056.00000,1157.00000,-1110.00000,1127.00000,1261.00000
2021-12-31,4169.00000,1265.00000,2008.00000,3273.00000,-222.00000,-31.00000,-1465.00000,-1645.00000,5797.00000,-903.00000,-2763.00000,-418.00000,-418.00000,-1065.00000,-5149.00000,-89.00000,-89.00000,-3211.00000,-3211.00000,2743.00000,-557.00000,-11.00000,1376.00000
2020-12-31,4202.00000,1189.00000,1415.00000,2604.00000,-100.00000,-4.00000,-253.00000,-587.00000,6219.00000,-746.00000,-3609.00000,-10605.00000,-10605.00000,-1585.00000,-16545.00000,3966.00000,3966.00000,-1498.00000,-1498.00000,9986.00000,12454.00000,2297.00000,1376.00000
2019-12-31,2459.00000,912.00000,1775.00000,2687.00000,-120.00000,4.00000,-919.00000,-1075.00000,4071.00000,-687.00000,-70.00000,-3003.00000,-3003.00000,-1982.00000,-5742.00000,2955.00000,2955.00000,-1273.00000,-1273.00000,2505.00000,4187.00000,2510.00000,1021.00000
2018-12-31,2057.00000,776.00000,2028.00000,2804.00000,-59.00000,26.00000,696.00000,619.00000,5480.00000,-820.00000,-2124.00000,-483.00000,-483.00000,4248.00000,821.00000,960.00000,960.00000,-3376.00000,-3376.00000,1176.00000,-1240.00000,4948.00000,853.00000
2017-12-31,1795.00000,805.00000,512.00000,1317.00000,12.00000,62.00000,-674.00000,-581.00000,2531.00000,-667.00000,-323.00000,-970.00000,-970.00000,-2525.00000,-4485.00000,820.00000,820.00000,-862.00000,-862.00000,4126.00000,4084.00000,2166.00000,733.00000
2016-12-31,1401.00000,724.00000,1514.00000,2238.00000,-77.00000,11.00000,-484.00000,-481.00000,3158.00000,-669.00000,-19.00000,-2612.00000,-2612.00000,-2604.00000,-5904.00000,-21.00000,-21.00000,-886.00000,-886.00000,2945.00000,2038.00000,-708.00000,438.00000
2015-12-31,1228.00000,608.00000,1216.00000,1824.00000,-22.00000,12.00000,-536.00000,-506.00000,2546.00000,-696.00000,-1225.00000,-5478.00000,-5478.00000,-639.00000,-8038.00000,-862.00000,-862.00000,75.00000,75.00000,5515.00000,4728.00000,-808.00000,346.00000
2014-12-31,419.00000,516.00000,1584.00000,2100.00000,-13.00000,42.00000,-365.00000,-299.00000,2220.00000,-492.00000,-2.00000,-978.00000,-978.00000,-1409.00000,-2881.00000,-21.00000,-21.00000,,,1305.00000,1284.00000,597.00000,299.00000
2013-12-31,955.00000,453.00000,731.00000,1184.00000,1.00000,-13.00000,-175.00000,-146.00000,1993.00000,-391.00000,-731.00000,-290.00000,-290.00000,-309.00000,-1721.00000,-133.00000,-133.00000,,,48.00000,-85.00000,190.00000,253.00000
2012-12-31,778.00000,382.00000,559.00000,941.00000,-20.00000,1.00000,-220.00000,-154.00000,1565.00000,-511.00000,-22.00000,-85.00000,-85.00000,-908.00000,-1526.00000,20.00000,20.00000,,,-230.00000,-210.00000,-172.00000,205.00000
