,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-09-30,3283.40000,1529.40000,1785.30000,3314.70000,-326.10000,-641.00000,345.50000,-1361.80000,-2133.00000,4397.30000,-1841.30000,59.30000,-238.00000,-238.00000,-126.30000,-2146.30000,498.10000,175.00000,673.10000,-3911.40000,-3911.40000,-2263.30000,-136.40000,-5638.00000,-3637.30000,271.50000,-2263.30000
2021-09-30,4200.30000,1524.10000,771.90000,2296.00000,-43.00000,-49.80000,189.90000,-884.40000,-501.20000,5989.10000,-1470.00000,1175.00000,56.70000,56.70000,-81.20000,-319.50000,-1250.00000,-431.20000,-1681.20000,246.20000,246.20000,-2119.00000,-97.00000,-3651.00000,2104.80000,319.10000,-2119.00000
2020-09-30,924.70000,1503.20000,1821.80000,3325.00000,-2.70000,-10.90000,-210.80000,-1237.40000,-2676.40000,1597.80000,-1483.60000,,-183.50000,-183.50000,-44.40000,-1711.50000,4727.60000,438.90000,5166.50000,-1400.10000,-1400.10000,-1923.50000,-129.60000,1713.30000,1664.30000,248.60000,-1923.50000
2019-09-30,3594.60000,1449.30000,-1690.90000,-241.59990,-197.70000,-173.00000,31.90000,750.40000,1648.70000,5047.00000,-1806.60000,684.30000,167.70000,167.70000,-56.20000,-1010.80000,1646.00000,,1646.00000,-9812.50000,-9812.50000,-1761.30000,-129.10000,-10056.90000,-6069.70000,308.00000,-1761.30000
2018-09-30,4518.00000,1305.90000,-813.20000,492.70010,131.00000,-41.20000,391.60000,6286.30000,6913.70000,11937.80000,-1976.40000,-703.10000,312.40000,312.40000,5.60000,-2361.50000,5584.10000,,5584.10000,-6979.60000,-6979.60000,-1743.40000,-103.90000,-3242.80000,6294.00000,250.30000,-1743.40000
2017-09-30,2884.90000,1067.10000,141.20000,1208.30000,-96.80000,14.00000,46.40000,218.00000,89.70000,4251.80000,-1519.40000,85.40000,529.70000,529.70000,54.30000,-850.00000,350.20000,,350.20000,-1891.70000,-1891.70000,-1450.40000,-87.20000,-3079.10000,333.50000,176.00000,-1450.40000
2016-09-30,2818.90000,1030.10000,450.80000,1480.90000,-55.60000,-67.50000,46.90000,429.20000,353.00000,4697.90000,-1440.30000,69.60000,-877.09990,-877.09990,24.90000,-2222.90000,1254.50000,,1254.50000,-1834.90000,-1834.90000,-1178.00000,-114.40000,-1872.80000,598.70000,218.10000,-1178.00000
2015-09-30,2759.30000,933.80000,-276.60000,657.20000,-82.80000,-207.90000,137.70000,431.80000,278.80000,3749.10000,-1294.80000,-284.30000,51.99990,51.99990,6.80000,-1520.30000,238.40000,,238.40000,-1244.30000,-1244.30000,-928.60000,-322.00000,-2256.50000,-178.30000,209.80000,-928.60000
2014-09-30,2067.70000,748.40000,-34.70000,713.70010,-79.70000,14.30000,60.40000,559.10000,-2209.80000,607.80000,-1160.90000,,362.30000,362.30000,-19.10000,-817.70000,748.50000,,748.50000,-618.90000,-618.90000,-783.10000,30.20000,-623.30000,-867.30000,183.20000,-783.10000
2013-09-30,8.80000,655.60000,1486.10000,2141.70000,-68.30000,152.50000,88.70000,216.20000,734.80000,2908.30000,-1151.20000,-610.40000,362.29990,362.29990,-11.90000,-1411.20000,714.50000,,714.50000,-340.90000,-340.90000,-628.90000,147.10000,-108.20000,1387.10000,142.30000,-628.90000
2012-09-30,1384.70000,580.60000,-4.40000,576.20000,-90.30000,-273.30000,-105.20000,41.10000,-234.20000,1750.30000,-856.20000,-129.10000,47.80010,47.80010,-36.50000,-974.00000,,-30.80000,-30.80000,-312.50000,-312.50000,-513.00000,110.80000,-745.50000,40.50000,153.60000,-513.00000
2011-09-30,1248.00000,550.00000,133.10000,683.10000,-88.70000,-422.30000,227.50000,13.30000,-352.00000,1612.40000,-414.50000,-55.80000,-536.00000,-536.00000,-13.20000,-1019.50000,,30.80000,30.80000,-305.50000,-305.50000,-389.50000,56.20000,-608.00000,-15.90000,145.20000,-389.50000
2010-09-30,948.30000,540.80000,31.30000,572.10000,-33.40000,123.20000,-3.60000,41.50000,109.00000,1704.90000,-440.70000,-12.00000,-339.10000,-339.10000,2.30000,-789.50000,,,,-157.70000,-157.70000,-171.00000,-17.30000,-346.00000,564.20000,113.60000,-171.00000
2009-09-30,391.50000,563.30000,196.70000,760.00000,59.10000,28.50000,-53.00000,138.30000,232.10000,1389.00000,-403.10000,,-18.00000,-18.00000,,-421.10000,-0.70000,-713.09960,-713.79960,57.30000,57.30000,,14.30000,-642.20000,330.00000,83.20000,0.00000
