,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,1609.00000,534.00000,1277.00000,1811.00000,-45.00000,-284.00000,-556.00000,2864.00000,-215.00000,,,4456.00000,4456.00000,-7879.00000,-3638.00000,2795.00000,13494.00000,16289.00000,-22.00000,-22.00000,-163.00000,-16113.00000,-9.00000,-783.00000,
2021-12-31,2073.00000,469.00000,-472.00000,-3.00000,-185.00000,-227.00000,-202.00000,1868.00000,-113.00000,,1081.00000,-77578.00000,-77578.00000,-13726.00000,-90336.00000,1636.00000,21.00000,1657.00000,2374.00000,5680.00000,-63.00000,78158.00000,85432.00000,-3036.00000,
2020-12-31,1294.00000,86.00000,-86.00000,,-26.00000,-145.00000,118.00000,1412.00000,-87.00000,,-27.00000,-19165.00000,-19165.00000,-11927.00000,-31206.00000,495.00000,6.00000,501.00000,-29.00000,-29.00000,-17.00000,40201.00000,40656.00000,10862.00000,
2019-12-31,1185.00000,11.00000,70.00000,81.00000,-24.00000,-51.00000,-102.00000,1164.00000,-65.00000,,-102.00000,-4430.00000,-4430.00000,-4775.00000,-9372.00000,-359.00000,-614.00000,-973.00000,-327.00000,13.00000,,12378.00000,11418.00000,3210.00000,
2018-12-31,1011.34800,-24.52400,15.60200,-8.92200,-55.83400,-64.08400,-68.86400,933.56200,-45.86500,,,420.89890,420.89890,-5175.40900,-4800.37500,,-402.31800,-402.31800,-128.73600,-128.73600,,5046.33100,4515.27700,648.46400,
2017-12-31,519.17800,-16.18500,84.62700,68.44200,-31.37200,12.76000,59.24500,646.86500,-50.88400,,,-2752.51300,-2752.51300,-3167.09900,-5970.49600,-97.78100,521.06200,423.28100,27.00300,27.00300,,5250.67200,5700.95600,377.32500,
2016-12-31,390.26600,-44.74900,110.73000,65.98100,-3.66300,30.79600,15.51300,471.76000,-53.31100,,,4192.15300,4192.15300,-3157.28100,981.56100,,-262.23200,-262.23200,26.14700,26.14700,,-174.74300,-410.82800,1042.49300,35.49400
2015-12-31,374.82000,-31.10500,-26.62100,-57.72600,-8.39700,10.06400,22.10300,339.19700,-53.91800,,,-4168.15300,-4168.15300,-2273.66500,-6495.73600,,1113.55000,1113.55000,22.41000,22.41000,,4712.82200,5848.78200,-307.75700,32.23900
2014-12-31,478.66000,-18.06800,-207.16800,-225.23600,-26.64200,29.58300,1.84400,255.26800,-42.43100,,,-8717.12300,-8717.12300,-3474.12700,-12233.68000,,2.70100,2.70100,457.01200,457.01200,,11790.94000,12250.65000,272.23500,29.54500
2013-12-31,544.78300,-6.97400,-315.25200,-322.22600,-3.24100,-45.65200,-50.77900,171.77800,-30.00400,,,-876.49540,-876.49540,-1932.48900,-2838.98800,,-161.03000,-161.03000,46.56900,46.56900,,3311.46700,3197.00600,529.79600,
2012-12-31,249.81300,25.18500,-56.17700,-30.99200,-6.25400,-10.17200,-22.71300,196.10800,-34.26000,,,-900.42110,-900.42110,-1951.68700,-2886.36800,-142.65100,166.11000,23.45900,29.28200,29.28200,,2531.55400,2584.29500,-105.96500,21.86100
2011-12-31,282.79300,-5.81900,-165.57000,-171.38900,-12.37000,32.76400,54.98800,166.39200,-30.85600,,,-2603.52100,-2603.52100,-1404.57900,-4038.95600,-563.66300,-37.24500,-600.90800,36.87300,36.87300,,2475.11500,1911.08000,-1961.48400,18.22100
2010-12-31,136.81700,-3.19300,-36.59400,-39.78700,1.56000,6.74900,66.19800,163.22800,-27.05600,-0.36000,-1.30000,-4057.89800,-4057.89800,-966.09300,-5052.70700,342.51500,-1.51000,341.00500,24.01900,24.01900,,4088.03400,4453.05800,-436.42100,13.76100
2009-12-31,10.64000,-12.98700,147.24500,134.25800,-9.98800,-35.09400,-57.93500,86.96300,-15.96300,,,-2710.41600,-2710.41600,868.91300,-1857.46600,-102.57800,-23.36500,-125.94300,297.98000,62.98000,-12.11000,2921.70400,2846.63100,1076.12800,14.78400
