,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-02-28,1.00000,382.30000,2531.10000,2913.40000,-114.00000,-261.30000,213.70000,4.80000,-185.60000,2705.40000,-1022.70000,-48.90000,37.80000,37.80000,-2.00000,-1035.80000,-369.70010,323.00000,-46.70010,-1212.90000,-1212.90000,-573.00000,-96.90000,-1929.50000,-261.20000,44.90000,-573.00000
2021-02-28,2031.80000,329.40000,360.40000,689.79990,59.60000,193.70000,-95.70000,65.70000,148.30000,2806.50000,-845.70000,979.60000,-222.40000,-222.40000,0.60000,-87.90000,-1526.60000,-238.90000,-1765.50000,58.90000,58.90000,-575.00000,-65.00000,-2346.60000,379.20000,63.00000,-575.00000
2020-02-29,21.40000,359.30000,2180.40000,2539.70000,-22.00000,-29.50000,16.80000,9.50000,-83.70000,2551.10000,-718.20000,233.50000,-46.70000,-46.70000,0.40000,-531.00000,-904.00000,-552.60000,-1456.60000,28.20000,28.20000,-569.20000,-33.80000,-2031.40000,-12.20000,60.40000,-569.20000
2019-02-28,3459.10000,476.50000,-1604.10000,-1127.60000,-71.90000,-61.90000,21.40000,-103.00000,-237.50000,2246.30000,-814.00000,-45.60000,-3971.30000,-3971.30000,-0.90000,-4831.80000,3594.80000,45.50000,3640.30000,-441.10000,-441.10000,-557.70000,-48.20000,2593.30000,3.30000,64.10000,-557.70000
2018-02-28,2315.30000,495.20000,-585.40000,-90.20000,-34.10000,-123.80000,12.80000,-111.50000,-323.40000,1931.40000,-1051.70000,-155.10000,-210.90000,-210.90000,-5.40000,-1423.10000,804.69970,137.20000,941.89970,-989.10000,-989.10000,-400.10000,-153.90000,-601.20000,-87.10000,60.90000,-400.10000
2017-02-28,1532.70000,306.60000,-81.50000,225.10000,-49.40000,-151.00000,115.90000,-71.60000,-23.50000,1696.00000,-905.30000,-535.70000,-17.10000,-17.10000,-3.70000,-1461.80000,993.80000,197.10000,1190.90000,-1063.00000,-1063.00000,-315.10000,52.40000,-134.80000,94.30000,56.10000,-315.10000
2016-02-29,1060.60000,221.00000,318.10000,539.10000,-129.80000,10.10000,24.70000,45.90000,-160.80000,1413.70000,-891.30000,-1316.40000,,,0.30000,-2207.40000,401.30000,360.60000,761.90000,79.20000,79.20000,-241.60000,176.50000,776.00000,-27.00000,54.00000,-241.60000
2015-02-28,836.20000,214.20000,134.30000,348.50000,16.10000,-132.50000,-0.80000,-71.20000,-142.10000,1081.00000,-719.40000,-310.30000,,,13.80000,-1015.90000,299.30000,13.10000,312.40000,63.70000,63.70000,,-392.50000,-16.40000,46.20000,55.00000,
2014-02-28,1943.10000,467.80000,-1550.50000,-1082.70000,36.50000,-41.10000,-49.30000,-0.20000,-1.50000,826.20000,-223.50000,-4681.30000,,,41.00000,-4863.80000,3628.60000,57.30000,3685.90000,125.90000,125.90000,,-34.80000,3777.00000,-267.60000,49.90000,
2013-02-28,387.80000,120.20000,100.10000,220.30000,-38.90000,-90.00000,76.90000,-9.60000,-67.70000,556.30000,-62.10000,-159.30000,,,14.60000,-206.80000,512.80000,-372.60000,140.20000,-220.30000,-220.30000,,-18.60000,-98.70000,245.70000,40.80000,
2012-02-29,445.00000,148.40000,98.20000,246.60000,-5.60000,51.50000,-6.00000,6.50000,101.60000,784.10000,-64.80000,-82.30000,20.20000,20.20000,-8.20000,-135.10000,-475.90000,249.80000,-226.10000,-357.70000,-357.70000,,8.70000,-575.10000,76.60000,47.60000,
2011-02-28,559.50000,157.40000,98.30000,255.70000,-86.00000,190.80000,-82.50000,-7.60000,-160.60000,619.70000,-69.60000,219.70000,-29.70000,-29.70000,67.70000,188.10000,-328.50000,-289.70000,-618.20000,-234.70000,-234.70000,,6.80000,-846.10000,-34.30000,46.00000,
2010-02-28,99.30000,259.10000,52.90000,312.00000,61.90000,51.00000,-42.70000,2.60000,-55.80000,402.60000,-90.50000,349.60000,-0.90000,-0.90000,-1.60000,256.60000,-781.30000,117.10000,-664.20000,16.80000,16.80000,,24.30000,-623.10000,30.40000,56.30000,
2009-02-28,-301.40000,457.40000,290.60000,748.00000,87.40000,-86.00000,-26.90000,9.40000,-99.00000,506.90000,-103.20000,204.30000,-3.20000,-3.20000,30.70000,128.60000,-577.60000,-109.70000,-687.30000,32.70000,32.70000,,7.20000,-647.40000,-7.40000,46.10000,
