,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,170.30000,572.20000,-126.80000,445.40010,109.00000,-792.40000,-991.40000,-224.10000,-2075.20000,-1459.50000,-488.70000,4075.20000,,,-13.90000,3572.60000,,-138.10010,-138.10010,-2284.30000,-2284.30000,-471.60000,922.90000,-1971.10000,110.10000,90.70000,-465.80000
2021-12-31,1550.80000,577.10000,-50.10000,526.99990,-280.60000,-1970.40000,758.30000,-366.00000,-1414.70000,663.10000,-510.70000,-2038.50000,,,-74.60000,-2623.80000,-1.50000,2224.60000,2223.10000,97.10000,-652.90000,-493.70000,-157.80000,918.70000,-1103.50000,118.30000,-474.80000
2020-12-31,1154.80000,578.10000,113.40000,691.50000,-39.60000,-401.50000,310.40000,-75.20000,175.80000,2022.10000,-328.20000,-1265.30000,,,16.40000,-1577.10000,-1154.30000,-342.60000,-1496.90000,120.80000,870.80000,-450.60000,1692.60000,615.90000,1083.70000,109.10000,-431.80000
2019-12-31,956.40000,560.20000,111.20000,671.39990,137.80000,137.70000,-169.10000,-352.10000,-122.10000,1505.70000,-324.60000,-608.80000,-260.60000,-260.60000,-14.60000,-1208.60000,-653.80000,-18.10000,-671.90000,118.50000,853.50000,-402.00000,-72.10000,-292.50000,3.20000,88.80000,-402.00000
2018-12-31,605.80000,506.50000,316.10000,822.60000,-48.80000,-401.60000,211.00000,1.80000,-167.50000,1260.90000,-446.90000,-527.60000,-21.70000,-21.70000,7.10000,-989.10000,12.50000,433.20000,445.70000,-488.60000,-488.60000,-384.90000,-133.80000,-561.60000,-343.70000,76.50000,-384.90000
2017-12-31,1226.90000,503.90000,-247.70000,256.20000,-905.60000,-303.00000,240.40000,30.30000,-814.60000,668.50000,-392.20000,-1826.60000,-17.90000,-17.90000,669.90000,-1566.80000,-2.80000,-76.70000,-79.50000,62.10000,788.10000,-362.90000,-50.50000,295.20000,-522.10000,78.70000,-362.90000
2016-12-31,967.60000,408.00000,118.70000,526.70000,-410.30000,-23.90000,159.70000,-41.20000,-308.80000,1185.50000,-336.40000,-35.30000,,,432.80000,61.10000,,1.90000,1.90000,44.40000,44.40000,-330.90000,-148.50000,-433.10000,711.80000,81.20000,-330.90000
2015-12-31,883.70000,414.00000,124.70000,538.70000,-53.90000,-54.70000,-9.70000,-62.80000,-240.10000,1182.30000,-282.30000,-17.60000,,,94.90000,-205.00000,,1.20000,1.20000,-486.30000,-486.30000,-319.90000,-70.60000,-875.60000,-31.20000,67.90000,-319.90000
2014-12-31,760.90000,449.80000,197.00000,646.80000,68.40000,-175.90000,71.70000,-135.70000,-111.80000,1295.90000,-275.60000,-7.10000,,,-99.50000,-382.20000,-46.60000,-391.00000,-437.60000,43.10000,43.10000,-321.30000,-50.40000,-766.20000,0.40000,57.10000,-321.30000
2013-12-31,490.30000,441.30000,5.90000,447.20000,-0.50000,-101.90000,105.00000,83.90000,-69.50000,868.00000,-336.30000,-840.40000,,,-21.70000,-1198.40000,424.50000,388.70000,813.20000,115.40000,115.40000,-312.70000,-460.40000,155.50000,-219.80000,66.40000,-312.70000
2012-12-31,883.80000,445.30000,-367.30000,78.00000,-70.40000,11.40000,109.10000,-69.90000,4.40000,966.20000,-363.30000,553.30000,,,-7.30000,182.70000,101.20000,-19.00000,82.20000,-947.50000,-947.50000,-304.00000,-168.10000,-1337.40000,-190.90000,89.70000,-304.00000
2011-12-31,674.60000,410.10000,-26.00000,384.10000,-11.00000,-90.20000,214.20000,-175.00000,-59.80000,998.90000,-272.70000,-1152.50000,,,-39.10000,-1464.30000,17.80000,-199.40000,-181.60000,108.50000,108.50000,-275.90000,-22.80000,-371.80000,-835.90000,68.90000,-275.90000
2010-12-31,198.20000,348.70000,259.20000,607.90000,7.90000,35.30000,77.30000,-202.50000,-66.80000,739.30000,-174.50000,-550.30000,,,994.40000,269.60000,494.00000,-263.60000,230.40000,391.20000,391.20000,-201.60000,-106.40000,313.60000,1344.70000,85.10000,-201.60000
2009-12-31,224.30000,200.10000,36.60000,236.70000,106.10000,152.80000,-57.30000,-55.00000,75.80000,536.80000,-90.90000,-24.30000,,,,-115.20000,-64.50000,-119.90000,-184.40000,58.60000,58.60000,-103.60000,-19.60000,-249.00000,186.50000,20.70000,-103.60000
