,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2078.60000,3027.60000,-1231.00000,1796.60000,-240.30000,-259.50000,170.20000,-618.30000,-922.60000,2952.60000,-392.20000,-37.00000,1950.00000,-0.30000,-0.30000,,1520.50000,-1786.90000,-1493.20000,-3280.10000,3.30000,3.30000,-581.60000,-19.50000,-3877.90000,556.30000,116.40000,-581.60000
2021-12-31,-1269.10000,4506.50000,1584.30000,6090.80000,59.30000,-427.60000,-70.40000,-666.50000,-1804.80000,3016.90000,-438.90000,-52.20000,373.70000,-0.40000,-0.40000,,-117.80000,-2491.20000,392.10000,-2099.10000,,,-399.00000,-513.90000,-3012.00000,-143.80000,111.20000,-399.00000
2020-12-31,-669.90000,2216.10000,381.90000,2598.00000,78.70000,-741.90000,-82.70000,46.00000,-696.30000,1231.80000,-240.90000,-438.20000,435.80000,-57.80000,-57.80000,,-301.10000,-1500.90000,1099.60000,-401.29990,0.60000,0.60000,,-205.00000,-605.70000,358.80000,79.20000,0.00000
2019-12-31,16.80000,2019.30000,275.40000,2294.70000,-20.00000,-512.90000,-96.30000,63.50000,-507.80000,1803.70000,-213.20000,-192.80000,-148.70000,1.30000,1.30000,28.00000,-525.40000,-1101.10000,-1.80000,-1102.90000,8.10000,8.10000,,-74.20000,-1169.00000,101.80000,56.80000,
2018-12-31,352.50000,2109.90000,68.30000,2178.20000,340.10000,-547.60000,220.30000,-177.90000,-189.00000,2341.70000,-252.10000,-943.50000,-65.90000,21.80000,21.80000,29.30000,-1210.40000,-587.30000,-44.40000,-631.70010,-414.20000,-414.20000,,-45.00000,-1090.90000,19.40000,-3.30000,
2017-12-31,696.00000,1805.80000,245.40000,2051.20000,-162.20000,-129.50000,14.40000,-420.30000,-682.40000,2064.80000,-275.90000,-620.30000,-167.00000,0.10000,0.10000,86.70000,-976.40000,-1356.60000,-2.90000,-1359.50000,-482.40000,-482.40000,,-51.20000,-1893.10000,-777.10000,74.70000,
2016-12-31,480.00000,1523.00000,853.70000,2376.70000,-131.80000,-279.30000,87.70000,-523.60000,-809.49990,2047.20000,-390.40000,-360.20000,-6481.90000,-8.70000,-8.70000,-436.60000,-7677.80000,5455.90000,40.80000,5496.70000,13.80000,13.80000,,-165.90000,5344.60000,-295.60000,88.90000,
2015-12-31,847.70000,1032.10000,459.90000,1492.00000,65.80000,-320.40000,131.80000,-44.20000,-331.20000,2008.50000,-362.90000,-506.50000,-693.10000,-29.00000,-29.00000,21.80000,-1569.70000,1025.90000,-329.20000,696.69990,30.20000,30.20000,,-122.10000,604.80000,1010.50000,92.80000,
2014-12-31,933.10000,566.60000,-11.30000,555.29990,-231.20000,-147.50000,-0.30000,-173.10000,-473.60000,1014.80000,-325.30000,-420.20000,-50.00000,0.30000,0.30000,-5.10000,-800.30000,-60.80010,-107.80000,-168.60010,53.80000,53.80000,,-152.60000,-267.40000,-65.80000,66.00000,
2013-12-31,626.50000,516.00000,107.00000,623.00000,-553.50000,-157.10000,137.20000,431.60000,-142.89990,1106.60000,-309.30000,-60.90000,-1261.90000,-8.70000,-8.70000,-228.00000,-1868.80000,1494.40000,141.40000,1635.80000,-923.80000,-923.80000,,-19.10000,692.90000,-58.70000,47.00000,
2012-12-31,643.00000,546.60000,166.60000,713.20000,-354.80000,-172.00000,81.40000,88.20000,-407.20000,949.00000,-289.00000,-80.40000,,-1.80000,-1.80000,7.00000,-364.20000,52.60000,174.30000,226.90000,-856.10000,-856.10000,,17.70000,-611.50000,-25.10000,42.60000,
2011-12-31,538.80300,510.68800,144.74500,655.43300,-318.87000,-220.60000,133.66600,-164.94300,-473.81200,720.42400,-279.84800,,-80.51000,-3.13100,-3.13100,31.44800,-332.04100,-186.19800,-15.61400,-201.81200,-282.26000,-282.26000,,-160.92400,-644.99600,-286.99600,42.57600,
2010-12-31,345.54200,422.78800,262.90500,685.69300,21.86500,-94.72800,23.02100,-70.23600,-99.83100,931.40400,-187.84500,,-562.76500,-2.95400,-2.95400,28.15400,-725.41000,241.23100,-27.41500,213.81590,54.65300,54.65300,-139.03500,-29.08400,100.35000,281.53600,31.38500,-139.03500
2009-12-31,247.74800,401.15700,109.87700,511.03400,-175.79800,20.11000,4.24400,113.53700,-153.70700,605.07500,-154.40200,,-236.66100,0.00000,,56.06500,-334.99800,-343.58400,8.56800,-335.01600,19.62300,19.62300,-139.03500,,-454.42800,-176.63100,31.16600,-139.03500
