,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2023-01-31,293,37,-23,14,-317,780,604,911,-8,0,0,-50,-50,-1,-59,-350,-350,-207,-207,-33,-590,282,164
2022-10-31,198,37,152,189,-211,117,82,469,-9,-1,0,-45,-45,-6,-61,0,0,-129,-129,-35,-164,225,171
2022-07-31,186,38,118,156,-51,-41,-85,257,-11,-1,0,-25,-25,-17,-54,0,0,-251,-251,-22,-273,-78,170
2022-04-30,146.00000,38.00000,159.00000,197.00000,332.00000,-61.00000,91.00000,434.00000,-12.00000,-4.00000,-96.00000,173.00000,173.00000,-30.00000,31.00000,,,-390.00000,-390.00000,-70.00000,-460.00000,-10.00000,152.00000
2022-01-31,89,34.1,230.9,265,-136.2,452.9,368.3,722.3,-6,-0.5,-65.3,-221.3,-221.3,-2.5,-295.6,0,0,-594.8,-594.8,-46.8,-641.6,-220.8,145.4
2021-10-31,137,42,137,179,-223,62,-45,271,-14,-2,-30,-56,-56,-11,-113,997,997,-236,-236,-92,669,825,144
2021-07-31,115,39,147,186,-31,-75,-99,202,-16,-7,-123,0,0,0,-146,0,0,-47,-47,-7,-54,1,150
2021-04-30,156.00000,33.00000,154.00000,187.00000,324.00000,-154.00000,-7.00000,336.00000,-20.00000,-1.00000,-1032.00000,4.00000,4.00000,9.00000,-1040.00000,,,-87.00000,-87.00000,-55.00000,-142.00000,-849.00000,116.00000
2021-01-31,911.3,31.6,-694.5,-662.9,-100.2,427.9,409.2,657.6,-23.5,0,-201.4,0,0,-2.3,-227.2,0,0,-151.1,-151.1,-51.7,-202.8,235.2,106.9
2020-10-31,132.2,32.2,108.5,140.7,-49.9,42.1,88.2,361.1,-20.9,0,-44.8,2,2,-1.2,-64.9,0,0,-136,-136,-65.4,-201.4,97.2,97.4
2020-07-31,98.2,30,110.2,140.2,-132.8,-133.4,-147.2,91.2,-26.8,-1.2,0,5,5,-10.8,-33.8,0,0,-5.3,-5.3,-7.1,-12.4,50.1,95.9
2020-04-30,66.50000,30.00000,134.40000,164.40000,295.50000,-48.60000,96.40000,327.30000,-19.90000,-3.60000,,-11.00000,-11.00000,-43.50000,-78.00000,-450.00000,-450.00000,-145.20000,-145.20000,-35.00000,-630.20000,-385.00000,98.20000
2020-01-31,131.8,30.9,44.7,75.6,-131.3,608.8,490.8,698.2,-14,0,0,0,0,-0.6,-14.6,348.9,348.9,-178.7,-178.7,-37,133.2,818.5,105
2019-10-31,66.7,31.6,121.2,152.8,-173,180.7,56.9,276.4,-9.7,0,0,0,0,-0.5,-10.2,-100,-100,-85.2,-85.2,-48.7,-233.9,32.3,94
2019-07-31,40.2,32.1,80.3,112.4,-80.4,112.1,66.7,219.3,-14.8,0,0,22.7,22.7,-11.2,-3.3,-125,-125,-43.3,-43.3,-5.4,-173.7,40.7,88.2
2019-04-30,-24.20000,32.70000,115.10000,147.80000,206.20000,73.60000,97.60000,221.20000,-14.70000,,,-15.20000,-15.20000,0.70000,-29.20000,-125.00000,-125.00000,-41.60000,-41.60000,-25.80000,-192.40000,-2.80000,75.20000
2019-01-31,64.7,25.4,35.3,60.7,-154.8,270,186.1,311.5,-17.6,0,-1006.1,271.9,271.9,1.7,-750.1,500,500,-31.4,-31.4,-24.8,443.8,10.3,74
2018-10-31,-23.7,23.5,95,118.5,-74.8,-6.7,-55.6,39.2,-12.7,0,0,84.4,84.4,8.3,80,0,0,-66.9,-66.9,-67.7,-134.6,-19.7,64.2
2018-07-31,-39.4,22.2,45.6,67.8,-27.2,1.1,14.9,43.3,-20,0,-34.1,-28.4,-28.4,-5.4,-87.9,0,0,-131.4,-131.4,-14.2,-145.6,-197.6,56.9
2018-04-30,-82.40000,24.10000,100.70000,124.80000,231.40000,-59.90000,-59.30000,-16.90000,-16.70000,,,64.90000,64.90000,-0.60000,47.60000,,,27.10000,27.10000,-38.80000,-11.70000,15.00000,54.40000
2018-01-31,-173.5,26.9,98.6,125.5,-130,186.7,127.3,79.3,-11.4,0,0,259.6,259.6,-0.7,247.5,0,0,-259.9,-259.9,-22.5,-282.4,52.8,61.9
2017-10-31,-119.8,24.7,74.2,98.9,-42.2,-16,-30.2,-51.1,-12.9,0,0,78.3,78.3,-7.2,58.2,0,0,-85.4,-85.4,-70.8,-156.2,-148.9,65.1
2017-07-31,-144,28.4,77.5,105.9,-35.4,-31.8,-34.4,-72.5,-17.8,0,0,-31.8,-31.8,-8.2,-57.8,96.9,96.9,-113.5,-113.5,-22.6,-39.2,-166.1,67.6
