,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,1235,124,-214,-90,130,771,1028,2173,-75,0,-17,2,-15,600,510,2843,2843,-2343,-2343,-21,479,3205,102
2022-09-30,1666,109,456,565,-242,-717,-2229,2,-98,0,-739,30,-709,22,-785,0,0,-1990,-1990,-9,-1999,-2821,101
2022-06-30,857,107,50,157,-790,-533,1670,2684,-86,0,0,0,0,-36,-122,0,0,-1239,-1239,1,-1238,1289,108
2022-03-31,-700.00000,111.00000,958.00000,1069.00000,-326.00000,-216.00000,1326.00000,1695.00000,-109.00000,,-12.00000,,-12.00000,,-121.00000,-1102.00000,-1102.00000,-1049.00000,-1049.00000,12.00000,-2139.00000,-574.00000,93.00000
2021-12-31,618,98,11,109,170,-74,-448,279,-101,-1185,-2,500,498,5,-783,0,0,-4,-4,-1,-5,-511,86
2021-09-30,769,102,934,1036,-352,33,-209,1596,-79,0,0,8,8,-8,-79,-1086,-1086,-9,-9,-1,-1096,411,86
2021-06-30,-167,108,23,131,-748,77,1188,1152,-59,0,-15,0,-15,3,-71,-1982,-1982,-13,-13,-12,-2007,-920,91
2021-03-31,-55.00000,113.00000,-3.00000,110.00000,-72.00000,-304.00000,-262.00000,-207.00000,-65.00000,,0.00000,,,,-65.00000,2015.00000,2015.00000,-137.00000,-137.00000,-9.00000,1869.00000,1590.00000,113.00000
2020-12-31,-165,66,-179,-113,337,37,-299,-577,-64,0,-2,0,-2,0,-66,0,0,-4,-4,0,-4,-635,76
2020-09-30,801,703,-410,293,-251,103,-174,920,-72,0,0,0,0,0,-72,0,-56,-5,-5,0,-61,794,85
2020-06-30,122,131,-483,-352,45,1874,352,122,-70,0,-72,1184,1112,0,1042,2864,2920,-13,-13,-33,2874,4040,83
2020-03-31,-699.00000,620.00000,598.00000,1218.00000,760.00000,-1659.00000,-899.00000,-380.00000,-80.00000,,,1813.00000,1813.00000,,1733.00000,,,-1281.00000,-1281.00000,,-1281.00000,51.00000,11.00000
2019-12-31,1171,132,-41,91,119,10,-185,1077,-87,0,-672,855,183,0,96,0,0,-1347,-1347,3,-1344,-153,80
2019-09-30,1950,132,114,246,81,293,-345,1851,-82,0,0,847,847,0,765,0,-37,-1349,-1349,-3,-1389,1209,83
2019-06-30,979,133,136,269,-499,86,539,1787,-88,-9,0,4177,4177,0,4080,0,-213,-2718,-2718,-8,-2939,2922,84
2019-03-31,765.00000,130.00000,-195.00000,-65.00000,-24.00000,-1087.00000,-550.00000,150.00000,-111.00000,,,2220.00000,2220.00000,,2109.00000,,225.00000,-2773.00000,-2773.00000,,-2548.00000,-291.00000,78.00000
2018-12-31,646,123,521,644,131,33,-206,1084,-86,-134,-2686,3315,629,0,409,0,21,-1861,-1861,1,-1839,-349,105
2018-09-30,1767,122,94,216,-58,363,-19,1964,-121,0,0,164,164,0,43,0,1,-2205,-2205,0,-2204,-214,76
2018-06-30,978,120,61,181,-296,90,491,1650,-104,-139,0,370,370,0,127,0,3,-1187,-1187,1,-1183,563,79
2018-03-31,607.00000,120.00000,54.00000,174.00000,-96.00000,-677.00000,-141.00000,640.00000,-131.00000,,,1767.00000,1767.00000,,1636.00000,-1487.00000,-1487.00000,-718.00000,-718.00000,,-2205.00000,82.00000,71.00000
2017-12-31,-555.223,117.052,90.439,207.491,209.184,1266.083,1521.307,1173.575,-2536.191,-0.195,-6941,8918.444,1977.444,0,-558.942,-181.259,-181.259,-709.201,-709.201,-10,-900.46,-284.864,68.452
