,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,279,178,40,218,162,43,10,393,890,-210,-22,-500,-500,0,-732,-1,0,-1,0,0,-73,0,-74,97,32,-73
2022-09-30,292,178,35,213,-373,-64,6,-158,347,-176,-131,-3,-3,12,-298,-3,0,-3,-100,-100,-41,-1,-145,-149,15,-41
2022-06-30,231,185,-3,182,-71,-70,3,-197,216,-150,0,30,0,16,-134,-2,0,-2,-100,-100,-51,0,-153,-114,16,-51
2022-03-31,224.00000,180.00000,14.00000,194.00000,-282.00000,-124.00000,-5.00000,-302.00000,116.00000,-164.00000,-132.00000,,30.00000,12.00000,-254.00000,-2.00000,,-2.00000,-40.00000,-40.00000,-77.00000,-76.00000,-195.00000,-340.00000,12.00000,-77.00000
2021-12-31,154,187,-21,166,-14,114,38,222,542,-164,22,-5,-5,-10,-157,12,0,12,0,0,-74,-2,-64,334,20,-74
2021-09-30,117,195,121,316,113,-122,-31,-291,142,-146,0,-8,-8,15,-139,17,-2,15,0,0,-74,0,-59,-58,15,-74
2021-06-30,274,195,49,244,132,-156,-83,-238,280,-150,-759,-7,-5,0,-914,562,-13,549,0,0,-46,-43,460,-187,15,-46
2021-03-31,94.00000,195.00000,215.00000,410.00000,-290.00000,-104.00000,60.00000,-162.00000,342.00000,-194.00000,,,-2.00000,11.00000,-185.00000,-4.00000,7.00000,3.00000,,,-40.00000,-14.00000,-51.00000,105.00000,12.00000,-40.00000
2020-12-31,385,229,-405,-176,52,-31,76,167,376,-165,-447,0,0,-5,-617,-8,2,-6,-216,-216,-57,5,-274,-471,12,-57
2020-09-30,129,115,99,214,-387,43,47,138,481,-109,0,-6,-6,13,-102,-253,6,-247,0,0,-40,-1,-288,118,13,-40
2020-06-30,-84,112,29,141,210,18,-25,7,64,-50,-2,4,4,21,-27,1109,0,1109,0,0,-37,-11,1061,1102,6,-37
2020-03-31,137.00000,112.00000,7.00000,119.00000,152.00000,-58.00000,1.00000,7.00000,263.00000,-121.00000,,,,1.00000,-120.00000,-1.00000,,-1.00000,,,-49.00000,-12.00000,-62.00000,69.00000,10.00000,-49.00000
2019-12-31,237,115,-202,-87,95,20,47,34,184,-130,0,-53,-1,22,-109,-132,0,-132,0,0,-40,0,-172,-84,12,-40
2019-09-30,207,110,21,131,14,-16,-18,19,357,-98,0,0,-52,47,-103,0,0,0,0,0,-34,4,-30,206,13,-34
2019-06-30,182,107,61,168,5,-9,-9,77,427,-128,1,1,1,-47,-173,6,0,6,-19,-19,-37,-15,-65,193,9,-37
2019-03-31,171.00000,107.00000,41.00000,148.00000,-95.00000,-31.00000,-21.00000,-279.00000,40.00000,-116.00000,13.00000,-1.00000,-1.00000,,-104.00000,-15.00000,,-15.00000,-81.00000,-81.00000,-57.00000,,-153.00000,-222.00000,8.00000,-57.00000
2018-12-31,248,105,-27,78,68,27,-30,244,570,-157,0,-6,-6,42,-121,-12,-4,-16,0,0,-71,27,-60,377,15,-71
2018-09-30,216,108,22,130,48,-18,-29,-95,251,-120,0,3,3,-9,-126,0,-31,-31,-40,-40,-10,-27,-108,0,16,-10
2018-06-30,284,109,-27,82,28,-35,-36,-96,270,-109,0,-2,-2,5,-106,3,-117,-114,-55,-55,-60,17,-212,-48,7,-60
2018-03-31,237.00000,109.00000,19.00000,128.00000,-187.00000,-27.00000,-10.00000,-330.00000,35.00000,-160.00000,,-1.00000,-1.00000,,-161.00000,2.00000,118.00000,120.00000,-55.00000,-55.00000,-36.00000,-32.00000,-3.00000,-135.00000,15.00000,-36.00000
2017-12-31,-132.3,106,379.2,485.2,64,-14.2,-4.9,203.2,556.1,-171.9,-5.4,-1,-1,-3,-181.3,-2.5,-212.9,-215.4,0,0,-65.5,24.1,-256.8,130.4,16.5,-65.5
2017-09-30,194.6,104.9,2.1,107,-58,-39.6,-31.9,-76.9,224.7,-134.9,-180.6,0,0,0,-315.5,-2,156.9,154.9,-15.3,-15.3,-29.4,-2.1,108.1,27.2,11.2,-29.4
2017-06-30,221.1,99.8,28.5,128.3,41.4,-25.7,-38.1,-10.5,338.9,-122,0,-0.5,-0.5,0,-122.5,-6.1,-106.4,-112.5,-53.7,-53.7,-29.4,-2.9,-198.5,28.7,11.2,-29.4
2017-03-31,199.60000,97.30000,24.20000,121.50000,-215.40000,-5.50000,-7.10000,-260.80000,60.30000,-131.20000,,-1.50000,-1.50000,,-132.70000,-6.40000,74.40000,68.00000,-31.00000,-31.00000,-29.70000,-23.10000,-15.80000,-85.30000,13.10000,-29.70000
2016-12-31,195,100.2,-0.3,99.9,38.7,9,-67.8,147.7,442.6,-152.8,80.4,0,0,10.6,-61.8,-177,-180.7,-357.7,-38,-38,-29.6,1.6,-423.7,-75,16.3,-29.6
2016-09-30,93.1,97.8,94.9,192.7,-53.1,-31.4,20.7,-54.9,230.9,-118.9,5.4,0,0,0,-113.5,-2.7,-13.6,-16.3,-66.2,-66.2,-27.6,10.9,-99.2,23.7,7,-27.6
2016-06-30,175.4,99,11.4,110.4,32.7,3.8,-7.9,42,327.8,-125.7,0,0,0,0,-125.7,-0.6,45.5,44.9,-104.3,-104.3,-28,1.3,-86.1,102.7,10.7,-28
2016-03-31,173.20000,94.40000,17.90000,112.30000,-155.80000,-17.90000,-8.00000,-251.10000,34.40000,-103.20000,,,,,-103.20000,-8.70000,19.70000,11.00000,-79.50000,-79.50000,-28.20000,-28.10000,-124.80000,-185.40000,9.60000,-28.20000
2015-12-31,102.9,83.9,57.7,141.6,87.7,-8.2,-23.4,153.2,397.7,-158.5,-1187,0,0,14.4,-1331.1,534.3,214.3,748.6,-219.5,-219.5,-10.4,-21.6,497.1,-455.6,9.7,-10.4
2015-09-30,165.9,78.3,25.1,103.4,5.3,-3.6,-31.8,-118.4,150.9,-133.8,0,0,0,0.9,-132.9,4.7,8,12.7,-67.4,-67.4,-29.5,1.6,-82.6,-74.6,9.9,-29.5
2015-06-30,157.4,80.9,23.7,104.6,27.3,-10.5,-16.4,24.6,286.6,-145,0,0,0,1.7,-143.3,-9.3,-26.7,-36,-29.2,-29.2,-31.5,2,-94.7,72.4,9.7,-31.5
2015-03-31,187.70000,77.10000,8.80000,85.90000,-202.10000,-30.60000,-32.90000,-240.90000,32.70000,-140.00000,-12.60000,,,0.80000,-151.80000,1009.70000,-512.30000,497.40000,-33.70000,-33.70000,-45.30000,-1.60000,416.80000,237.70000,10.90000,-45.30000
2014-12-31,147.4,83.4,15.3,98.7,-23,11.1,-35.2,9.5,255.6,-165.1,-4.1,0,0,5.2,-164,13.8,123.3,137.1,-66.1,-66.1,-30,-93.2,-52.2,15,8,-30
2014-09-30,173,81.8,31.3,113.1,40.1,-32.8,-34.2,-66.1,220,-140.6,0,0,0,1.2,-139.4,7.5,65.4,72.9,-61.6,-61.6,-31.6,-0.1,-20.4,11.4,8.3,-31.6
2014-06-30,199.9,85.1,22.8,107.9,-19.3,-10.1,-43.2,-28,279.8,-131.1,0,0,0,0.5,-130.6,-322.3,193.2,-129.1,-21.6,-21.6,-33.2,-1.2,-185.1,-36.7,8,-33.2
2014-03-31,167.20000,80.10000,48.70000,128.80000,-246.50000,-7.90000,-33.60000,-249.60000,46.40000,-126.20000,-106.40000,,,1.50000,-231.10000,-0.10000,111.30000,111.20000,9.40000,9.40000,-42.40000,-22.20000,56.00000,-131.40000,7.80000,-42.40000
2013-12-31,149.4,76.9,48.8,125.7,103.6,-1.8,-116.4,-71.1,204,-119.9,0,0,0,10.2,-109.7,17.4,-58.7,-41.3,-25.3,-25.3,-30.9,21.3,-76.2,19.1,7.3,-30.9
2013-09-30,172.9,71.6,6,77.6,25.4,-4.1,-41.5,-35.7,214.8,-103.1,0,0,0,7.1,-96,106.2,-63.1,43.1,-69.7,-69.7,-30.2,-0.2,-57,103.4,6.9,-30.2
2013-06-30,180.1,76,3.5,79.5,-23.5,9.7,-10.1,24.1,283.7,-107.4,0,0,0,1.9,-105.5,-56.5,88.4,31.9,-92,-92,0,-1.8,-61.9,121.6,7.2,0
2013-03-31,148.60000,74.90000,-17.40000,57.50000,-197.20000,-18.60000,-1.10000,-189.80000,16.30000,-87.40000,,,,13.80000,-73.60000,145.40000,-11.00000,134.40000,-38.50000,-38.50000,-9.00000,-27.20000,59.70000,-20.30000,15.20000,-9.00000
2012-12-31,126.6,72,11.4,83.4,125.3,33.2,-26.6,126.1,336.1,-124.4,0,0,0,1.5,-122.9,-42.8,-21.9,-64.7,-93.5,-93.5,-1.4,22.1,-137.5,94.2,15.7,-1.4
2012-09-30,105.9,69.8,29.5,99.3,80.7,-11.2,-31.6,27.3,232.5,-94.6,55.2,0,0,1.4,-38,-93.5,44.1,-49.4,1.7,1.7,-6.1,-7.6,-61.4,139.6,9.9,-6.1
2012-06-30,126.2,71.2,60.9,132.1,5.4,-7.4,-16.7,21,279.3,-93.4,0,0,0,1.5,-91.9,112.3,2.3,114.6,-199.1,-199.1,-2.4,-0.1,-87,85,10.1,-2.4
2012-03-31,163.70000,75.60000,-8.50000,67.10000,-167.60000,-19.90000,-7.00000,-200.00000,30.80000,-95.00000,1.60000,,,1.00000,-92.40000,91.50000,-11.70000,79.80000,47.00000,47.00000,-12.00000,-17.50000,97.30000,37.30000,21.00000,-12.00000
2011-12-31,127.2,78.1,63.9,142,41.7,8.9,-28.4,-34.1,235.1,-119.6,-2.1,0,0,26,-95.7,-106.1,38.2,-67.9,-79.5,-79.5,-3.8,0,-151.2,-17.4,5.4,-3.8
2011-09-30,146.7,75.3,-5.8,69.5,-36,-16.5,-11.5,7.3,223.5,-114.2,0,0,0,1.4,-112.8,-52.6,-7.6,-60.2,5.5,5.5,-0.9,-29.4,-85,4.6,5.2,-0.9
2011-06-30,167.3,77.3,2,79.3,23.2,2.6,-3.7,44.4,291,-89.7,2.1,0,0,-0.6,-88.2,11.4,-5.3,6.1,-76.6,-76.6,-9.2,17.6,-62.1,149.5,6.4,-9.2
2011-03-31,129.40000,72.60000,-25.70000,46.90000,-179.50000,-33.60000,-4.90000,-217.70000,-41.40000,-70.20000,-203.70000,,,6.10000,-267.80000,202.80000,42.30000,245.10000,-154.00000,-154.00000,,-12.50000,78.60000,-227.00000,4.80000,
2010-12-31,115.6,65.4,-6.2,59.2,31.7,6.9,13.2,51.4,226.2,-88.8,-5,0,0,6.4,-87.4,9.5,-24.8,-15.3,-101.7,-101.7,-2.7,0,-119.7,17.7,7.2,-2.7
2010-09-30,111.5,68.8,-11.7,57.1,-39.7,-34.7,16.2,-64.2,104.4,-80.4,0,0,0,1.5,-78.9,257.8,-72.8,185,-25.8,-25.8,-0.4,30,188.8,244.7,5,-0.4
2010-06-30,87.7,69,6.1,75.1,-102.4,-3.3,-13.7,-18.6,144.2,-52.1,-164.7,0,0,1.9,-214.9,-8.7,53.9,45.2,-146.2,-146.2,-2.8,0,-103.8,-186.6,5.7,-2.8
2010-03-31,81.40000,68.00000,-9.90000,58.10000,-128.60000,-47.90000,-11.20000,-75.40000,64.10000,-55.30000,5.00000,,,2.00000,-48.30000,-2.50000,13.90000,11.40000,15.10000,15.10000,-5.00000,,21.50000,16.70000,4.90000,-5.00000
2009-12-31,56.6,73.3,-5.3,68,-12.3,-2.9,-53.5,0.1,124.7,-44.8,1.6,0,0,2.6,-40.6,-1.8,-5.4,-7.2,2.9,2.9,-0.1,17,12.6,98.6,4.1,-0.1
2009-09-30,20,70.1,-23.9,46.2,-75.2,10.8,-24.5,-13.7,52.5,-38.9,0,0,0,6.8,-32.1,-4.7,-22.2,-26.9,3.2,3.2,-0.4,-0.7,-24.8,1.9,5.4,-0.4
2009-06-30,-33.9,67.1,15.7,82.8,18.5,51.7,-11.8,56.9,105.8,-49.7,-7.5,0,0,8.5,-48.7,340.3,-157.3,183,33.3,33.3,-3.7,-109,103.6,166.1,7.3,-3.7
2009-03-31,-6.30000,63.10000,37.50000,100.60000,-37.60000,83.40000,-21.60000,-26.30000,68.00000,-38.60000,,,,5.20000,-33.40000,-116.70000,70.20000,-46.50000,0.50000,0.50000,-18.40000,17.80000,-46.60000,-12.60000,5.20000,-18.40000
