,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,102,58,39,97,15,15,6,10,209,-42,0,0,-42,0,-139,-139,5,5,-146,-280,-110,21,-146
2022-09-30,87.00000,56.00000,21.00000,77.00000,63.00000,-6.00000,-29.00000,14.00000,178.00000,-46.00000,,1.00000,-45.00000,,111.00000,111.00000,-1.00000,-1.00000,-145.00000,-35.00000,94.00000,10.00000,-145.00000
2022-06-30,104,57,128,185,-28,35,13,46,335,-79,0,17,-62,-20,-158,-178,5,5,-153,-326,-57,8,-153
2022-03-31,152,57,13,70,-87,19,5,7,229,-63,0,8,-55,0,12,12,3,3,-143,-128,47,19,-143
2021-12-31,72,55,30,85,84,-35,11,24,181,-57,0,1,-56,-300,297,-3,8,8,-148,-143,-18,16,-148
2021-09-30,143.00000,55.00000,19.00000,74.00000,-53.00000,-37.00000,-14.00000,-176.00000,41.00000,-52.00000,,-4.00000,-56.00000,,86.00000,86.00000,-36.00000,-36.00000,-142.00000,-92.00000,-110.00000,9.00000,-142.00000
2021-06-30,100,54,50,104,36,-62,-2,179,383,-99,0,-12,-111,0,0,0,-296,-296,-151,-447,-173,-2,-151
2021-03-31,-59,382,-33,349,-26,-80,-13,-26,264,-81,0,-2,-83,0,0,0,-280,-280,-140,-420,-240,17,-140
2020-12-31,261,53,49,102,80,-70,2,-117,246,-82,0,-25,-107,0,0,0,-119,-119,-158,-277,-130,22,-158
2020-09-30,417.00000,51.00000,-38.00000,13.00000,-8.00000,-70.00000,-19.00000,-47.00000,383.00000,-69.00000,-85.00000,3.00000,-151.00000,,,,-107.00000,-107.00000,-140.00000,-247.00000,-12.00000,13.00000,-140.00000
2020-06-30,310,47,10,57,75,0,20,373,740,-96,0,-11,-107,492,-630,-138,10,10,-134,-262,374,13,-134
2020-03-31,241,45,16,61,-188,53,3,6,308,-47,0,0,-47,0,128,128,82,82,-133,77,331,18,-133
2019-12-31,185,44,20,64,13,-9,7,-22,227,-57,0,1,-56,0,55,55,-77,-77,-133,-155,17,13,-133
2019-09-30,203.00000,44.00000,32.00000,76.00000,73.00000,6.00000,-9.00000,-8.00000,271.00000,-54.00000,,12.00000,-42.00000,,51.00000,51.00000,-101.00000,-101.00000,-133.00000,-183.00000,44.00000,6.00000,-133.00000
2019-06-30,241,47,-4,43,-43,44,4,105,389,-71,0,1,-70,0,72,72,-336,-336,-122,-386,-67,9,-122
2019-03-31,187,45,-47,-2,-57,23,5,-31,154,-49,0,0,-49,0,84,84,-52,-52,-123,-91,15,16,-123
2018-12-31,182,44,24,68,35,-61,-2,-60,190,-50,0,9,-41,0,-47,-47,24,24,-123,-146,0,10,-123
2018-09-30,210.00000,44.00000,21.00000,65.00000,33.00000,-13.00000,-13.00000,-16.00000,259.00000,-36.00000,,,-36.00000,,80.00000,80.00000,-150.00000,-150.00000,-122.00000,-192.00000,31.00000,8.00000,-122.00000
2018-06-30,217,45,56,101,5,37,6,82,400,-68,-681,2,-747,495,-871,-376,-191,-191,-124,-691,-1043,16,-124
2018-03-31,181,40,2,42,-60,-18,3,29,252,-37,0,-1,-38,0,569,569,9,9,-109,469,685,14,-109
2017-12-31,233,41,-11,30,-4,-30,1,-199,64,-40,0,2,-38,-400,479,79,29,29,-109,-1,21,11,-109
2017-09-30,192.00000,40.00000,27.00000,67.00000,35.00000,-10.00000,-6.00000,1.00000,260.00000,-49.00000,,13.00000,-36.00000,396.00000,-391.00000,5.00000,-73.00000,-73.00000,-108.00000,-176.00000,52.00000,12.00000,-108.00000
2017-06-30,201,42,31,73,-3,51,9,109,383,-70,0,1,-69,0,-248,-248,20,20,-103,-331,-16,13,-103
2017-03-31,172,39,-24,15,-55,-7,-1,25,212,-44,0,22,-22,0,-110,-110,38,38,-103,-175,17,13,-103
2016-12-31,149,41,45,86,-17,-40,-7,-135,100,-58,0,2,-56,0,138,138,-71,-71,-102,-35,6,13,-102
2016-09-30,179.00000,41.00000,-4.00000,37.00000,74.00000,-23.00000,-6.00000,-46.00000,170.00000,-59.00000,,1.00000,-58.00000,,95.00000,95.00000,-95.00000,-95.00000,-104.00000,-104.00000,7.00000,12.00000,-104.00000
2016-06-30,165,43,11,54,-28,41,7,112,331,-59,-290,20,-329,0,89,89,-4,-4,-100,-15,-13,12,-100
2016-03-31,162,40,35,75,-52,-9,7,25,262,-45,0,0,-45,0,-68,-68,-29,-29,-100,-197,24,11,-100
2015-12-31,149,41,3,44,-11,-47,2,-155,38,-40,0,0,-40,-300,369,69,46,46,-99,16,7,13,-99
2015-09-30,172.00000,41.00000,12.00000,53.00000,39.00000,-30.00000,-10.00000,-78.00000,147.00000,-28.00000,,12.00000,-16.00000,,36.00000,36.00000,-57.00000,-57.00000,-99.00000,-120.00000,1.00000,9.00000,-99.00000
2015-06-30,191,43,-10,33,3,52,5,155,379,-42,0,16,-26,-1,25,24,-275,-275,-97,-348,4,11,-97
2015-03-31,174,41,-15,26,-57,1,5,18,218,-23,0,0,-23,-79,-428,-507,-25,-25,-97,-629,-441,12,-97
2014-12-31,125,42,-15,27,-27,-52,-5,-118,34,-31,0,1,-30,0,445,445,116,116,-96,465,464,4,-96
2014-09-30,90.00000,43.00000,56.00000,99.00000,87.00000,-26.00000,1.00000,54.00000,243.00000,-29.00000,,2.00000,-27.00000,,-90.00000,-90.00000,1.00000,1.00000,-95.00000,-184.00000,26.00000,5.00000,-95.00000
2014-06-30,170,46,-12,34,-2,60,9,133,337,-50,0,1,-49,0,-251,-251,17,17,-91,-325,-35,7,-91
2014-03-31,137,43,19,62,-55,13,4,21,220,-24,0,-3,-27,0,51,51,-122,-122,-93,-164,23,6,-93
2013-12-31,115,45,-2,43,-11,-28,-1,-126,32,-36,0,1,-35,0,56,56,60,60,-91,25,18,13,-91
