,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-53,304,27,331,817,-1249,605,2567,2740,3018,-118,0,-12,-12,-63,-193,-762,-790,-1552,-178,-178,-107,-6,-1843,999,-107
2022-09-30,-328,310,97,407,517,-1371,690,-440,-604,-525,-108,0,100,100,4,-4,412,452,864,-196,-196,-108,-3,557,-151,-108
2022-06-30,972,302,-33,269,41,671,-82,-762,-132,1109,-132,0,81,81,20,-31,257,-419,-162,-343,-343,-101,-2,-608,385,-101
2022-03-31,567.00000,307.00000,-51.00000,256.00000,-2372.00000,234.00000,-406.00000,-1009.00000,-3553.00000,-2730.00000,-174.00000,,-230.00000,-230.00000,,-404.00000,311.00000,744.00000,1055.00000,-195.00000,-195.00000,-102.00000,-44.00000,714.00000,-2451.00000,-102.00000
2021-12-31,161,317,-308,9,1003,-797,565,2605,3376,3546,-138,0,-23,-23,0,-161,-420,-936,-1356,-171,-171,-102,-2,-1631,1696,-102
2021-09-30,32,309,-344,-35,841,-959,484,-539,-173,-176,-117,0,-68,-68,1,-184,-1,695,694,-195,-195,-103,-4,392,-32,-103
2021-06-30,973,313,-88,225,55,867,-77,-736,109,1307,-126,0,74,74,-1,-53,0,-574,-574,-172,-172,-95,-7,-848,442,-95
2021-03-31,603.00000,304.00000,-201.00000,103.00000,-2012.00000,467.00000,-448.00000,-663.00000,-2656.00000,-1950.00000,-117.00000,,154.00000,154.00000,-1.00000,36.00000,419.00000,828.00000,1247.00000,-312.00000,-312.00000,-97.00000,-17.00000,821.00000,-1143.00000,-97.00000
2020-12-31,43,309,-248,61,806,-377,511,2257,3197,3301,-113,0,-116,-116,0,-229,-557,-1582,-2139,-155,-155,-97,-1,-2392,751,-97
2020-09-30,-390,285,-56,229,1093,-790,88,-598,-207,-368,-95,0,-96,-96,-2,-193,0,616,616,-31,-31,-97,-7,481,-49,-97
2020-06-30,766,300,-107,193,-27,873,-160,-584,102,1061,-67,0,-54,-54,-1,-122,681,-653,28,3,3,-97,-64,-130,831,-97
2020-03-31,282.00000,283.00000,100.00000,383.00000,-1685.00000,398.00000,-557.00000,-751.00000,-2595.00000,-1930.00000,-117.00000,,-9.00000,-9.00000,-4.00000,-130.00000,874.00000,1619.00000,2493.00000,-36.00000,-36.00000,-97.00000,-16.00000,2344.00000,167.00000,-97.00000
2019-12-31,-18,289,-189,100,-361,74,149,3429,3291,3373,-41,-1,113,113,-11,60,-1,-3597,-3598,4,4,-97,1,-3690,-227,-97
2019-09-30,-505,241,23,264,0,0,0,-974,-974,-1215,-164,0,-125,-125,-1,-290,0,1556,1556,-21,-21,-97,8,1446,-113,-97
2019-06-30,-594,1512,-143,1369,0,0,0,-322,-322,453,-171,-9,4,4,4,-172,-6518,-641,-7159,4,4,0,5158,-1997,-1800,0
2019-03-31,176.00000,931.00000,-212.00000,719.00000,,,,-2436.00000,-2436.00000,-1541.00000,-538.00000,21.00000,20.00000,20.00000,-5.00000,-502.00000,716.00000,814.00000,1530.00000,35.00000,35.00000,,-253.00000,1312.00000,-711.00000,
2018-12-31,-522,832,0,832,0,0,0,0,2839,3263,-513,9,0,226,1,-277,0,-1981,-4418,0,4,0,4362,-2033,896,0
2018-09-30,-5116,5294,0,5294,0,0,0,0,-640,-1190,-336,0,0,110,-4,-230,0,1926,-762,0,24,0,-567,621,-883,0
2018-06-30,-2342,-413,0,-413,0,0,0,0,-4036,-1315,-2048,243,0,197,314,-1294,0,-614,-2981,0,-208,988,-422,-3237,-6171,0
2017-12-31,2953,3208,0,3208,0,0,0,0,-1105,-275,1465,-243,0,388,-314,1296,0,1069,2961,0,265,-988,-1282,2025,3268,0
