,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,968.30000,19.80000,53.60000,73.40000,-357.00000,,616.70000,-212.60000,829.10000,-47.50000,-97.10000,,,,1.70000,-142.90000,,,-118.10000,-118.10000,-86.10000,-442.40000,-646.60000,39.60000,22.90000,-86.10000
2022-09-30,1648.2,21.2,80.3,101.5,-593.6,0,-30.6,-625.1,1124.6,-40.2,0,0,0,0,-1.8,-42,-125,-125,-271.8,-271.8,-78.1,280.9,-194,888.6,25.7,-78.1
2022-06-30,1659.3,20.9,26.1,47,-473.7,0,-1403.5,-1434.5,271.8,-35.5,-271.5,0,0,0,2.8,-304.2,574.6,574.6,-289.9,-289.9,-79.2,-177.9,27.6,-4.8,24.8,-79.2
2022-03-31,1442.3,19.9,52,71.9,-336.4,0,-2125.8,-2174.7,-660.5,-41.6,0,0,0,0,-0.6,-42.2,-0.2,-0.2,-264.4,-264.4,-79.1,270.9,-72.8,-775.5,30.9,-79.1
2021-12-31,1145.80000,19.40000,46.20000,65.60000,-319.50000,,-1372.20000,-1385.50000,-174.10000,-30.90000,,,,,4.40000,-26.50000,-0.60000,-0.60000,-303.70000,-303.70000,-80.10000,-187.60000,-572.00000,-772.60000,23.70000,-80.10000
2021-09-30,1345.5,18.5,24.8,43.3,-107.6,0,-821.7,-819.9,568.9,-47.5,-0.1,0,0,0,2.3,-45.3,594,594,-186.1,-186.1,-71.6,408.2,744.5,1268.1,21.7,-71.6
2021-06-30,1116.6,19.5,41.5,61,-196,0,-778.8,-1057.2,120.4,-9.7,-0.2,0,0,0,-0.9,-10.8,27.3,27.3,-231.9,-231.9,-72.1,-95.7,-372.4,-262.8,22.6,-72.1
2021-03-31,933.9,21.2,28.9,50.1,0,0,-1450.3,-886.8,97.2,-101.9,-1.2,0,0,0,-1.6,-104.7,0,0,-343.1,-343.1,-72.7,180.3,-235.5,-243,25.4,-72.7
2020-12-31,795.20000,22.90000,18.90000,41.80000,,,-1343.70000,-1089.10000,-252.10000,-70.70000,-23.00000,,,,2.30000,-91.40000,94.00000,94.00000,-53.80000,-53.80000,-72.90000,-189.00000,-221.70000,-565.20000,21.70000,-72.90000
2020-09-30,831.2,25.4,38.3,63.7,0,0,-214.8,-62.2,832.7,-66.4,-1.2,0,-2.4,-2.4,4.3,-65.7,-3.5999,-3.5999,0,0,-63,-33,-99.6,667.4,18.6,-63
