,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1361.00000,1306.00000,635.00000,1941.00000,-1423.00000,-88.00000,-443.00000,-4276.00000,-974.00000,-1181.00000,,,,-111.00000,-1292.00000,-933.00000,799.00000,-134.00000,,,,-909.00000,-1043.00000,-3145.00000,270.00000,
2022-09-30,254,1317,-1861,-544,1111,-161,-23,2814,2524,-1148,0,0,0,12,-1136,-2435,-59,-2494,27,27,0,-15,-2482,-1343,254,0
2022-06-30,1502,1290,-1658,-368,-164,-162,-8,788,1922,-1735,0,0,0,-113,-1848,82,-145,-63,12,12,0,-99,-150,-314,273,0
2022-03-31,597,1287,-1680,-393,1059,-83,-561,1561,1765,-1079,0,0,0,42,-1037,-1363,-6,-1369,88,88,0,-536,-1817,-1170,254,0
2021-12-31,1200.00000,1269.00000,1997.00000,3266.00000,-1401.00000,-14.00000,-115.00000,-4675.00000,-209.00000,-981.00000,,,,-6.00000,-987.00000,33.00000,-124.00000,-91.00000,,,,-189.00000,-280.00000,-1515.00000,196.00000,
2021-09-30,256,1275,-1190,85,-56,16,284,2291,2632,-1110,0,0,0,24,-1086,-1397,73,-1324,30,30,0,-320,-1614,-112,172,0
2021-06-30,1128,1266,-1204,62,-264,61,18,276,1466,-938,0,0,0,180,-758,-497,-12,-509,11,11,0,-32,-530,183,158,0
2021-03-31,1122,1272,-2696,-1424,1287,81,5,1695,1393,-770,0,0,0,175,-595,-1641,92,-1549,185,185,0,-544,-1908,-1180,136,0
2020-12-31,30.00000,1298.00000,815.00000,2113.00000,-1324.00000,94.00000,-136.00000,-2068.00000,75.00000,-760.00000,,,,28.00000,-732.00000,-138.00000,-179.00000,-317.00000,209.00000,209.00000,,-225.00000,-333.00000,-842.00000,134.00000,
2020-09-30,-629,1335,2380,3715,-157,-72,-165,-948,1667,-729,0,0,0,199,-530,-1146,-4727,-5873,67,67,0,-633,-6439,-5200,137,0
2020-06-30,-4509,6330,-1548,4782,1272,16,182,579,1162,-708,0,0,0,-6,-714,10710,-1765,8945,31,31,0,-673,8303,8776,142,0
2020-03-31,528,1334,-995,339,2252,-11,-16,2195,3157,-1247,0,0,0,-9,-1256,5018,1966,6984,81,81,-1587,21,5499,7504,131,-1587
2019-12-31,2168.00000,1299.00000,568.00000,1867.00000,-1424.00000,81.00000,-158.00000,-2471.00000,1630.00000,-1338.00000,,,,-12.00000,-1350.00000,5.00000,1172.00000,1177.00000,126.00000,126.00000,,-186.00000,1117.00000,1419.00000,115.00000,
2019-09-30,906,1301,-1806,-505,1483,-127,423,1400,1718,-1309,0,0,0,-2,-1311,-12950,1345,-11605,40,40,-1585,153,-12997,-1902,120,-1585
2019-06-30,1615,1306,1038,2344,-1042,-77,744,-5647,-1748,-1177,0,0,0,75,-1102,-1438,2597,1159,195,195,0,-1517,-163,-2865,135,0
2019-03-31,5590,828,-2900,-2072,692,-51,-728,315,3915,-1195,-9901,0,0,-251,-11347,13747,678,14425,46,46,-1310,-54,13107,5759,364,-1310
2018-12-31,2786.00000,732.00000,232.00000,964.00000,-1078.00000,32.00000,493.00000,-1712.00000,2099.00000,-1195.00000,,,,-141.00000,-1336.00000,,-302.00000,-302.00000,37.00000,37.00000,,-146.00000,-411.00000,308.00000,92.00000,
2018-09-30,2419,794,-224,570,458,-70,-377,720,3853,-1201,0,0,0,1008,-193,-515,-2221,-2736,81,81,-1249,42,-3862,-176,86,-1249
2018-06-30,3059,744,450,1194,-174,-11,-335,-716,3679,-1220,0,0,0,-118,-1338,2,-919,-917,-931,-931,0,-251,-2099,136,113,0
2018-03-31,3115,731,416,1147,374,-1,-743,248,4526,-1063,-1581,0,0,-118,-2762,3,232,235,-1254,-1254,-1266,-13,-2298,-500,100,-1266
2017-12-31,4473.00000,742.00000,-1505.00000,-763.00000,-1378.00000,65.00000,5.00000,-1612.00000,2237.00000,-981.00000,,,,-62.00000,-1043.00000,-305.00000,1140.00000,835.00000,-1263.00000,-1263.00000,,-156.00000,-584.00000,631.00000,94.00000,
2017-09-30,1865,708,48,756,893,-98,-454,819,3570,-895,140,0,0,-66,-821,139,1359,1498,-3404,-3404,-1208,-53,-3167,-364,86,-1208
2017-06-30,2474,711,320,1031,-502,3,-323,483,4100,-805,0,0,0,-95,-900,1497,-1026,471,-2374,-2374,0,-840,-2743,503,89,0
2017-03-31,2539,676,403,1079,876,-12,-1101,-464,3228,-883,-557,0,0,85,-1355,972,182,1154,-1914,-1914,-1237,-65,-2062,-146,92,-1237
2016-12-31,2488.00000,687.00000,106.00000,793.00000,-1160.00000,102.00000,751.00000,-2023.00000,1445.00000,-1040.00000,,,,5.00000,-1035.00000,-152.00000,732.00000,580.00000,-1400.00000,-1400.00000,,-167.00000,-987.00000,-689.00000,97.00000,
2016-09-30,1892,689,446,1135,428,-28,-233,425,3521,-1082,-450,0,0,0,-1532,486,-704,-218,-1548,-1548,-1145,11,-2900,-923,88,-1145
2016-06-30,2712,626,212,838,-279,-4,-374,-205,3630,-1135,0,0,0,-53,-1188,234,-925,-691,-1461,-1461,0,36,-2116,212,100,0
2016-03-31,2276,605,407,1012,1816,84,-733,132,3529,-1150,0,0,0,-90,-1240,3322,-1198,2124,-1931,-1931,-1168,-667,-1642,714,99,-1168
2015-12-31,2910.00000,607.00000,389.00000,996.00000,-2358.00000,134.00000,796.00000,-1661.00000,2456.00000,-1406.00000,-400.00000,,,8.00000,-1798.00000,-182.00000,1907.00000,1725.00000,-2300.00000,-2300.00000,,13.00000,-562.00000,32.00000,106.00000,
2015-09-30,1741,603,179,782,18,-47,198,867,3804,-1204,0,-143,-143,157,-1190,2154,24,2178,-3235,-3235,-1115,-388,-2560,-17,101,-1115
2015-06-30,2639,575,-314,261,-21,-81,-754,-131,2808,-1156,0,62,62,-134,-1228,11,398,409,-978,-978,0,-327,-896,730,96,0
2015-03-31,2228,584,-89,495,819,37,-213,191,2918,-907,0,81,81,-10,-836,-807,-793,-1600,-315,-315,-1948,621,-3242,-1332,109,-1948
2014-12-31,2244.00000,592.00000,379.00000,971.00000,-1027.00000,92.00000,70.00000,-1531.00000,1855.00000,-998.00000,,,,7.00000,-991.00000,-1029.00000,2747.00000,1718.00000,-1238.00000,-1238.00000,,417.00000,897.00000,1656.00000,104.00000,
2014-09-30,1625,590,303,893,63,-142,-49,386,3105,-1063,0,13,13,-3,-1053,-48,-1203,-1251,-1384,-1384,0,15,-2620,-669,100,0
2014-06-30,2419,557,178,735,-74,-73,-372,-280,2936,-889,-402,16,16,-6,-1281,1577,-1063,514,-1780,-1780,0,-386,-1652,12,100,0
2014-03-31,2056,580,161,741,706,37,-375,-214,2527,-701,0,230,230,-13,-484,34,167,201,-1335,-1335,-1508,441,-2201,-319,112,-1508
2013-12-31,1904.00000,561.00000,-152.00000,409.00000,-1175.00000,97.00000,-319.00000,-1128.00000,1212.00000,-658.00000,,136.00000,136.00000,-5.00000,-527.00000,-980.00000,2149.00000,1169.00000,-1624.00000,-1624.00000,,218.00000,-237.00000,466.00000,96.00000,
2013-09-30,1543,559,-47,512,-371,-27,281,534,2735,-987,-133,112,112,-6,-1014,-654,-50,-704,-1324,-1324,0,250,-1778,-1,97,0
2013-06-30,2034,569,434,1003,73,-59,212,246,3413,-690,0,17,17,1,-672,-7,-1755,-1762,-636,-636,0,-348,-2746,-20,97,0
2013-03-31,1621,550,61,611,858,42,-427,-105,2160,-574,-45,10,10,84,-525,829,-1239,-410,-620,-620,-24,228,-826,745,108,-24
2012-12-31,1438.00000,514.00000,-273.00000,241.00000,-934.00000,95.00000,-145.00000,-621.00000,1144.00000,-545.00000,-2265.00000,340.00000,340.00000,5.00000,-2465.00000,2261.00000,994.00000,3255.00000,-920.00000,-920.00000,-1300.00000,101.00000,1136.00000,-180.00000,100.00000,-1300.00000
2012-09-30,1390,492,389,881,-344,-58,59,-767,1535,-933,-366,110,110,-100,-1289,-1622,1025,-597,-809,-809,0,101,-1305,-987,97,0
2012-06-30,2036,522,37,559,48,6,167,106,2885,-740,-11,0,0,62,-689,-35,-848,-883,-53,-53,0,-518,-1454,643,103,0
2012-03-31,1226,488,190,678,831,18,-196,40,1812,-1477,-350,0,0,24,-1803,73,1266,1339,-459,-459,-1076,100,-96,-35,108,-1076
2011-12-31,1521.00000,485.00000,102.00000,587.00000,-643.00000,52.00000,-233.00000,-522.00000,1734.00000,-634.00000,-361.00000,,,17.00000,-978.00000,1541.00000,-976.00000,565.00000,-686.00000,-686.00000,,-9.00000,-130.00000,581.00000,100.00000,0.00000
2011-09-30,1251,462,56,518,14,-94,-132,145,2104,-998,-12,0,0,-109,-1119,1062,-227,835,-1937,-1937,0,-99,-1201,-334,113,0
2011-06-30,1663,476,84,560,-511,-75,431,-467,1822,-716,-3,0,0,108,-611,265,150,415,-1344,-1344,0,104,-825,425,98,0
