,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,265,391,18,409,-202,106,-119,138,-109,565,-961,0,8,8,-25,-978,-871,168,-703,1300,1300,-173,-19,405,-8,-173
2022-09-30,387,384,11,395,178,-207,-135,-342,-506,276,-862,0,-4,-4,-19,-885,586,179,765,1,1,-172,-16,578,-31,-172
2022-06-30,37,374,-23,351,-346,-126,405,7,-60,328,-767,0,1,1,-20,-786,0,571,571,1,1,-171,-17,384,-74,-171
2022-03-31,394.00000,361.00000,22.00000,383.00000,18.00000,129.00000,-42.00000,-74.00000,31.00000,808.00000,-764.00000,,-1.00000,-1.00000,-17.00000,-782.00000,869.00000,-514.00000,355.00000,-54.00000,-54.00000,-176.00000,-30.00000,95.00000,121.00000,-176.00000
2021-12-31,305,381,4,385,-138,56,83,511,5,695,-1071,0,6,6,-18,-1083,144,397,541,9,9,-172,-11,367,-21,-172
2021-09-30,22,359,260,619,-93,-156,113,-49,-185,456,-826,0,3,3,-29,-852,-2661,292,-2369,1,1,-218,-412,-2998,-3394,-218
2021-06-30,179,394,57,451,-22,-105,132,224,229,859,-1204,0,2,2,-21,-1223,2463,17,2480,10,10,-222,-24,2244,1880,-222
2021-03-31,397.00000,383.00000,45.00000,428.00000,107.00000,52.00000,-20.00000,93.00000,232.00000,1057.00000,-668.00000,,,,-37.00000,-705.00000,989.00000,14.00000,1003.00000,-42.00000,-42.00000,-224.00000,-35.00000,702.00000,1054.00000,-224.00000
2020-12-31,275,399,44,443,-232,99,80,240,198,916,-963,0,10,10,-24,-977,768,-950,-182,13,13,-198,-18,-385,-446,-198
2020-09-30,477,365,57,422,187,-30,-2,46,201,1100,-862,0,-12,-12,-34,-908,657,74,731,25,25,-198,-409,149,341,-198
2020-06-30,277,350,133,483,5,-79,-54,-25,-140,620,-835,2,2,2,-12,-843,593,-217,376,-10,-10,-198,0,168,-55,-198
2020-03-31,342.00000,366.00000,211.00000,577.00000,151.00000,55.00000,-24.00000,-27.00000,142.00000,1061.00000,-1184.00000,-128.00000,-13.00000,-13.00000,-17.00000,-1342.00000,792.00000,303.00000,1095.00000,10.00000,10.00000,-205.00000,-36.00000,864.00000,583.00000,-205.00000
2019-12-31,268,355,35,390,-139,54,3,22,90,748,-838,-2296,-21,-21,-19,-3174,252,104,356,2326,2326,-189,-50,2443,17,-189
2019-09-30,317,337,207,544,-181,-41,-44,-4,-327,534,-763,-174,-88,-88,-19,-1044,-5,721,716,0,0,-186,-6,524,14,-186
2019-06-30,179,320,63,383,226,-161,41,69,53,615,-728,0,-13,-13,-25,-766,794,-153,641,-9,-9,-183,-297,152,1,-183
2019-03-31,408.00000,311.00000,63.00000,374.00000,143.00000,207.00000,-288.00000,-92.00000,-30.00000,752.00000,-668.00000,,-23.00000,-23.00000,-57.00000,-748.00000,644.00000,-453.00000,191.00000,9.00000,9.00000,-193.00000,-26.00000,-19.00000,-15.00000,-193.00000
2018-12-31,196,304,-1,303,-129,-43,137,112,134,633,-934,0,-76,-76,-1,-1011,-1,532,531,46,46,-178,-49,350,-28,-178
2018-09-30,335,287,10,297,65,-93,43,-86,-18,614,-622,0,-312,-312,-22,-956,910,-397,513,1,1,-164,10,360,18,-164
2018-06-30,236,282,1,283,-13,-78,102,100,76,595,-630,0,-164,-164,0,-794,418,-161,257,-6,-6,-164,12,99,-100,-164
2018-03-31,351.00000,296.00000,47.00000,343.00000,33.00000,182.00000,-136.00000,288.00000,144.00000,838.00000,-527.00000,,-61.00000,-61.00000,2.00000,-586.00000,,14.00000,14.00000,12.00000,12.00000,-162.00000,-19.00000,-155.00000,97.00000,-162.00000
2017-12-31,280,288,-44,244,-295,37,104,400,43,567,-678,0,-106,-106,24,-760,388,-38,350,50,50,-159,-45,196,3,-159
2017-09-30,263,273,86,359,-6,-73,2,-311,-255,367,-536,0,-18,-18,0,-554,136,239,375,0,0,-157,-29,189,2,-157
2017-06-30,175,261,56,317,-35,-103,56,-11,-96,396,-481,0,-61,-61,-64,-606,-7,361,354,-11,-11,-168,17,192,-18,-168
2017-03-31,394.00000,261.00000,85.00000,346.00000,84.00000,135.00000,-33.00000,-9.00000,47.00000,787.00000,-555.00000,,-90.00000,-90.00000,3.00000,-642.00000,496.00000,-440.00000,56.00000,-40.00000,-40.00000,-148.00000,-24.00000,-156.00000,-11.00000,-148.00000
2016-12-31,124,288,20,308,-232,27,106,-17,-115,317,-703,-1147,-38,-38,1,-1887,904,89,993,768,768,-143,-24,1594,24,-143
2016-09-30,325,245,110,355,-75,-76,49,-83,-189,491,-481,0,-79,-79,-5,-565,-10,235,225,0,0,-131,14,108,34,-131
2016-06-30,145,257,44,301,-16,-57,83,69,85,531,-437,0,-92,-92,28,-501,286,-190,96,0,0,-131,2,-33,-3,-131
