,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,398.4,35.4,-75,-39.6,-1.1,-62.3,-32.5,-76,282.8,-68.9,-20.2,-2,0,192.5,192.5,-6.7,94.7,-0.1,-0.1,-838.5,-838.5,0.2,-838.4,-479.1,27.9
2022-09-30,343.5,35.4,29.1,64.5,-5.3,-65.3,-12.6,-98.1,309.9,-59.9,0,-52.1,-584.1,514.8,-69.3,-20.2,-201.5,-0.1,0,-68,-68,-1.9,-69.9,48.8,30.3
2022-06-30,406.4,34.1,-25.4,8.7,-19.9,-61.8,4.5,-82.9,332.2,-43.1,0,-55.5,584.1,-317.4,266.7,-38.5,129.6,0,-0.1,-306.1,-306.1,-1.9,-308.1,167.6,36.2
2022-03-31,373.60000,34.70000,4.40000,39.10000,-57.80000,-24.00000,-11.30000,-119.40000,293.30000,-72.70000,,,,299.90000,299.90000,2.30000,229.50000,,,-368.10000,-368.10000,,-368.10000,167.90000,32.40000
2021-12-31,335.3,33,-65.5,-32.5,6.8,-6.6,6.5,70.8,373.6,-89.8,-4,-7.4,0,-857.2,-857.2,-7.5,-965.9,-0.1,-0.1,-62.6,-62.6,0.7,-62,-652.5,24.2
2021-09-30,340.1,33.6,12.8,46.4,38,8.1,14.2,145.4,531.9,-60.7,0,0,-168.5,-131.4,-299.9,-16.8,-377.4,-15.7,-0.1,37.1,37.1,2,39,194,26.6
2021-06-30,489.5,35.8,-68.3,-32.5,-46.4,15,-2.7,69.1,526.1,-69.3,0,-5.7,168.5,-420.9,-252.4,-2.1,-329.5,14.4,-1.2,-57.7,-57.7,-0.1,-59,135,30.3
2021-03-31,338.20000,32.40000,40.70000,73.10000,-89.50000,2.50000,-28.60000,-110.80000,300.50000,-106.00000,,,,59.40000,59.40000,-3.10000,-49.70000,-0.40000,-0.40000,-271.00000,-271.00000,-2.90000,-274.30000,-9.30000,28.20000
2020-12-31,309.5,32.6,19.2,51.8,51.1,-2.4,-4.8,38.5,399.8,-113.2,-0.3,0,0,-138.9,-138.9,-7.5,-259.9,0.9,0.9,36.8,36.8,3.7,41.4,170.7,20.9
2020-09-30,325.2,25.6,-80.1,-54.5,-30.7,-19,0.9,-54.6,216.1,-103.3,0,0,21.9,-15.3,6.6,-29.6,-126.3,-0.5,-0.5,34.8,34.8,-0.3,34,120.5,23
2020-06-30,-121.9,24.5,366.2,390.7,25.7,-64,14.8,-37.5,231.3,-108.3,0,-10,-21.9,114.4,92.5,15.6,-10.2,-0.9,-0.9,29.2,29.2,-4.2,24.1,240.7,24.8
2020-03-31,310.60000,24.50000,46.70000,71.20000,-4.20000,-35.20000,-23.10000,-174.70000,207.10000,-82.20000,,,,-34.90000,-34.90000,-17.60000,-134.70000,-0.30000,-0.30000,-585.70000,-585.70000,-0.40000,-586.40000,-516.10000,23.90000
2019-12-31,280.2,23.9,27.7,51.6,-17.7,-21.5,38.4,71.1,402.9,-71.5,0,0,0,-361.5,-361.5,-12.3,-445.3,-22,1.7,35,35,0.3,37,-4,18.4
2019-09-30,274.7,23.1,50.8,73.9,18.9,-22,-10.1,88.7,437.3,-76.1,0,0,5.4,67.9,73.3,-9.9,-12.7,22.5,-1.2,37.7,37.7,-2.1,34.4,459.8,19.8
2019-06-30,242.3,21.7,-91,-69.3,-43.4,-32.5,-0.3,168.2,341.2,-64.6,-7.2,-100.2,-3.5,90.6,87.1,-3.4,-88.3,-10.2,-10.2,-214.8,-214.8,-6.4,-231.4,17.6,22.3
2019-03-31,249.70000,20.60000,56.00000,76.60000,-45.80000,-29.40000,8.90000,-324.80000,1.50000,-42.20000,-16.80000,-35.00000,-1.90000,44.80000,42.90000,1.60000,-49.50000,-0.30000,-0.30000,39.30000,39.30000,5.40000,44.40000,-4.90000,20.80000
2018-12-31,7,19.9,253.7,273.6,-28.4,-22.2,3.6,12.3,292.9,-57.6,0,0,0,66.1,66.1,-2.8,5.7,-599.6,-599.6,-244.3,-244.3,-0.8,-844.7,-547.3,16
2018-09-30,225.9,19.2,22.9,42.1,-2.9,-23,26.7,74.3,342.3,-85.1,0,0,0,-164.7,-164.7,-4.4,-254.2,-1.3,-1.3,-138.1,-138.1,82.7,-56.7,34.9,17.4
2018-06-30,282.7,19.2,65.5,84.7,-24.8,-17.2,17.3,-227.2,140.2,-52.8,0,0,3.1,161.6,164.7,-7,104.9,168.7,163.6,-308.8,-308.8,-95.5,-240.7,-0.6,19.2
2018-03-31,206.60000,19.10000,7.70000,26.80000,27.40000,-3.30000,-30.60000,-82.10000,151.30000,-43.20000,-3.00000,,-3.10000,279.00000,275.90000,-9.40000,220.30000,-5.10000,,42.70000,42.70000,-1.80000,40.90000,408.70000,18.40000
