,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-11-30,788,1046,1009,2055,-771,-33,-1325,1518,-1848,0,-43,-43,-1891,-3,-3,-1492,-1492,-299,1,-1793,-2204,40,-299
2022-08-31,875.00000,1024.00000,1073.00000,2097.00000,259.00000,-151.00000,-1365.00000,1607.00000,-1274.00000,,-35.00000,-35.00000,-1309.00000,-29.00000,-29.00000,81.00000,81.00000,-299.00000,,-247.00000,-47.00000,68.00000,-299.00000
2022-05-31,558,1018,1791,2809,-244,-652,135,3502,-2361,0,-2,-2,-2363,-48,-48,33,33,-195,-1,-211,832,39,-195
2022-02-28,1112,986,1013,1999,453,-6,-863,2248,-1196,0,-145,-145,-1341,-41,-41,-1460,-1460,-198,0,-1699,-768,39,-198
2021-11-30,1044,995,1245,2240,-1245,-75,-1286,1998,-1562,0,0,0,-1562,-8,-8,-172,-172,-200,1,-379,-20,43,-200
2021-08-31,1112.00000,971.00000,1106.00000,2077.00000,726.00000,-215.00000,-1105.00000,2084.00000,-1550.00000,,,,-1550.00000,-64.00000,-64.00000,-465.00000,-465.00000,-200.00000,-1.00000,-730.00000,-234.00000,69.00000,-200.00000
2021-05-31,1868,975,322,1297,-202,-228,-422,2743,-1668,-3,0,0,-1671,-2971,-2971,258,258,-173,-25,-2911,-1769,39,-173
2021-02-28,892,956,715,1671,-87,-136,-401,2162,-1302,-225,0,0,-1527,-30,-30,51,51,-172,-1,-152,517,40,-172
2020-11-30,1226,936,1197,2133,-713,-110,-780,2579,-1394,0,0,0,-1394,-19,-19,349,349,-171,-11,148,1385,46,-171
2020-08-31,1245.00000,926.00000,749.00000,1675.00000,-387.00000,-80.00000,-269.00000,2651.00000,-1418.00000,,,,-1418.00000,914.00000,914.00000,82.00000,82.00000,-170.00000,-1.00000,825.00000,2073.00000,75.00000,-170.00000
2020-05-31,-334,1362,1597,2959,-827,-804,-806,1819,-1156,0,0,0,-1156,2960,2662,26,26,-170,-4,2514,3115,31,-170
2020-02-29,315,908,714,1622,180,8,-733,1204,-1428,0,0,0,-1428,-24,124,12,12,-170,0,-34,-265,33,-170
2019-11-30,560,901,676,1577,-417,-57,-628,1509,-1843,0,0,0,-1843,-36,114,14,14,-169,0,-41,-358,37,-169
2019-08-31,745.00000,879.00000,866.00000,1745.00000,-267.00000,-121.00000,-1925.00000,565.00000,-1419.00000,,,,-1419.00000,1108.00000,1108.00000,9.00000,9.00000,-170.00000,-5.00000,942.00000,70.00000,67.00000,-170.00000
2019-05-31,-1969,866,3599,4465,-93,-849,-206,2290,-1712,-66,0,0,-1778,-562,-782,-72,-72,-169,-9,-1032,-553,33,-169
