,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,13624,4201,5500,9701,-4615,0,-28,-515,289,23614,-7595,-84,2114,-884,1230,222,-6227,-168,-168,-15382,-15382,-2079,-17629,-105,5100
2022-09-30,13910,4046,4601,8647,-97,0,1907,-2535,796,23353,-7276,-5649,11659,-358,11301,791,-833,-674,-674,-15382,-15382,-2041,-18097,4048,4976
2022-06-30,16002,3899,3738,7637,-1969,0,1201,-759,-4217,19422,-6828,-1063,3858,-375,3483,221,-4187,-356,-356,-15197,-15197,-2264,-17817,-2950,4782
2022-03-31,16436.00000,3782.00000,3991.00000,7773.00000,4364.00000,,-2373.00000,-870.00000,897.00000,25106.00000,-9786.00000,-173.00000,1317.00000,-764.00000,553.00000,355.00000,-9051.00000,2.00000,2.00000,-13300.00000,-13300.00000,-2916.00000,-16214.00000,-59.00000,4504.00000
2021-12-31,20642,3439,3078,6517,-5819,0,1157,-31,-2225,24934,-6383,-385,-3922,-426,-4348,100,-11016,-115,-115,-13473,-13473,-2923,-16511,-2774,3954
2021-09-30,18936,3304,493,3797,-2409,0,238,-983,2806,25539,-6819,-259,-3038,-322,-3360,388,-10050,-42,-42,-12610,-12610,-2602,-15254,89,3874
2021-06-30,18525,2945,1291,4236,-3661,0,-130,-202,-871,21890,-5496,-308,-2764,-529,-3293,23,-9074,-1042,-1042,-12496,-12496,-2453,-15991,-2992,3803
2021-03-31,17930.00000,2753.00000,-161.00000,2592.00000,2794.00000,,-982.00000,144.00000,-1233.00000,19289.00000,-5942.00000,-1666.00000,2822.00000,-627.00000,2195.00000,30.00000,-5383.00000,-37.00000,-37.00000,-11385.00000,-11385.00000,-2184.00000,-13606.00000,157.00000,3745.00000
2020-12-31,15227,3725,2023,5748,-5445,0,963,-531,1702,22677,-5479,-370,3511,-4886,-1375,-57,-7281,-57,-57,-7566,-7566,-1647,-9270,6336,3223
2020-09-30,11247,3478,1522,5000,-3601,0,420,47,756,17003,-5406,-13,-8944,-428,-9372,-406,-15197,9802,9802,-7899,-7899,-1357,546,2387,3195
2020-06-30,6959,3386,1321,4707,-80,0,146,-133,2327,13993,-5391,-165,-2485,-526,-3011,119,-8448,-35,-35,-5988,-5988,-1475,-7498,-1902,3382
2020-03-31,6836.00000,3108.00000,4465.00000,7573.00000,2602.00000,,-835.00000,-78.00000,-2958.00000,11451.00000,-6005.00000,-190.00000,4248.00000,-312.00000,3936.00000,412.00000,-1847.00000,-49.00000,-49.00000,-6896.00000,-6896.00000,-1241.00000,-8186.00000,1146.00000,3191.00000
2019-12-31,10671,3413,1565,4978,-4365,0,814,352,-1222,14427,-23548,-2142,3695,-325,3370,121,-4703,-47,-47,-6080,-6080,-1199,-7326,2466,2645
2019-09-30,7068,2920,3793,6713,-1,0,57,-670,1685,15466,10764,-126,-2153,-313,-2466,379,-8945,-145,-145,-5678,-5678,-1131,-6954,-555,2624
2019-06-30,9947,2835,582,3417,-1146,0,-18,80,-737,12627,-6126,-148,-4155,-81,-4236,55,-10455,-46,-46,-3440,-3440,-1260,-4746,-2561,2756
2019-03-31,6657.00000,2613.00000,1637.00000,4250.00000,1172.00000,,-425.00000,-346.00000,1093.00000,12000.00000,-4638.00000,-99.00000,123.00000,-808.00000,-685.00000,34.00000,-5388.00000,-30.00000,-30.00000,-2978.00000,-2978.00000,-1175.00000,-4183.00000,2447.00000,2769.00000
2018-12-31,8948,2580,964,3544,-2887,0,774,132,495,12987,-7081,-39,763,-548,215,29,-6876,-5,-5,-1700,-1700,-1041,-2746,3258,2253
2018-09-30,9192,2355,1795,4150,-670,0,316,-507,-132,13210,-5282,-18,-4896,-232,-5128,20,-10408,-25,-25,-2200,-2200,-1253,-3478,-705,2230
2018-06-30,3195,2114,1343,3457,-312,0,-145,-350,3480,10132,-5507,-184,1980,288,2268,49,-3374,-1344,-1344,-2052,-2052,-1541,-4937,1490,2413
2018-03-31,9401.00000,1986.00000,-810.00000,1176.00000,1700.00000,,122.00000,-111.00000,1065.00000,11642.00000,-7269.00000,-1250.00000,502.00000,171.00000,673.00000,,-7846.00000,1313.00000,1313.00000,-2173.00000,-2173.00000,-1158.00000,-2018.00000,1943.00000,2457.00000
2017-12-31,-3020,2026,1935,3961,-3049,0,673,84,9327,10268,-4388,-14,-2115,-556,-2671,99,-6974,-22,-22,-2101,-2101,-1055,-3178,134,1847
2017-09-30,6732,1761,1665,3426,-1150,0,-61,-1599,-286,9872,-3511,-130,-10683,-80,-10763,0,-14404,-8,-8,320,320,-1018,-706,-5130,1820
2017-06-30,3524,1625,1970,3595,-836,0,16,-242,284,7403,-2818,-42,-4681,-300,-4981,669,-7172,-38,-38,-1618,-1618,-1084,-2740,-2421,2003
