,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,333,65,-5,60,-270,0,161,89,482,-20,-20,0,0,0,15,-25,-13,-13,-498,-498,-41,17,-535,-76,36,-41
2022-09-30,346,49,79,128,0,0,197,197,671,-8,-18,0,-53,-53,75,-4,-5,-5,-506,-506,-41,1,-551,108,42,-41
2022-06-30,367,50,13,63,0,0,-97,-97,333,-7,-15,0,0,0,-46,-68,-12,-12,-465,-465,-41,6,-512,-256,47,-41
2022-03-31,211.00000,52.00000,23.00000,75.00000,,,-91.00000,-91.00000,195.00000,-4.00000,-10.00000,,,,-12.00000,-26.00000,5.00000,5.00000,-121.00000,-121.00000,,-51.00000,-167.00000,-2.00000,37.00000,
2021-12-31,148,70,83,153,-301,0,-142,-170,131,-12,-16,0,0,0,5,-23,-4,-4,0,0,0,25,21,125,49,0
2021-09-30,240,55,48,103,0,0,-65,-65,278,-8,-12,0,0,0,0,-20,2,2,0,0,0,2,4,260,52,0
2021-06-30,128,53,-14,39,0,0,-296,-296,-129,-6,-8,0,0,0,16,2,-1202,-1202,0,0,0,8,-1194,-1320,53,0
2021-03-31,-109.00000,58.00000,-45.00000,13.00000,,,-75.00000,-75.00000,-171.00000,-3.00000,-8.00000,,,,-5.00000,-16.00000,-516.00000,-516.00000,,,,-108.00000,-624.00000,-816.00000,39.00000,
2020-12-31,-225,86,135,221,488,0,-208,-134,-138,-8,-8,0,0,0,-2,-18,-7,-7,0,0,0,-48,-55,-205,60,0
2020-09-30,-81,97,8,105,0,0,-124,-124,-100,-8,-5,0,0,0,0,-13,-1,-1,0,0,0,6,5,-107,25,0
2020-06-30,-432,95,-41,54,0,0,1195,1195,817,-18,-16,0,0,0,5,-29,992,992,0,0,0,-10,982,1770,24,0
2020-03-31,18.00000,99.00000,43.00000,142.00000,,,-31.00000,-31.00000,129.00000,-12.00000,-17.00000,,,,-18.00000,-47.00000,1485.00000,1485.00000,-296.00000,-296.00000,-42.00000,-47.00000,1100.00000,1175.00000,-12.00000,-42.00000
2019-12-31,176,114,-46,68,-105,0,-36,-42,202,-15,-45,0,0,0,-16,-76,185,185,-452,-452,-42,4,-305,-179,31,-42
2019-09-30,290,93,-31,62,0,0,180,180,532,100,-35,0,0,0,-17,48,-10,-10,-433,-433,-43,1,-485,91,42,-43
2019-06-30,261,93,49,142,0,0,-117,-117,286,-23,-25,0,0,0,-3,-51,439,439,-357,-357,-43,-19,20,257,47,-43
2019-03-31,159.00000,91.00000,-7.00000,84.00000,,,121.00000,121.00000,364.00000,-23.00000,-19.00000,,,,-2.00000,-44.00000,39.00000,39.00000,-296.00000,-296.00000,-44.00000,-42.00000,-343.00000,-23.00000,34.00000,-44.00000
2018-12-31,225,106,-36,70,-161,0,59,46,341,-21,-25,0,0,0,-5,-51,-304,-304,-160,-160,-44,-2,-510,-216,24,-44
2018-09-30,164,87,65,152,0,0,66,66,382,-23,-24,0,0,0,42,-5,-3,-3,-122,-122,-45,-4,-174,195,35,-45
2018-06-30,217,86,26,112,0,0,-40,-40,289,-18,-23,0,0,0,-8,-49,992,992,-1329,-1329,-45,-23,-405,-178,40,-45
2018-03-31,163.00000,89.00000,-34.00000,55.00000,,,25.00000,25.00000,243.00000,-10.00000,-15.00000,,,,-1.00000,-26.00000,-14.00000,-14.00000,-110.00000,-110.00000,-47.00000,-40.00000,-211.00000,13.00000,28.00000,-47.00000
2017-12-31,730,104,-562,-458,-204,0,203,-18,254,-22,-30,0,0,0,0,-52,-11,-11,-266,-266,-48,-3,-328,-126,30,-48
2017-09-30,160,87,-26,61,0,0,30,30,251,-18,-16,0,0,0,4,-30,-12,-12,-273,-273,-49,-1,-335,-113,32,-49
2017-06-30,151,88,-46,42,0,0,101,101,294,-9,-20,0,0,0,1,-28,-12,-12,-282,-282,-49,-2,-345,-77,34,-49
2017-03-31,48.00000,89.00000,-51.00000,38.00000,,,-96.00000,-96.00000,50.00000,-9.00000,-9.00000,,,,-19.00000,-37.00000,-1.00000,-1.00000,-70.00000,-70.00000,-49.00000,-596.00000,-716.00000,-698.00000,25.00000,-49.00000
2016-12-31,-392,212,28,240,-156,0,289,493,341,-91,-25,35,0,0,4,-77,450,450,0,0,-70,-69,311,553,41,-70
2016-09-30,192,169,-16,153,0,0,-50,-50,295,-58,-21,-17,0,0,-14,-110,-30,-30,0,0,-69,-37,-136,50,23,-69
2016-06-30,244,171,-41,130,0,0,-39,-39,335,-84,-24,-9,0,0,-9,-126,-32,-32,0,0,-69,-2,-103,108,16,-69
2016-03-31,310.00000,169.00000,6.00000,175.00000,,,-146.00000,-146.00000,339.00000,-84.00000,-11.00000,-9.00000,,,-6.00000,-110.00000,-32.00000,-32.00000,,,-69.00000,-15.00000,-116.00000,117.00000,11.00000,-69.00000
2015-12-31,816,211,-463,-252,-47,-39,-161,-109,455,-88,-24,-2,5,5,8,-101,-269,-269,0,0,-69,12,-326,26,10,-69
2015-09-30,283,171,-126,45,0,0,15,15,343,273,-15,-8,0,0,7,257,-380,-380,0,0,-69,-26,-475,117,14,-69
2015-06-30,167,173,30,203,0,0,-8,-8,362,-71,-15,-120,-5,-5,4,-207,-217,-217,0,0,0,26,-191,-36,81,0
2015-03-31,150.00000,175.00000,-35.00000,140.00000,,,-4.00000,-4.00000,286.00000,1781.00000,-8.00000,-1309.00000,,,1.00000,465.00000,-710.00000,-710.00000,,,,-51.00000,-761.00000,-19.00000,19.00000,
2014-12-31,159,208,112,320,-143,56,55,-71,408,-80,-24,-11,6,6,-1,-110,-349,-349,0,0,0,17,-332,-41,21,0
2014-09-30,187,159,-18,141,0,0,59,59,387,-69,-13,-33,-1,-1,37,-79,-292,-292,0,0,0,-10,-302,-2,16,0
2014-06-30,212,158,-10,148,0,0,5,5,365,-32,-17,-5,-3,-3,9,-48,-214,-214,0,0,0,5,-209,110,22,0
2014-03-31,124.00000,153.00000,-52.00000,101.00000,,,-78.00000,-78.00000,147.00000,-43.00000,-15.00000,-16.00000,-2.00000,-2.00000,3.00000,-73.00000,-219.00000,-219.00000,,,,-13.00000,-232.00000,-159.00000,19.00000,
2013-12-31,62,173,31,204,-16,19,741,811,1077,-87,-28,-32,0,0,17,-130,-2215,-2215,1243,1243,0,-102,-1074,-130,257,0
2013-09-30,203,146,10,156,0,0,27,27,386,-46,-24,-2,-1,-1,4,-69,-399,-399,0,0,0,144,-255,63,2,0
2013-06-30,157,149,55,204,0,0,105,105,466,-64,-15,-39,-2,-2,1,-119,-399,-399,0,0,0,-58,-457,-116,1,0
2013-03-31,38.00000,160.00000,51.00000,211.00000,,,-77.00000,-77.00000,172.00000,-57.00000,-11.00000,-1.00000,-1.00000,-1.00000,6.00000,-64.00000,-102.00000,-102.00000,,,,25.00000,-77.00000,22.00000,2.00000,
2012-12-31,64,151,-38,113,0,0,-23,2,360,-97,75,-20,3,0,-103,-145,262,-496,0,0,0,156,-340,-128,-20,0
2012-09-30,40,-176,38,-138,0,0,23,-307,-417,-27,-75,54,-3,8,90,50,-262,424,0,0,0,54,478,117,20,0
2011-12-31,144,-35,0,-35,0,0,0,-474,334,-153,0,157,0,-7,-392,-395,0,-426,0,0,0,415,-11,-73,0,0
2010-12-31,111,605,0,605,0,0,0,804,833,-148,0,-222,0,-4,306,-68,0,-260,0,0,0,-443,-703,58,0,0
