,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,28.461,18.218,111.402,129.62,-26.691,-19.188,114.371,9.277,125.581,283.662,-21.273,0,0.361,0,0.361,-20.912,-0.756,-0.756,18.126,18.126,-19.85,-2.48,260.897,52.679
2022-09-30,112.775,16.692,38.758,55.45,64.78,-11.126,-31.595,-14.636,128.156,296.381,-27.811,0,-0.591,0,-0.591,-28.402,-0.738,-0.738,5.297,5.297,-18.87,-14.311,255.198,45.404
2022-06-30,161.432,16.507,111.451,127.958,-120.624,-23.287,42.223,-11.409,-115.233,174.157,-11.743,0,-0.737,0,-0.737,-12.48,-0.7,-0.7,21.294,21.294,-4.693,15.901,178.566,46.496
2022-03-31,37.99200,16.43800,101.00500,117.44300,53.95600,-13.90300,-19.56300,-13.97100,60.30600,215.74100,-17.00600,,0.25800,,0.25800,-16.74800,-0.66800,-0.66800,16.39800,16.39800,-15.63400,0.09600,199.29900,43.84100
2021-12-31,563.851,14.858,-423.704,-408.846,-99.611,-4.75,57.601,-39.296,-39.654,115.351,-34.463,0,-6.736,-24.848,-31.584,-66.047,-0.629,-0.629,10.194,10.194,-0.56,9.005,58.457,48.222
2021-09-30,181.739,14.691,75.09,89.781,-78.519,0.072,-7.591,-21.803,-16.422,255.098,-32.153,0,-1.746,1.145,-0.601,-32.754,-0.615,-0.615,4.763,4.763,-23.491,-19.343,201.442,42.694
2021-06-30,149.456,14.457,20.961,35.418,-40.813,-11.881,37.042,7.796,-11.93,172.944,-66.307,0,7.834,9.328,17.162,-49.145,-0.6,-0.6,21.293,21.293,-17.014,3.679,127.65,44.732
2021-03-31,53.53500,13.83800,85.28500,99.12300,84.63700,-4.40600,-13.70900,-10.77700,53.43700,206.09500,-48.08300,,-3.00800,-8.66200,-11.67000,-59.75300,-0.57300,-0.57300,22.37600,22.37600,-8.96800,12.83500,156.84600,47.35800
2020-12-31,149.85,13.166,40.863,54.029,-117.529,-10.264,-23.745,3.334,-96.558,107.321,-51.433,0,-51.297,0,-51.297,-102.73,-0.217,-0.217,41.468,41.468,-29.379,11.872,14.327,45.261
2020-09-30,-15.203,12.949,64.247,77.196,64.068,0.18,31.603,0.279,120.122,182.115,-52.821,0,25.654,12.714,38.368,-14.453,-0.232,-0.232,7.783,7.783,-6.62,0.931,171.125,43.8
