,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,218.7,104.8,-72.5,32.2999,-35.1,34.6,44,49.3,103.8,354.8,-33.5,-184.3,0,0,0,-217.8,-8.5,-8.5,1.3,1.3,-8.1,-3.9,-19.2,153.5,16.6,-8.1
2022-09-30,146,115,46.3,161.3,-51.9,-69,21.4,-20.5,-32.9,274.4,-21.8,-32.2,0,0,0,-54,-7.6,-7.6,2.2,2.2,-8.1,-6.5,-20,150.3,20.1,-8.1
2022-06-30,139.3,104.5,21.8,126.3,-40.5,-91.8,14,-2.1,-79.5,186.1,-21.4,0,0,0,4.1,-17.3,-629.9,-629.9,-148.8,-148.8,-8,-12,-798.7,-681,22.4,-8
2022-03-31,104.50000,108.50000,25.90000,134.40000,-67.70000,-99.40000,41.00000,-24.90000,-188.80000,50.10000,-17.90000,-30.30000,,,,-48.20000,-9.60000,-9.60000,-96.50000,-96.50000,-8.20000,-1.80000,-116.10000,-119.40000,19.80000,-8.20000
2021-12-31,293.7,111.8,-166.5,-54.7,-18.7,-7.8,34.5,90.7,7.9,246.9,-22.9,-165.5,0,0,0,-188.4,-10,-10,3.4,3.4,-8.2,0,-14.8,76.6,22.2,-8.2
2021-09-30,126.8,102.5,38.4,140.9,29.2,-45.9,2.9,24.3,-121.6,146.1,-15.3,-593.5,0,0,0,-608.8,-406,-406,-726.1,-726.1,0,0,-1132.1,-1636.9,21.9,0
2021-06-30,234.6,102.3,-70.7,31.6,-26.2,-30.7,53.7,-120,-118.9,147.3,-11.7,-13.3,0,0,0,-25,-9.8,-9.8,7.5,7.5,0,0,-2.3,2030.3,21.5,0
2021-03-31,-90.10000,105.50000,183.30000,288.80000,-46.80000,-50.00000,27.10000,-40.10000,-111.20000,87.50000,-4.70000,-202.50000,,,,-207.20000,-9.90000,-9.90000,2.10000,2.10000,,,-7.80000,-111.30000,21.60000,
2020-12-31,151.1,116.4,-91.3,25.1,6.9,68.7,-11.4,-53.6,87.1,263.3,-12.7,-0.4,0,0,0,-13.1,-9.9,-9.9,-5.6,-5.6,0,26.3,10.8,437.6,20.2,0
2020-09-30,29.9,137.2,-7.3,129.9,-19.1,98.8,-47.1,46.1,34.1,193.9,-6.3,-31.9,0,0,0,-38.2,-9.6,-9.6,5.8,5.8,0,-15.2,-19,139.7,11.9,0
2020-06-30,-176.6,115.6,99.8,215.4,52.5,10.9,-66,-42,119.5,158.3,-13.8,0,0,0,0,-13.8,385.1,385.1,3.6,3.6,0,-9.9,378.8,617.9,12,0
2020-03-31,-36.80000,63.20000,5.40000,68.60000,12.10000,-19.40000,81.10000,12.70000,6.20000,38.00000,-7.50000,41.30000,,,,33.80000,-4.60000,-4.60000,1.90000,1.90000,,-39.20000,-41.90000,50.20000,3.40000,
2019-12-31,25.7,13.6,-72.1,-58.5,-62.2,53.6,34.5,0.2,12,-20.8,-4.4,0,0,0,0,-4.4,-1.8,-1.8,4.1,4.1,0,0.5,2.8,99.1,5.3,0
2019-09-30,41.3,43,-7.1,35.9,30.5,8.8,10.5,-2.8,37,114.2,-9.1,-11.5,0,0,0,-20.6,-2,-2,5,5,0,0,3,88.9,-0.2,0
2019-06-30,45,44.4,18.1,62.5,11.8,-1.5,-9.6,-30.5,-46.2,61.3,-9.8,0,0,0,0,-9.8,-1.9,-1.9,5.4,5.4,0,-2.3,1.2,53.8,6.1,0
2019-03-31,47.10000,45.50000,5.60000,51.10000,5.40000,-33.50000,8.80000,-25.60000,-29.40000,68.80000,-14.20000,-0.50000,,,,-14.70000,-26.90000,-26.90000,9.60000,9.60000,,,-17.30000,42.50000,7.50000,
2018-12-31,94.5,45.8,-27.8,18,2.7,31.7,12.4,-8.3,33.7,146.2,-19.7,-72.7,0,0,0,-92.4,-75.2,-75.2,-23.5,-23.5,0,-1.5,-100.2,-47.8,-3.3,0
2018-09-30,72.2,44.4,19.3,63.7,-32.7,2.1,11.9,-22,-32.1,103.8,-11.2,0,0,0,0,-11.2,-151.9,-151.9,-6.4,-6.4,0,0,-158.3,-68.8,0.9,0
2018-06-30,60.3,45.2,6,51.2,33.2,-3.9,36.9,1.3,22.8,134.3,-10.7,-18.7,0,0,0,-29.4,-105.2,-105.2,-1.1,-1.1,0,0,-106.3,-16,1.8,0
2018-03-31,42.40000,45.00000,7.60000,52.60000,10.00000,-42.90000,8.40000,-12.30000,-34.80000,60.20000,-7.10000,-94.90000,,,,-102.00000,-5.30000,-5.30000,-2.90000,-2.90000,,,-8.20000,-39.50000,3.40000,
2017-12-31,143.6,48.5,-167.5,-119,0.2,13.7,0.1,83,92,116.6,-17.7,0,0,0,0,-17.7,-7.1001,-7.1001,-0.7,-0.7,0,-1.4,-9.2,90.3,9,0
2017-09-30,28.1,43.4,37,80.4,-49.9,-15,18,-15.5,-44.6,63.9,-8.7,0,6.2,6.2,0,-2.5,-2.1,-2.1,-4.5,-4.5,0,-2.4,-9,57.3,9.8,0
2017-06-30,-146.2,43.8,156.3,200.1,-27.1,-6,18.6,0.2,-31.3,22.6,-5.5,-18.5,0,0,0,-24,-853.3,-853.3,897.1,897.1,0,-29.7,14.1,20.1,156.2,0
2017-03-31,-7.00000,39.70000,-2.60000,37.10000,11.10000,-15.40000,3.20000,-11.00000,-32.70000,-2.60000,-16.30000,-0.30000,,,,-16.60000,-6.10000,-6.10000,-7.10000,-7.10000,,-0.10000,-13.30000,-30.20000,,
2016-12-31,-4.29,69.57,46.8,116.37,-18.1,3.8,-21.3,-12.7,39.06,58.84,-22.29,0.02,0,0,0,-22.27,19.1,-6.39,9.7,-1.15,0,-4.66,-12.2,13.58,0,0
2016-09-30,-13,42.9,-31.7,11.2,1.5,13.2,17,16.1,39.6,37.8,-20.1,-13.9,0,0,0,-34,-6.2,-6.2,-2,-2,0,-0.1,-8.3,-4.2,0,0
2016-06-30,-14,85.5,-15.1,70.4,16.6,-17,4.3,-3.4,12.6,69,-25.8,0,0,0,0,-25.8,-12.9,-12.9,-7.7,-7.7,0,-1.9,-22.5,18.1,0,0
2015-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
