,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-11-30,37.58,64.752,120.492,185.2439,155.658,1256.748,-332.574,959.664,1182.488,-111.301,0,-0.038,-0.038,0,-111.339,-492.6075,0,-492.6075,-8.424,-8.424,-3.747,-504.779,566.37,17.964
2022-08-31,125.905,67.43,121.169,188.599,208.135,19.4,-412.971,-365.8671,-51.363,-109.571,0,1.294,1.294,0,-108.277,291.3833,0,291.3833,-152.355,-152.355,-6.3,132.728,-26.912,24.567
2022-05-31,252.26500,70.47300,128.90500,199.37800,-49.60300,433.48400,-410.01700,79.30910,530.95200,-94.80800,,-4.23000,-4.23000,,-99.03800,-291.48580,,-291.48580,-159.53100,-159.53100,-3.94000,-454.95700,-23.04300,22.44300
2022-02-28,159.836,72.369,81.011,153.38,2.151,-465.109,-321.695,-780.021,-466.805,-81.631,0.014,-9.445,-9.445,0,-91.062,699.616,0,699.616,-97.033,-97.033,-5.659,596.925,39.058,0.235
2021-11-30,269.438,71.519,121.275,192.794,-45.875,-554.024,-614.589,-1159.556,-697.324,-89.065,11.682,24.936,24.936,0,-52.447,848.091,-0.167,847.924,-104.232,-104.232,-4.926,738.766,-11.005,36.182
2021-08-31,285.267,66.944,104.851,171.795,-70.322,-856.609,-603.327,-1730.5,-1273.438,-78.433,-241.578,2.918,2.918,0,-317.093,1482.6991,0.167,1482.8661,-183.159,-183.159,-5.637,1294.07,-296.461,31.706
2021-05-31,436.75600,62.35600,54.54100,116.89700,-174.14900,-91.69000,-715.48100,-665.53600,-111.88300,-59.14500,0.61700,-4.61500,-4.61500,,-63.14300,591.26390,,591.26390,-112.24900,-112.24900,-3.91000,475.10500,300.07900,41.07400
2021-02-28,209.945,61.661,47.6,109.261,-65.618,-389.529,-295.565,-519.832,-200.626,-40.584,29.911,4.566,4.566,0,-6.107,139.2032,-1.008,138.1952,-22.46,-22.46,-5.499,110.237,-96.496,47.953
2020-11-30,235.3,61.528,9.896,71.424,34.176,44.754,-258.04,-328.114,-21.39,-30.934,0,1.215,1.215,0,-29.719,-341.7359,0.17,-341.5659,-101.903,-101.903,-4.76,-448.229,-499.338,11.152
2020-08-31,296.696,60.627,69.091,129.718,-58.137,-925.529,-209.545,-786.197,-359.783,-28.301,0,1.016,1.016,0,-27.285,408.3772,0.752,409.1292,90.007,90.007,-5.427,493.709,106.641,37.737
2020-05-31,4.97800,58.34000,191.05400,249.39400,46.07200,946.98600,384.23100,995.18700,1249.55900,-62.87100,,-2.20100,-2.20100,,-65.07200,-524.73900,0.04600,-524.69300,-52.43400,-52.43400,-2.61000,-579.73700,604.75000,25.05700
2020-02-29,214.934,57.585,91.056,148.641,-48.353,-163.842,-334.918,-482.275,-118.7,-82.719,0,-50.058,-50.058,0,-132.777,364.6011,-0.381,364.2201,-81.13,-81.13,-5.253,277.838,26.361,10.684
2019-11-30,173.156,54.758,89.596,144.354,-1.646,-77.824,-277.726,-309.96,7.55,-77.83,0,0.111,0.111,0,-77.719,173.8828,-0.494,173.3888,-106.812,-106.812,-3.987,62.59,-7.579,29.29
2019-08-31,233.599,51.962,85.811,137.773,-7.212,-53.607,-370.692,-540.029,-168.657,-92.376,0,-0.381,-0.381,0,-92.757,349.5718,0.244,349.8158,-76.698,-76.698,-7.446,265.672,4.258,23.862
