,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,180,84,72,156,-36,0,28,-231,105,-53,-190,0,0,-15,-258,-86,0,-86,3,3,-50,-2,-135,-288,20,-50
2022-09-30,164,81,-50,31,100,0,59,553,748,-27,0,0,0,1,-26,-25,0,-25,9,9,-49,-152,-217,505,18,-49
2022-06-30,172,83,-53,30,-6,0,101,-162,40,-15,6,0,0,1,-8,-27,0,-27,8,8,-49,74,6,38,19,-49
2022-03-31,177.00000,85.00000,-41.00000,44.00000,-232.00000,,-28.00000,-128.00000,93.00000,-28.00000,7.00000,,,,-21.00000,-27.00000,,-27.00000,-514.00000,-514.00000,-51.00000,73.00000,-519.00000,-447.00000,16.00000,-51.00000
2021-12-31,176,81,-7,74,98,0,-18,-40,210,-33,0,0,0,-4,-37,-26,0,-26,7,7,-50,0,-69,104,18,-50
2021-09-30,208,87,21,108,-14,0,70,249,565,-24,-29,0,0,0,-53,-27,0,-27,-130,-130,-51,-1,-209,303,17,-51
2021-06-30,170,80,17,97,-79,0,86,-250,17,-21,-375,0,0,0,-396,353,0,353,7,7,-48,1,313,-66,17,-48
2021-03-31,205.00000,77.00000,7.00000,84.00000,-10.00000,,5.00000,-50.00000,239.00000,-26.00000,-218.00000,,,,-244.00000,-26.00000,,-26.00000,-110.00000,-110.00000,-50.00000,38.00000,-148.00000,-153.00000,15.00000,-50.00000
2020-12-31,197,68,20,88,-267,0,55,-337,-52,-61,-45,0,0,5,-101,224,0,224,-61,-61,-48,-17,98,-55,17,-48
2020-09-30,163,82,18,100,-86,0,34,329,592,-20,0,0,0,5,-15,-477,0,-477,9,9,-49,0,-517,60,15,-49
2020-06-30,154,71,37,108,137,0,58,160,422,-46,-968,0,0,0,-1014,774,0,774,6,6,-48,-23,709,117,15,-48
2020-03-31,115.00000,61.00000,45.00000,106.00000,89.00000,,-43.00000,151.00000,372.00000,-44.00000,-1642.00000,,,1.00000,-1685.00000,1248.00000,,1248.00000,-24.00000,-24.00000,-51.00000,-12.00000,1161.00000,-152.00000,15.00000,-51.00000
2019-12-31,181,60,-5,55,48,0,7,-67,169,-237,178,0,0,5,-54,-30,0,-30,-17,-17,-97,0,-144,-29,14,-97
2019-09-30,162,59,51,110,36,0,-22,77,349,162,-265,0,0,1,-102,-2,0,-2,-202,-202,0,0,-204,43,13,0
2019-06-30,138,57,11,68,53,0,81,-20,186,-16,0,0,0,0,-16,-17,0,-17,0,0,-47,0,-64,106,13,-47
2019-03-31,189.00000,58.00000,-60.00000,-2.00000,-21.00000,,-25.00000,101.00000,288.00000,66.00000,171.00000,,,,237.00000,-31.00000,,-31.00000,-212.00000,-212.00000,-54.00000,,-297.00000,228.00000,12.00000,-54.00000
2018-12-31,188,64,-37,27,-60,0,-45,-111,104,-20,0,0,0,0,-20,1,0,1,-242,-242,-47,-2,-290,-206,11,-47
2018-09-30,147,64,17,81,-34,0,85,143,371,-25,0,0,0,40,15,-2,0,-2,-74,-74,-48,-10,-134,252,10,-48
2018-06-30,145,66,15,81,120,63,-83,45,271,-13,0,0,0,0,-13,-27,0,-27,-90,-90,-51,-24,-192,66,12,-51
2018-03-31,102.00000,63.00000,25.00000,88.00000,-84.00000,-63.00000,26.00000,-168.00000,22.00000,-15.00000,-81.00000,,,,-96.00000,-17.00000,,-17.00000,-18.00000,-18.00000,-52.00000,-4.00000,-91.00000,-165.00000,11.00000,-52.00000
2017-12-31,113,96,173,269,-36,-30,-68,-218,164,-38,0,0,0,0,-38,-15,0,-15,-2,-2,-48,0,-65,61,11,-48
2017-09-30,79,92,18,110,24,-86,49,78,267,-19,0,0,0,0,-19,-125,0,-125,2,2,-48,-3,-174,74,12,-48
2017-06-30,98,80,4,84,11,18,-38,-16,166,-9,0,0,0,0,-9,-47,0,-47,-13,-13,-52,0,-112,45,10,-52
2017-03-31,74.00000,82.00000,44.00000,126.00000,-190.00000,22.00000,20.00000,-271.00000,-71.00000,-7.00000,,,,2.00000,-5.00000,-22.00000,,-22.00000,-5.00000,-5.00000,-50.00000,-1.00000,-78.00000,-154.00000,10.00000,-50.00000
2016-12-31,60,68,16,84,-17,80,-53,-23,121,-9,0,0,0,1,-8,-175,0,-175,-4,-4,-48,0,-227,-114,10,-48
2016-09-30,92,37,10,47,216,-73,-37,131,270,-13,25,0,0,4,16,590,0,590,18,18,-1041,-30,-463,-177,9,-1041
2016-06-30,41,9,-6,3,-28,4,10,28,72,-3,23,0,0,-1,19,-1,0,-1,-6,-6,-23,0,-30,61,8,-23
2016-03-31,53.00000,8.00000,19.00000,27.00000,-48.00000,-11.00000,-2.00000,-94.00000,-14.00000,-1.00000,,,,,-1.00000,-1.00000,,-1.00000,-7.00000,-7.00000,-23.00000,,-31.00000,-47.00000,8.00000,-23.00000
2015-12-31,115,6,-98,-92,-164,25,75,-2,21,58,-2,0,0,0,56,10,0,10,0,0,-22,-8,-20,37,7,-22
2015-09-30,49,11,110,121,82,-12,-22,99,269,-3,27,0,0,0,24,-49,47,-2,0,0,-23,2,-23,270,9,-23
2015-06-30,37,12,-51,-39,46,19,65,153,151,0,-13,0,0,-1,-14,0,-18,-18,-107,-107,-24,0,-149,-12,8,-24
2015-03-31,41.00000,12.00000,27.00000,39.00000,17.00000,-29.00000,-81.00000,-122.00000,-42.00000,-3.00000,,,,1.00000,-2.00000,,-29.00000,-29.00000,-5.00000,-5.00000,-24.00000,1.00000,-57.00000,-82.00000,6.00000,-24.00000
2015-01-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-31,34,16,33,49,85,-13,36,96,179,-4,0,0,0,0,-4,0,-103,-103,1,1,-24,0,-126,60,10,-24
2014-07-31,-438,502,41,543,-8,45,-2,19,124,-12,0,0,0,80,68,0,-1,-1,2,2,-24,0,-23,175,12,-24
2014-04-30,37,18,18,36,21,-36,-2,-82,-9,-10,0,0,0,0,-10,0,0,0,-210,-210,-24,1,-233,-247,11,-24
2014-01-31,0.00000,,,,-69.00000,,,,,,,,,,,,,,,,,,,,,
2013-10-31,-3,13,72,85,-16,-21,5,-32,50,-1,0,12,12,265,276,0,0,0,3,3,-28,0,-25,352,13,-28
2013-07-31,42,25,24,49,37,0,0,43,134,28,0,0,0,-1,27,38,-1,37,3,3,-383,2,-341,-100,15,-383
2013-04-30,81,26,-25,1,-163,48,4,-184,-102,7,0,0,0,2,9,0,0,0,-12,-12,-41,0,-53,-173,15,-41
2013-01-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-31,112,17,-177,-160,23,-98,-2,54,6,2,-478,0,0,0,-476,0,2,2,4,4,-41,0,-35,-225,-4,-41
2012-07-31,110,29,17,46,185,41,-2,48,204,-23,0,0,0,0,-23,0,-551,-551,5,5,-42,0,-588,-411,22,-42
2012-04-30,117,27,24,51,3,-16,1,-529,-361,-8,0,0,0,1,-7,0,-1,-1,-15,-15,-41,0,-57,-425,24,-41
2012-01-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-31,-89,31,28,59,-46,5,-18,447,417,-12,-191,0,0,-1,-204,0,-1,-1,-46,-46,0,0,-47,127,21,0
2011-07-31,178,27,-67,-40,33,26,-7,-82,56,42,-29,0,0,-2,11,0,-1,-1,-164,-164,0,0,-165,54,19,0
2011-04-30,131,28,16,44,-81,7,-11,-21,154,6,0,0,0,2,8,0,-1,-1,-239,-239,0,-2,-242,-85,24,0
2011-01-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-31,173,29,10,39,-156,46,-6,109,321,-11,-218,0,0,-1,-230,0,-1,-1,5,5,0,0,4,40,26,0
2010-07-31,190,27,-5,22,35,1,-7,-102,110,-10,0,0,0,0,-10,0,-1,-1,-145,-145,0,-1,-147,36,27,0
2010-04-30,125,24,6,30,-25,-17,3,-24,131,-24,-140,0,0,0,-164,0,0,0,-278,-278,0,14,-264,-293,23,0
