,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,183.8,125.7,-6.9,118.8,225.8,-44.7,-49.3,-3.9,127.9,430.5,-172.7,8,0,0,5.3,-159.4,-3.9,0,-3.9,0,0,-41,-3.1,-48,223.1,8.4,-41
2022-09-30,295.3,123.7,27.1,150.8,14.7,-7.5,-50.4,-128.4,-171.6,274.5,-88.4,34.7,-704.6,-704.6,0.4,-757.9,-10.6,0,-10.6,-99.4,-99.4,-41.1,-1.9,-153,-636.4,9.8,-41.1
2022-06-30,366.4,128.4,-198.9,-70.5,-267.4,-50.6,-27,165.4,-179.6,116.3,-80.9,635.6,0,0,1.8,556.5,-51.3,0,-51.3,0,0,-38.1,-0.9,-90.3,582.5,12.5,-38.1
2022-03-31,21.30000,128.20000,13.40000,141.60000,14.80000,-28.90000,95.50000,-74.40000,7.00000,169.90000,-139.80000,19.80000,,,-3.00000,-123.00000,-3.70000,,-3.70000,-50.00000,-50.00000,-38.90000,-23.60000,-116.20000,-69.30000,12.00000,-38.90000
2021-12-31,156.9,131.7,74.8,206.5,23.6,8.1,42.9,-80.6,-6,357.4,-101.8,-2314.9,0,0,1,-2415.7,-23.5,0,-23.5,0.2,0.2,-38.1,-4.5,-65.9,-2124.2,10,-38.1
2021-09-30,254.6,113.5,26.1,139.6,-80.2,28.2,12.2,-15.3,-55.1,339.1,-108.3,-130.2,0,0,2.7,-235.8,2253.3,0,2253.3,1.1,1.1,-37.9,-7,2209.5,2312.8,12.2,-37.9
2021-06-30,225.8,107.9,0,107.9,-149.3,17.9,29.7,17.3,-84.4,249.3,-102.7,-633.5,0,0,1.4,-734.8,237.9,0,237.9,0,0,-35.7,-1.2,201,-284.5,9.9,-35.7
2021-03-31,65.50000,98.60000,-2.30000,96.30000,11.50000,19.00000,25.00000,-25.40000,30.10000,191.90000,-110.30000,12.20000,,,9.80000,-88.30000,-2.20000,,-2.20000,,,-36.10000,-14.90000,-53.20000,50.40000,10.90000,-36.10000
2020-12-31,183.1,101.3,26.1,127.4,110.6,3.3,-33.2,-25.1,55.6,366.1,-108.9,0,0,0,-109.1,-218,-1.3,0,-1.3,0.9,0.9,-35.5,-1.5,-37.4,110.7,7.6,-35.5
2020-09-30,294.5,98.8,-47.6,51.2,12.9,-0.9,-0.3,-46.6,-34.9,310.8,-75.1,61.6,0,0,-7.4,-20.9,-130.6,0,-130.6,0.1,0.1,-35.4,-0.4,-166.3,123.6,2.7,-35.4
2020-06-30,217.6,98.4,10.6,109,-127.6,-12.1,-5.4,85,-60.1,266.5,-71.6,-0.3,0,0,-3.4,-75.3,-510.8,0,-510.8,13.8,13.8,-34.6,-13.5,-545.1,-353.9,7.2,-34.6
2020-03-31,25.90000,95.00000,13.80000,108.80000,10.20000,-9.60000,4.90000,-33.50000,-28.00000,106.70000,-104.10000,15.90000,,,-7.30000,-95.50000,490.20000,,490.20000,-62.50000,-62.50000,-34.80000,-1.10000,391.80000,403.00000,12.50000,-34.80000
2019-12-31,131.1,94.5,15.8,110.3,190.2,-41.3,-40,-34,74.9,316.3,-110.5,1.4,0,0,-0.1,-109.2,-158.4,0,-158.4,-14.1,-14.1,-34.6,-28.1,-235.2,-28.1,5.7,-34.6
2019-09-30,248.6,95,26.3,121.3,-53.5,-2.1,29.3,-27.5,-53.8,316.1,-75.6,1,0,0,-0.2,-74.8,-195.9,0,-195.9,-15.3,-15.3,-34.6,0,-245.8,-4.5,6.1,-34.6
2019-06-30,189.4,92.8,10.5,103.3,-161,-0.7,16.2,68.6,-76.9,215.8,-77.3,3,0,0,-0.1,-74.4,-45.8,0,-45.8,-48.6,-48.6,-30.2,-0.6,-125.2,16.2,8.8,-30.2
2019-03-31,42.90000,89.20000,16.40000,105.60000,-26.10000,16.40000,20.40000,-41.30000,-30.60000,117.90000,-130.10000,3.00000,,,-0.40000,-127.50000,39.00000,,39.00000,-6.50000,-6.50000,-30.40000,,2.10000,-7.50000,13.50000,-30.40000
2018-12-31,94.504,90.8,28.457,119.257,121.576,-13.985,-22.895,-34.895,49.801,263.562,-113.845,4.238,0,0,0.029,-109.578,-90.972,0,-90.972,-41.2,-41.2,-30.21,-0.699,-163.081,-9.097,6.216,-30.21
2018-09-30,180.353,89.655,60.843,150.498,25.427,-0.882,-1.271,-150.62,-127.346,203.505,-73.885,10.247,0,0,0.347,-63.291,-10.878,0,-10.878,-60.678,-60.678,-30.395,-18.081,-120.032,20.182,5.986,-30.395
2018-06-30,185.503,86.724,-14.769,71.955,-178.554,1.74,36.341,16.036,-124.437,133.021,-92.011,-1590.013,0,0,0.325,-1681.699,189.092,0,189.092,0.457,0.457,-27.91,-1.555,160.084,-1388.594,7.338,-27.91
2018-03-31,10.04000,76.82100,8.56900,85.39000,20.95100,-8.87300,7.92500,-10.42100,9.58200,105.01200,-96.25900,2.52800,,,0.09900,-93.63200,-0.84200,,-0.84200,-3.57900,-3.57900,-27.88500,-3.06500,-35.37100,-23.99100,9.76000,-27.88500
2017-12-31,377.313,75.782,-243.777,-167.995,95.322,-24.196,-21.082,-19.884,30.16,239.478,-101.555,-2.038,0,0,2.048,-101.545,1306.799,-1.047,1305.752,-1.505,-1.505,-27.939,-3.022,1273.286,1411.219,6.802,-27.939
2017-09-30,151.539,75.316,4.369,79.685,-11.914,-26.564,-8.481,4.534,-42.425,188.799,-92.656,-3.951,0,0,-2.024,-98.631,-60.968,-2.748,-63.716,0.805,0.805,-27.826,-0.934,-91.671,-1.503,5.971,-27.826
2017-06-30,142.241,75.726,-14.988,60.738,-91.403,-12.865,3.127,53.62,-47.521,155.458,-113.994,29.35,0,0,0.095,-84.549,-64.758,3.795,-60.963,-1.223,-1.223,-26.575,-0.844,-89.605,-18.696,7.452,-26.575
2017-03-31,42.30700,70.37600,12.99600,83.37200,-21.30500,-15.37500,8.53600,-23.67000,-51.81400,73.86500,-102.09500,0.53900,,,0.18100,-101.37500,159.22700,,159.22700,-99.77700,-99.77700,-26.56000,,32.89000,5.38000,10.27500,-26.56000
2016-12-31,98.797,73.256,10.556,83.812,108.776,-13.425,-20.538,9.805,84.618,267.227,-101.786,1.181,0,0,0.293,-100.312,-81.94,0,-81.94,-66.437,-66.437,-26.741,-2.443,-177.561,-10.646,3.314,-26.741
2016-09-30,159.478,72.38,18.2,90.58,-16.324,-0.825,-20.099,-0.941,-38.189,211.869,-74.922,-54.147,0,0,0,-129.069,-18.747,-7.143,-25.89,2.219,2.219,-26.828,-0.213,-50.712,32.088,4.366,-26.828
2016-06-30,122.114,71.207,18.082,89.289,-87.829,-19.636,23.29,14.304,-69.871,141.532,-116.331,1.059,0,0,0,-115.272,25.187,7.143,32.33,-31.616,-31.616,-25.62,0,-24.906,1.354,5.573,-25.62
2016-03-31,45.05500,68.41000,23.08000,91.49000,-29.69500,-13.49500,9.23100,-34.27400,-68.23300,68.31200,-94.22800,-116.13900,,,,-210.36700,182.83000,-10.23500,172.59500,-145.86000,-145.86000,-25.84700,,0.88800,-141.16700,7.22800,-25.84700
2015-12-31,83.223,63.652,31.913,95.565,167.363,-3.875,-62.239,-19.016,82.233,261.021,-105.785,-6.327,0,0,0.107,-112.005,-134.152,10.235,-123.917,-266.551,-266.551,-26.243,-0.325,-417.036,-268.02,2.867,-26.243
2015-09-30,117.577,64.977,34.841,99.818,-78.993,10.011,25.602,18.495,-24.885,192.51,-84.457,420.038,0,0,-0.107,335.474,42.807,0,42.807,-151.542,-151.542,-26.934,-0.055,-135.724,392.26,3.198,-26.934
2015-06-30,81.979,67.69,9.993,77.683,-116.067,-8.59,16.912,40.027,-67.718,91.944,-71.905,0.373,0,0,0,-71.532,75.558,0,75.558,-82.182,-82.182,-25.931,-0.054,-32.609,-12.197,4.617,-25.931
2015-03-31,6.15900,67.26800,30.18800,97.45600,40.00600,-19.07100,-20.32800,-69.09700,-68.49000,35.12500,-56.08500,-9.11400,1.80800,1.80800,,-63.39100,-5.53300,-0.18300,-5.71600,9.94200,9.94200,-28.35400,0.10900,-24.01900,-52.28500,2.90700,-28.35400
2014-12-31,63.989,68.667,6.327,74.994,103.489,-13.303,-21.212,-27.927,41.047,180.03,-93.613,8.812,0.325,0.325,0,-84.476,-34.1349,0.183,-33.9519,1.519,1.519,-27.041,-1.026,-60.5,35.054,2.612,-27.041
2014-09-30,53.833,67.932,5.453,73.385,-21.228,5.552,-9.327,29.05,4.047,131.265,-53.833,170.834,0.321,0.321,0,117.322,-209.998,0,-209.998,28.653,28.653,-27.009,-0.965,-209.319,39.268,2.011,-27.009
2014-06-30,59.625,43.681,1.668,45.349,-101.745,3.142,40.667,16.713,-41.223,63.751,-47.824,0.686,0.529,0.529,0,-46.609,16.181,0,16.181,3.054,3.054,-18.65,-19.199,-18.614,-1.472,2.961,-18.65
2014-03-31,-23.15300,42.46600,-4.17300,38.29300,2.83400,-7.41100,-4.82500,0.87400,-8.52800,6.61200,-36.91300,1.35100,,,,-35.56200,36.35000,-2.55600,33.79400,6.48800,6.48800,-18.60400,0.63600,22.31400,-6.63600,1.40900,-18.60400
2013-12-31,35.156,43.664,5.189,48.853,85.611,3.132,-7.666,-21.78,59.297,143.306,-52.891,5.31,3.402,3.402,-3.402,-47.581,-82.0611,-7.881,-89.9421,0.12,0.12,-18.571,-2.136,-110.529,-14.804,1.6,-18.571
2013-09-30,72.038,44.105,10.812,54.917,-42.969,1.067,11.306,20.814,-9.782,117.173,-52.34,-59.852,-3.402,-3.402,0,-115.594,19.975,10.437,30.412,0.359,0.359,-18.558,-0.263,11.95,13.529,1.427,-18.558
2013-06-30,41.567,42.949,5.992,48.941,-85.438,-1.232,22.88,3.179,-60.611,29.897,-28.122,-0.323,0,0,0,-28.445,14.733,0,14.733,7.718,7.718,-18.565,1.114,5,6.452,2.736,-18.565
2013-03-31,-29.32900,43.04300,4.06600,47.10900,20.27300,-14.60600,-6.45700,1.58500,0.79500,18.57500,-21.88000,-1.04900,,,,-22.92900,30.60000,,30.60000,3.49400,3.49400,-18.50300,0.62900,16.22000,11.86600,1.24500,-18.50300
2012-12-31,21.724,44.226,3.07,47.296,72.896,2.846,-15.75,-28.367,31.625,100.645,-45.082,2.074,0,0,-2,-45.008,-51.004,-0.102,-51.106,3.451,3.451,-18.465,0.456,-65.664,-10.027,1.834,-18.465
2012-09-30,63.669,44.25,7.143,51.393,-21.53,-3.108,-13.968,17.919,-20.687,94.375,-39.69,3.879,0,0,0,-35.811,-45.517,-3.25,-48.767,2.672,2.672,-18.441,0,-64.536,-5.972,1.37,-18.441
2012-06-30,37.807,44.337,9.784,54.121,-63.364,1.503,13.327,-11.406,-59.94,31.988,-28.733,1.73,0,0,0,-27.003,9.346,1.423,10.769,0.218,0.218,-18.441,-1.088,-8.542,-3.557,2.699,-18.441
2012-03-31,-37.67300,44.39800,2.05300,46.45100,-8.30400,-10.88100,7.71800,-1.63000,-13.09700,-4.31900,-37.51800,2.13000,,,,-35.38800,74.52000,1.92900,76.44900,0.61800,0.61800,-18.42000,-0.01200,58.63500,18.92800,1.87800,-18.42000
2011-12-31,15.083,43.734,-4.205,39.529,58.596,-0.676,4.412,-37.72,24.612,79.224,-61.845,-39.809,0,0,0,-101.654,10.021,0,10.021,0.008,0.008,-18.416,-0.001,-8.388,-30.818,2.205,-18.416
2011-09-30,50.332,43.22,-0.076,43.144,9.616,-1.363,0.923,20.542,29.718,123.194,-34.79,0.945,0,0,0,-33.845,-40.494,0,-40.494,0.305,0.305,-18.419,0,-58.608,30.741,2.966,-18.419
2011-06-30,35.855,43.159,9.789,52.948,-68.267,-3.284,10.533,7.565,-53.453,35.35,-28.054,-46.83,0,0,0,-74.884,-82.77,0,-82.77,0.857,0.857,-18.413,-10.87,-111.196,-150.73,3.574,-18.413
2011-03-31,-17.69700,43.29400,3.44200,46.73600,-19.32000,0.21600,14.51900,-3.12800,-7.71300,21.32600,-30.67400,2.13300,,,,-28.54100,137.79300,-2.12300,135.67000,0.30300,0.30300,-18.40000,-3.85200,113.72100,106.50600,2.77700,-18.40000
2010-12-31,15.209,45.591,-9.127,36.464,66.252,-7.647,-16.675,-26.406,15.524,67.197,-25.892,-14.683,0,0,0,-40.575,-0.451,2.123,1.672,0.275,0.275,-18.393,-0.352,-16.798,9.824,2.991,-18.393
2010-09-30,53.255,45.446,14.803,60.249,8.148,-3.977,-0.864,-0.475,2.832,116.336,-41.47,0.657,0,0,0,-40.813,99.381,-128.403,-29.022,0.149,0.149,-18.398,0.152,-47.119,28.404,3.241,-18.398
2010-06-30,54.948,45.532,4.816,50.348,-55.66,2.184,10.685,-3.351,-46.142,59.154,-43.533,2.198,0,0,0,-41.335,-318.329,126.176,-192.153,2.437,2.437,-18.397,1.346,-206.767,-188.948,4.549,-18.397
2010-03-31,-24.74800,44.96800,3.96400,48.93200,-39.28600,10.68100,15.07700,16.46500,2.93700,27.12100,-25.02100,-26.43800,,,,-51.45900,-0.58900,0.49000,-0.09900,0.18600,0.18600,-18.36200,0.06500,-18.21000,-42.54800,3.89400,-18.36200
2009-12-31,-2.915,46.115,16.628,62.743,78.812,-2.787,-9.47,-42.613,23.942,83.77,-38.737,0.398,0,0,0,-38.339,-18.456,1.575,-16.881,60.945,60.945,-18.233,-1.506,24.325,69.756,3.468,-18.233
2009-09-30,56.867,45.901,-5.034,40.867,8.82,4.212,-13.067,20.241,20.206,117.94,-25.743,1.547,0,0,0,-24.196,-14.349,-1.53,-15.879,0.152,0.152,-18.011,0.449,-33.289,60.455,4.045,-18.011
