,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,16425,3648,-3739,-91,-3164,1305,-2058,1619,-5161,11173,-6274,-679,104,104,-301,-7150,-750,0,-750,-5216,-5216,-5066,-317,-11349,-7238,2538,-5066
2022-09-30,17556.00000,2790.00000,-2343.00000,447.00000,11729.00000,-543.00000,-1567.00000,-4834.00000,5195.00000,23198.00000,-6283.00000,-349.00000,4360.00000,4360.00000,-860.00000,-3132.00000,-1000.00000,,-1000.00000,-4998.00000,-4998.00000,-4621.00000,-264.00000,-10883.00000,8953.00000,2192.00000,-4621.00000
2022-06-30,16740,3979,14983,18962,-12634,-461,2659,354,-11073,24629,-6871,-1263,-457,-457,-1138,-9729,0,0,0,-8296,-8296,-4632,-341,-13269,1433,1997,-4632
2022-03-31,16728,3773,1604,5377,857,-279,520,1092,3281,25386,-5340,-18719,9069,9069,-1181,-16171,-4197,0,-4197,-8345,-8345,-4645,-158,-17345,-8106,1906,-4645
2021-12-31,18765,3496,-2570,926,-5543,394,235,1760,-5211,14480,-5865,-850,5643,5643,-89,-1161,0,0,0,-7142,-7142,-4652,-192,-11986,1439,1897,-4652
2021-09-30,20505.00000,3212.00000,-7517.00000,-4305.00000,10486.00000,-777.00000,-471.00000,-3551.00000,8340.00000,24540.00000,-5810.00000,-1206.00000,4183.00000,4183.00000,-417.00000,-3250.00000,-4826.00000,,-4826.00000,-7072.00000,-7072.00000,-4206.00000,-172.00000,-16276.00000,4941.00000,1702.00000,-4206.00000
2021-06-30,16458,3344,12518,15862,-11606,-388,1617,799,-9610,22710,-6452,-501,-4334,-4334,434,-10853,0,0,0,-6727,-6727,-4214,-430,-11371,522,1571,-4214
2021-03-31,15457,2936,613,3549,290,-329,833,1305,3173,22179,-5089,-7512,2517,2517,400,-9684,-500,0,-500,-6534,-6534,-4221,-1937,-13192,-730,1525,-4221
2020-12-31,15463,2761,-2032,729,-4008,788,33,1879,-3676,12516,-4174,-415,2593,2593,327,-1669,-3250,0,-3250,-6233,-6233,-4230,79,-13634,-2773,1566,-4230
2020-09-30,13893.00000,2645.00000,-1747.00000,898.00000,8843.00000,-808.00000,315.00000,-2823.00000,4544.00000,19335.00000,-4907.00000,-481.00000,2100.00000,2100.00000,-2083.00000,-5371.00000,,,,-6198.00000,-6198.00000,-3856.00000,-235.00000,-10289.00000,3629.00000,1456.00000,-3856.00000
2020-06-30,11202,3504,10493,13997,-9355,-251,3026,643,-6526,18673,-4744,-1650,3173,3173,-1241,-4462,0,0,0,-5451,-5451,-3865,-2946,-12262,1866,1349,-3865
2020-03-31,10752,3118,448,3566,891,181,546,803,3186,17504,-3767,-329,4147,4147,0,51,-3000,0,-3000,-6717,-6717,-3876,-1052,-14645,2846,1338,-3876
2019-12-31,11649,3203,-1852,1351,-4203,799,-7,1562,-2320,10680,-3545,-80,-2411,-2411,0,-6036,-18,0,-18,-4972,-4972,-3886,-39,-8915,-4253,1340,-3886
2019-09-30,10678.00000,2971.00000,-1796.00000,1175.00000,10090.00000,-561.00000,-547.00000,-3681.00000,1965.00000,13818.00000,-3385.00000,-462.00000,2071.00000,2071.00000,,-1776.00000,-2500.00000,,-2500.00000,-4485.00000,-4485.00000,-3510.00000,286.00000,-10209.00000,1761.00000,1262.00000,-3510.00000
2019-06-30,13187,2924,4150,7074,-10070,-113,1264,958,-4153,16108,-4051,-281,-2925,-2925,0,-7257,-1000,0,-1000,-4325,-4325,-3521,160,-8686,144,1190,-3521
2019-03-31,8809,2926,777,3703,460,12,-197,457,1008,13520,-2565,-269,1471,1471,0,-1363,0,0,0,-4479,-4479,-3526,404,-7601,4574,1172,-3526
2018-12-31,8420,2995,-1247,1748,-2396,1654,-440,-22,-1268,8900,-3707,-1593,1100,1100,0,-4200,-3000,0,-3000,-6213,-6213,-3544,-459,-13216,-8499,1183,-3544
2018-09-30,8824.00000,2837.00000,-1821.00000,1016.00000,9194.00000,-956.00000,-395.00000,-2935.00000,3817.00000,13657.00000,-3602.00000,-245.00000,894.00000,894.00000,,-2953.00000,,,,-3384.00000,-3384.00000,-3220.00000,-780.00000,-7384.00000,3191.00000,1107.00000,-3220.00000
2018-06-30,8873,2516,6758,9274,-9188,-572,1010,1118,-6729,11418,-3980,-434,1752,1752,-8,-2670,-681,0,-681,-2107,-2107,-3226,-25,-6039,2725,1012,-3226
2018-03-31,7424,2710,226,2936,1285,-75,-393,329,1791,12151,-2934,-248,7045,7045,-19,3844,-4883,-7373,-12256,-3530,-3530,-3232,-640,-19658,-3638,969,-3232
2017-12-31,-6302,2536,-3068,-532,-3908,1205,938,500,14709,7875,-2586,-27,2459,2459,-177,-331,-98,3759,3661,-1819,-1819,-3238,-156,-1552,5975,986,-3238
2017-09-30,6576.00000,2499.00000,-1409.00000,1090.00000,7949.00000,-1023.00000,-407.00000,-2406.00000,4774.00000,12440.00000,-2132.00000,-179.00000,-4699.00000,-4699.00000,106.00000,-6904.00000,2785.00000,-3710.00000,-925.00000,-2263.00000,-2263.00000,-3003.00000,-150.00000,-6341.00000,-779.00000,973.00000,-3003.00000
2017-06-30,8069,2343,6052,8395,-7029,-199,850,1781,-5459,11005,-2283,-358,-4625,-4625,-103,-7369,-1617,3484,1867,-1544,-1544,-3009,-15,-2701,950,913,-3009
2017-03-31,5486,2453,-36,2417,1415,-16,-425,536,2757,10660,-1695,-802,-2614,-2614,-1080,-6191,336,-1302,-966,-1883,-1883,-3012,-375,-6236,-1755,883,-3012
2016-12-31,6267,2166,-957,1209,-2789,1132,99,-1032,-1183,6293,-1988,-24760,10927,10927,1070,-14751,12951,-3755,9196,-3468,-3468,-3024,312,3016,-5460,767,-3024
2016-09-30,5667.00000,1816.00000,-875.00000,941.00000,7187.00000,-867.00000,-443.00000,-936.00000,4941.00000,11549.00000,-2163.00000,-24.00000,-16199.00000,-16199.00000,-84.00000,-18470.00000,24752.00000,-3390.00000,21362.00000,-4121.00000,-4121.00000,-2800.00000,-112.00000,14329.00000,7418.00000,703.00000,-2800.00000
2016-06-30,6863,2540,4520,7060,-4984,192,-17,-352,-5459,8464,-2655,-63,-7277,-7277,-78,-10073,585,6714,7299,-3504,-3504,-2821,-3,971,-660,664,-2821
2016-03-31,3756,1707,1951,3658,2288,241,-129,553,2953,10367,-2308,-559,-2550,-2550,-66,-5483,-875,2622,1747,-3698,-3698,-2842,-123,-4916,-15,672,-2842
2015-12-31,5018,1544,1102,2646,-3118,1104,369,-401,-2046,5618,-2024,-381,-1208,-1208,285,-3328,13007,-7031,5976,-3561,-3561,-2868,-65,-518,1754,658,-2868
2015-09-30,4902.00000,1461.00000,-84.00000,1377.00000,6376.00000,-937.00000,-135.00000,-2707.00000,2597.00000,8876.00000,-1356.00000,-390.00000,-3382.00000,-3382.00000,62.00000,-5066.00000,-1629.00000,4890.00000,3261.00000,-4538.00000,-4538.00000,-2475.00000,-178.00000,-3930.00000,-164.00000,674.00000,-2475.00000
2015-06-30,-3195,8991,4860,13851,-5448,-429,-142,2212,-3807,6849,-1781,-626,-2657,-2657,-3,-5067,0,3259,3259,-4128,-4128,-2496,-239,-3604,-1819,654,-2496
2015-03-31,4985,1515,317,1832,3655,-430,-390,473,3308,10125,-1391,-162,-3594,-3594,-334,-5481,10680,-6575,4105,-4985,-4985,-2532,-208,-3620,988,641,-2532
2014-12-31,5863,1521,-549,972,-3378,1070,137,-324,-2495,4340,-1490,-2794,-670,-670,238,-4716,0,4798,4798,-2024,-2024,-2547,307,534,124,633,-2547
2014-09-30,4540.00000,1428.00000,-2121.00000,-693.00000,6627.00000,-483.00000,-659.00000,-978.00000,4507.00000,8354.00000,-1282.00000,-141.00000,-5947.00000,-5947.00000,-367.00000,-7737.00000,-1500.00000,2999.00000,1499.00000,-2672.00000,-2672.00000,-2307.00000,502.00000,-2978.00000,-2367.00000,646.00000,-2307.00000
2014-06-30,4612,1742,5811,7553,-5363,-199,863,2319,-2380,9785,-1330,-5626,-1718,-1718,-236,-8910,-500,500,0,-1024,-1024,-2309,-247,-3580,-2903,618,-2309
