,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-09-30,854.151,88.362,-316.9189,-228.5571,2.465,-13.471,-11.487,280.682,329.05,954.644,-67.741,-19.411,-482.85,169.874,647.885,817.7592,-2.458,245.299,-593.6849,-593.6849,-245.762,-245.762,-200.481,2.611,-1037.317,162.645,97.464,-200.481
2022-06-30,631.18,84.452,51.2419,135.694,10.492,1.781,8.014,245.099,184.409,951.283,-56.734,-11.492,0,185.511,-193,-7.489,-7.66,-83.375,601.649,601.649,-305.939,-305.939,-195.332,5.819,106.197,985.467,107.824,-195.332
2022-03-31,680.79400,120.86200,269.94800,390.81000,33.45400,16.34100,-14.57100,-395.53400,-348.72400,722.88000,-116.22700,-22.69000,,160.06100,-1735.56000,-1575.49900,-26.74500,-1741.16100,838.95800,838.95800,-196.22300,-196.22300,-265.56100,-16.09700,361.07700,-660.54900,117.70300,-265.56100
2021-12-31,908.111,135.4,-84.682,50.718,-17.11,10.829,-14.113,320.835,382.937,1341.766,-62.546,-48.716,0,-555.524,-1745.518,-2301.0421,-15.935,-2428.239,218.727,218.727,-0.023,-0.023,-152.019,-254.998,-188.313,-1287.401,160.891,-152.019
2021-09-30,518.324,125.528,211.352,336.8801,-182.839,-23.996,26.727,372.21,124.659,979.863,-61.797,-34.174,0,1507.536,1878.8339,3386.37,-10.807,3279.592,-1175.489,-1175.489,-0.005,-0.005,-160.05,-974.969,-2310.513,1951.186,107.24,-160.05
2021-06-30,548.579,127.974,97.045,225.019,87.673,-2.058,-27.721,125.372,-29.655,743.943,-65.698,-88.735,0,-608.4391,-104.6258,-713.065,-7.073,-874.571,890.371,890.371,308.047,308.047,-198.66,-690.358,309.4,174.963,109.898,-198.66
2021-03-31,688.92100,125.13100,9.60000,134.73100,-73.92500,-38.69100,-9.25700,-93.69600,22.32300,845.97500,-50.09700,-65.04100,,-261.76790,-702.27310,-964.04100,-8.34200,-1087.52100,334.45100,334.45100,-310.18400,-310.18400,-39.81200,230.02100,214.47600,-21.57600,99.24700,-39.81200
2020-12-31,211.332,162.417,412.314,574.731,49.191,-14.035,19.546,478.546,572.415,1358.478,-49.715,-62.469,0,-164.281,264.648,100.367,-8.631,-20.447,-256.826,-256.826,1290.53,1290.53,-152.409,-1761.111,-879.816,449.28,108.547,-152.409
2020-09-30,460.835,143.564,70.999,214.563,1.023,5.598,19.643,119.315,184.82,860.218,-53.232,-117.802,0,1118.706,-2167.184,-1048.478,-15.993,-1235.506,189.863,189.863,-234.074,-234.074,-214.62,-0.92,-259.751,-637.266,107.473,-214.62
2020-06-30,659.586,126.492,66.395,192.887,-70.7,0.499,-38.487,13.76,-174.955,677.518,-33.041,-118.912,0,-25.681,-2691.817,-2717.498,1.486,-2867.965,327.399,327.399,2301.677,2301.677,-158.128,384.721,2855.669,690.73,98.147,-158.128
