,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-337.504,-514.207,-159.83,-674.0369,0,0,464.358,464.358,-547.183,294.848,0.397,177.766,20.622,20.622,-17.887,475.746,-5405.724,5254.926,-150.7979,115.115,115.115,30.998,88.407,83.722,13.549,-77.73,30.998
2022-09-30,156.316,145.598,70.143,215.7409,0,0,-28.695,-28.695,343.362,-87.741,-0.061,-172.957,-3.969,-3.969,0,-264.728,5267.5819,-5239.33,28.2518,-20.751,-20.751,-10.068,-10.239,-12.806,64.972,23.73,-10.068
2022-06-30,96.16,180.446,88.959,269.405,0,0,-246.834,-246.834,118.731,-105.98,-0.336,-4.809,-8.334,-8.334,1.51,-117.949,72.2161,0.107,72.3231,-84.885,-84.885,-10.088,-64.816,-87.466,-87.47,31.008,-10.088
2022-03-31,85.02800,188.16300,0.72800,188.89100,,,-188.82900,-188.82900,85.09000,-101.12700,,,-8.31900,-8.31900,16.37700,-93.06900,65.92600,-15.70300,50.22300,-9.47900,-9.47900,-10.84200,-13.35200,16.55000,8.94900,22.99200,-10.84200
2021-12-31,106.295,171.793,57.36,229.1529,0,0,-85.495,-85.495,249.953,-138.771,-0.343,-2350.33,-19.543,-19.543,26.087,-2482.9,-2075.426,2859.209,783.783,0,0,-8.395,-9.337,766.051,-1467.209,24.007,-8.395
2021-09-30,175.398,89.997,0.176,90.173,0,0,-247.695,-247.695,17.876,-58.181,-0.2,-33.261,-5.154,-5.154,0.26,-96.536,4442.14,-2843.571,1598.569,-17.764,-17.764,-8.414,-8.801,1563.59,1484.381,19.952,-8.414
2021-06-30,118.971,83.202,51.818,135.02,0,0,-65.043,-65.043,188.948,-63.451,-0.324,-35.334,-0.342,-0.342,3.08,-96.371,-3.196,0,-3.196,-29.449,-29.449,-8.415,-40.693,-81.753,12.1,25.613,-8.415
2021-03-31,91.31900,84.30800,9.43500,93.74300,,,-59.44900,-59.44900,125.61300,-76.26300,,-32.77800,-113.98200,-113.98200,0.21700,-222.80600,170.82100,-4.24700,166.57400,-19.47400,-19.47400,-8.79800,-25.31300,112.98900,15.80700,18.68700,-8.79800
2020-12-31,171.961,82.285,-0.894,81.391,0,0,22.738,22.738,276.09,-76.085,-0.522,-72.76,-5.318,-5.318,11.664,-143.021,-56.7324,1.334,-55.3984,-47.249,-47.249,-7.346,-56.158,-166.151,-32.294,33.318,-7.346
2020-09-30,163.7,79.001,-3.379,75.622,0,0,-124.463,-124.463,114.859,-44.936,0,-187.452,-0.778,-0.778,2.611,-230.555,-181.3568,-0.778,-182.1348,0,0,-7.001,-9.368,-198.504,-313.751,21.431,-7.001
