,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,496,6,-13,-7,219,539,-300,526,1015,0,-419,-652,-1071,-151,-1222,0,0,-2,-2,-64,-1,-67,-280,10,-64
2022-09-30,-319.381,13.948,173.737,187.685,-607.121,2043.473,-37.792,1249.7899,1118.094,0,-310.36,-1247.537,-1557.8969,118.698,-1439.199,-6,-6,-59.843,-59.843,-64.921,-1.648,-132.412,-437.188,11.081,-64.921
2022-06-30,122.63,15.798,282.55,298.348,-319.795,846.304,-130.539,294.4891,715.467,0,523.599,-877.2561,-353.6572,18.184,-335.473,0,0,-14.835,-14.835,-50.532,-0.66,-66.027,337.831,12.007,-50.532
2022-03-31,297.75100,19.25400,236.71300,255.96700,-140.08400,510.22300,-78.66900,292.72100,846.43900,,354.76100,-985.20690,-630.44590,209.11800,-421.32800,,,-1.32200,-1.32200,-75.54700,-16.69200,-93.56100,337.35700,11.91200,-75.54700
2021-12-31,431,19,-4,15,194,572,-182,595,1042,0,-466,-1317,-1783,14,-1767,1177,1177,-27,-27,-61,-2,1087,372,10,-61
2021-09-30,-73.844,19.072,71.519,90.591,-484.189,1801.617,-151.685,1146.2911,1163.038,0,-83.285,-916.256,-999.541,31.129,-969.412,0,0,-160.323,-160.323,-61.726,-1.287,-223.336,-37.694,10.561,-61.726
2021-06-30,679.982,20.605,-61.763,-41.158,-363.833,845.864,-448.803,84.7719,723.596,0,197.7,-925.0371,-727.3371,50.27,-677.067,0,0,-28.132,-28.132,-51.462,-1.206,-80.8,-26.315,11.418,-51.462
2021-03-31,341.86200,17.32300,-9.75600,7.56700,-119.97800,863.51900,-213.51200,554.93700,904.36600,,308.58500,-722.70690,-414.12190,-41.39900,-455.52100,,,-23.54500,-23.54500,-72.81200,-12.50700,-108.86400,331.00900,11.02100,-72.81200
2020-12-31,63.451,17.406,-107.65,-90.244,-8.384,916.124,-254.244,709.185,683.392,0,86.744,-2245.879,-2159.135,205.409,-1953.726,1188,1188,-0.363,-0.363,-61.89,9.945,1136.691,-136.845,9.663,-61.89
2020-09-30,243.057,12.047,-84.912,-72.865,-129.492,1082.822,-246.811,915.83,1086.022,0,-365.287,-820.1099,-1185.3969,85.112,-1100.285,100.647,100.647,-0.777,-0.777,-61.905,-11.804,26.162,16.402,10.162,-61.905
2020-06-30,190.88,11.907,-145.527,-133.62,-149.983,543.39,107.816,541.337,598.597,0,-411.575,-86.8122,-498.3872,127.579,-370.808,-60.647,-60.647,-0.267,-0.267,-61.928,1.039,-121.803,104.853,9.782,-61.928
2020-03-31,16.61200,8.64000,231.08900,239.72900,-250.14100,562.66400,2.23900,249.64800,505.98900,,-27.88200,-317.19890,-345.08090,86.90000,-258.18100,50.00000,50.00000,-212.59300,-212.59300,-63.27700,-15.18000,-241.05000,9.59000,9.39300,-63.27700
2019-12-31,217.644,7.294,-47.87,-40.576,267.954,-106.105,-42.897,188.071,365.139,0,45.758,-302.813,-257.055,56.365,-200.69,0,0,4.702,4.702,-63.191,-1.154,-59.643,90.864,8.632,-63.191
2019-09-30,104.398,10.321,42.196,52.517,-68.626,524.876,31.953,476.437,633.352,0,286.935,-778.1268,-491.1918,-30.253,-521.445,0,0,-0.351,-0.351,-56.995,-0.725,-58.071,55.805,8.215,-56.995
