,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,244.5,24.7,30.4,55.1,-9.7,-48.3,-28.8,21.1,-89,210.6,-22,0,0,0,-45.9,-67.9,0,-1,-1,-51.7,-51.7,-86,-7.1,-145.8,-2.1,8.4,-86
2022-09-30,229.5,24.4,15.1,39.5,-36.6,-100.4,4.4,-26.2,-139.1,129.9,-19.8,0,0,0,-38.1,-57.9,0,-0.2,-0.2,-38,-38,-75.7,-6.8,-120.7,-53.6,8.1,-75.7
2022-06-30,237.2,25.4,10.9,36.3,-20.6,-61.7,18,-24.6,-132.7,140.8,-20.9,0.5,0,0,-53.4,-73.8,0,0.5,0.5,-30.4,-30.4,-75.7,-6.6,-112.2,-48.2,8.5,-75.7
2022-03-31,222.70000,25.70000,18.70000,44.40000,-53.10000,-61.70000,24.10000,11.60000,-73.20000,193.90000,-16.40000,,,,9.80000,-6.60000,,2.30000,2.30000,-23.00000,-23.00000,-75.70000,-9.90000,-106.30000,81.10000,9.00000,-75.70000
2021-12-31,229.1,29.7,25.5,55.2,-38,-20.8,8.5,8.4,-61.6,222.7,-15.8,0,0,0,-8,-23.8,0,0.3,0.3,-71.5,-71.5,-76.1,-6.8,-154.1,44.5,8.1,-76.1
2021-09-30,201.5,24.9,19.2,44.1,-19.4,-38.5,-11.2,-12.4,-59.2,186.4,-16,-3.9,0,0,-9.8,-29.7,-250,0.1,-249.9,-62.9,-62.9,-66.3,-6.7,-385.8,-230.4,9.5,-66.3
2021-06-30,213.2,25.5,26.7,52.2,5.8,-24.4,42,-13.6,-27.2,238.2,-16.9,4.2,0,0,-17,-29.7,0,0.5,0.5,-75.6,-75.6,-66.7,-6.1,-147.9,61.3,11.5,-66.7
2021-03-31,197.60000,24.70000,28.50000,53.20000,-9.80000,8.30000,17.50000,3.80000,68.50000,319.30000,-19.30000,-200.00000,,,12.10000,-207.20000,,2.40000,2.40000,-58.90000,-58.90000,-66.70000,-7.80000,-131.00000,-18.80000,12.30000,-66.70000
2020-12-31,213.8,25.2,27.8,53,-10.6,37.8,7.5,5.7,50.8,317.6,-26.1,-35.4,0,0,-12.1,-73.6,0,0.5,0.5,-39.4,-39.4,-66.8,-5.9,-111.6,135.9,7,-66.8
2020-09-30,184.7,23.9,13.9,37.8,-54,28.4,18.4,2.8,1.5,224,-9.6,0,0,0,-9.2,-18.8,0,2.3,2.3,-42.4,-42.4,-58.8,-6.2,-105.1,101.3,5.6,-58.8
2020-06-30,105.9,23.8,30.8,54.6,78.2,-8.2,-10,-34.3,93.1,253.6,-10.9,0,0,0,-34.7,-45.6,489.9,-148.1,341.8,12.3,12.3,-58.7,-5.9,289.5,500.4,5.8,-58.7
2020-03-31,142.00000,23.80000,18.90000,42.70000,34.30000,-23.80000,1.90000,4.40000,28.70000,213.40000,-17.20000,-6.10000,,,-26.50000,-49.80000,,-41.90000,-41.90000,-49.00000,-49.00000,-59.00000,-7.20000,-157.10000,1.30000,1.10000,-59.00000
2019-12-31,175,23.9,46.7,70.6,-7.3,0.3,-11.8,-13.2,-48.9,196.7,-20.2,0.3,0,0,-21.5,-41.4,0,-29.3,-29.3,-46,-46,-59,-4.9,-139.2,17,5.1,-59
2019-09-30,169.2,22.9,20.2,43.1,-12.3,-44.5,-7.4,-5.9,-81.2,131.1,-29.7,-29.6,0,0,-17.5,-76.8,0,65.1,65.1,-58.1,-58.1,-52.3,-4.2,-49.5,3.5,4.6,-52.3
2019-06-30,184.9,23,29.7,52.7,-10.9,-19.6,14.8,-10.4,-92.1,145.5,-27.8,-8,0,0,-29.4,-65.2,0,25.6,25.6,-40.3,-40.3,-52.5,-5.9,-73.1,7.6,6.8,-52.5
2019-03-31,182.10000,22.60000,30.50000,53.10000,14.80000,-33.20000,1.80000,-13.60000,-33.90000,201.30000,-20.00000,-1.30000,,,-17.40000,-38.70000,,-43.80000,-43.80000,-42.60000,-42.60000,-52.80000,-8.40000,-147.60000,15.50000,7.30000,-52.80000
2018-12-31,179.3,22.9,44.4,67.3,-21.2,10.7,2.3,8.5,-30.7,215.9,-22,0,0,0,-38.8,-60.8,0,20.8,20.8,-98.3,-98.3,-53.1,-4.5,-135.1,18.7,4.6,-53.1
2018-09-30,167.4,23.2,21.8,45,-17.4,-24.8,-0.2,-30.9,-82.6,129.8,-30.1,0,0,0,-18.5,-48.6,0,38.1,38.1,-59.9,-59.9,-46.1,-3.4,-71.3,9.9,8,-46.1
2018-06-30,182.7,24,20.7,44.7,-10.7,-14.3,15.9,-0.3,-40.5,186.9,-20.5,0,0,0,-43.2,-63.7,0,-16.1,-16.1,-38.4,-38.4,-46.3,-4.5,-105.3,14.8,7.9,-46.3
2018-03-31,166.80000,24.00000,32.60000,56.60000,1.60000,-10.20000,9.50000,2.20000,8.50000,231.90000,-17.60000,-3.00000,,,-16.50000,-37.10000,-62.40000,-37.90000,-100.30000,-32.00000,-32.00000,-46.50000,-11.70000,-190.50000,5.50000,6.70000,-46.50000
2017-12-31,133.2,23.8,49.8,73.6,-4.7,10.9,-28.7,-10.3,-13.3,193.5,-24.6,0,0,0,-34.4,-59,0,-20.4,-20.4,-65.3,-65.3,-46.4,-4.5,-136.6,-2.1,8.9,-46.4
2017-09-30,137.1,23.5,10,33.5,-24,-38.6,-1.2,-26,-75.1,95.5,-22.4,-2.7,0,0,-37,-62.1,0,103.7,103.7,-88.5,-88.5,-40.7,-4,-29.5,5.1,7,-40.7
2017-06-30,156.8,22.8,17.9,40.7,-24.9,-31,7.4,-5.9,-70.4,127.1,-15.9,-70.7,0,0,-52,-138.6,0,83,83,-66.2,-66.2,-41.1,0.9,-23.4,-34,7,-41.1
2017-03-31,145.10000,23.10000,44.70000,67.80000,-1.90000,-17.30000,20.30000,-9.60000,-20.50000,192.40000,-17.60000,-9.50000,,,-54.60000,-81.70000,147.80000,-135.70000,12.10000,-21.70000,-21.70000,-41.20000,-15.80000,-66.60000,45.40000,7.40000,-41.20000
2016-12-31,149.7,21.7,38.6,60.3,-9.8,-2.8,-11.4,15.5,-49.5,160.5,-17.4,-160.4,0,0,-51.5,-229.3,0,119.4,119.4,-34.6,-34.6,-41.2,-12.8,30.8,-39.9,9.5,-41.2
2016-09-30,135.2,21.2,12.6,33.8,-25.4,-17.9,3.6,-29,-57.1,111.9,-16,0,0,0,-53.2,-69.2,0,8.2,8.2,-13.9,-13.9,-35.4,-3.8,-44.9,-2.4,7.3,-35.4
2016-06-30,143.4,21.7,5.1,26.8,-1,-2.1,9.1,-15.1,-8.1,162.1,-19.4,0,0,0,-75.9,-95.3,0,3.8,3.8,-16.9,-16.9,-35.5,-4,-52.6,13.6,8.4,-35.5
2016-03-31,131.30000,21.00000,27.70000,48.70000,-4.80000,-9.90000,15.00000,-15.20000,-38.40000,141.60000,-19.30000,,,,-60.30000,-79.60000,,2.80000,2.80000,-13.20000,-13.20000,-35.40000,-3.50000,-49.30000,13.50000,5.80000,-35.40000
2015-12-31,134.5,64.1,-25.4,38.7,0.1,23.8,-30.9,-3.3,-18.1,155.1,-13.1,1.3,0,0,-62.8,-74.6,0,-53.1,-53.1,-6.9,-6.9,-35.4,-10.2,-105.6,-26.4,10,-35.4
2015-09-30,119.9,-22.2,50.1,27.9,-18,-31.3,7.8,-11.4,-34.1,113.7,-18.4,-13.1,0,0,-55.4,-86.9,0,13.9,13.9,-11.5,-11.5,-30.8,-2.5,-30.9,-5.4,6.7,-30.8
2015-06-30,123,20.6,11.6,32.2,-6.6,-11.8,2.9,-17.8,5.1,160.3,-27.3,0,0,0,-58.1,-85.4,0,-17.6,-17.6,-15.2,-15.2,-30.8,-1.3,-64.9,10.2,11.6,-30.8
