,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-138,980,-70,910,-442,-147,216,778,513,1285,-2266,0,0,-9,-9,-203,-2478,1106,1212,2318,5,-293,-825,17,1217,24,11,-825
2022-09-30,1487,1089,-1045,44,310,-29,102,-829,-93,1438,-2288,0,0,81,81,-285,-2492,1519,-1112,407,1742,1742,-801,-16,1332,278,16,-801
2022-06-30,1088,1006,-170,836,-420,-81,571,-253,63,1987,-1675,0,-23,-80,-103,-127,-1905,626,176,802,23,23,-741,-104,-20,62,15,-741
2022-03-31,991.00000,989.00000,-65.00000,924.00000,-217.00000,-28.00000,132.00000,446.00000,-323.00000,1592.00000,-1419.00000,,23.00000,-5.00000,18.00000,-154.00000,-1555.00000,-277.00000,887.00000,610.00000,38.00000,38.00000,-799.00000,-42.00000,-193.00000,-156.00000,85.00000,-799.00000
2021-12-31,-283,1029,109,1138,-83,60,37,358,233,1088,-1607,345,0,-1,-1,-240,-1503,202,733,935,11,11,-847,44,143,-272,10,-847
2021-09-30,1110,995,13,1008,-27,-34,132,-492,59,2177,-1703,0,0,114,114,-235,-1824,1564,-695,869,38,38,-791,15,131,484,29,-791
2021-06-30,375,985,569,1554,-279,-30,39,-321,-267,1662,-1681,0,116,-114,2,-104,-1783,403,310,713,10,10,-766,-20,-63,-184,22,-766
2021-03-31,1107.00000,964.00000,-20.00000,944.00000,308.00000,-27.00000,-216.00000,-155.00000,-809.00000,1242.00000,-1678.00000,-345.00000,-116.00000,-4.00000,-120.00000,-100.00000,-2243.00000,1766.00000,482.00000,2248.00000,14.00000,14.00000,-724.00000,196.00000,1734.00000,733.00000,83.00000,-724.00000
2020-12-31,357,1002,-65,937,-347,-45,401,-15,182,1476,-2095,81,0,139,139,-263,-2138,-1482,438,-1044,11,11,-784,164,-1653,-2315,14,-784
2020-09-30,1285,987,227,1214,-167,-141,39,0,-126,2373,-2159,0,103,-140,-37,-41,-2237,3222,-1014,2208,4,4,-722,-128,1362,1498,15,-722
2020-06-30,620,967,14,981,-25,0,37,-206,352,1953,-1641,-81,38,26,64,-108,-1766,677,-525,152,7,7,-747,118,-470,-283,12,-747
2020-03-31,841.00000,949.00000,-100.00000,849.00000,317.00000,,-504.00000,26.00000,-796.00000,894.00000,-578.00000,,-141.00000,-31.00000,-172.00000,-139.00000,-889.00000,1172.00000,-220.00000,952.00000,52.00000,52.00000,-703.00000,-116.00000,185.00000,190.00000,72.00000,-703.00000
2019-12-31,409,817,-724,93,42,14,462,251,398,900,-2052,-50,-37,279,242,-459,-2319,-648,1513,865,221,221,-782,158,462,-957,20,-782
2019-09-30,1346,891,221,1112,-65,-31,-110,-173,-90,2368,-1897,0,-25,-146,-171,-7,-2075,2691,-856,1835,171,171,-693,-57,1256,1549,12,-693
2019-06-30,930,772,369,1141,275,0,-262,-75,-302,1769,-1233,0,39,-96,-57,-162,-1452,39,147,186,228,228,-692,-17,-295,22,11,-692
2019-03-31,2059.00000,851.00000,-2324.00000,-1473.00000,378.00000,,-783.00000,124.00000,158.00000,744.00000,2749.00000,,-146.00000,-43.00000,-189.00000,-106.00000,2454.00000,-1209.00000,-1664.00000,-2873.00000,224.00000,224.00000,-659.00000,-45.00000,-3353.00000,-155.00000,64.00000,-659.00000
2018-12-31,269,902,383,1285,-463,-53,539,218,-193,1361,-2025,-65,-41,136,95,-265,-2260,-507,351,-156,212,179,-687,1191,527,-372,17,-687
2018-09-30,1222,897,-327,570,-57,0,158,-339,534,2326,308,0,42,-85,-43,-141,124,-269,-2417,-2686,656,656,-655,109,-2576,-126,25,-655
2018-06-30,-127,877,708,1585,-103,0,19,-104,291,1749,-1682,46,161,-136,25,-18,-1629,-1596,710,-886,109,109,-637,1021,-393,-273,14,-637
2018-03-31,936.00000,873.00000,56.00000,929.00000,197.00000,,-425.00000,422.00000,-356.00000,1509.00000,-1646.00000,-46.00000,-112.00000,-35.00000,-147.00000,-156.00000,-1995.00000,-683.00000,1832.00000,1149.00000,113.00000,113.00000,-599.00000,-34.00000,629.00000,143.00000,69.00000,-599.00000
2017-12-31,499,893,142,1035,-625,36,187,88,-391,1143,-2150,-38,139,170,309,1374,-505,841,-140,701,180,-328,-614,-108,-349,289,14,-614
2017-09-30,1111,881,302,1183,316,0,-114,-376,216,2510,-1843,30,237,-75,162,-151,-1802,607,-695,-88,196,446,-631,-32,-305,403,22,-631
2017-06-30,-1349,860,2338,3198,-203,0,180,-168,-4,1845,-1909,-42,53,-111,-58,-77,-2086,679,457,1136,231,81,-600,-37,580,339,12,-600
2017-03-31,665.00000,823.00000,182.00000,1005.00000,310.00000,,-533.00000,99.00000,-774.00000,896.00000,-1424.00000,-1004.00000,-170.00000,-142.00000,-312.00000,-57.00000,-2797.00000,801.00000,577.00000,1378.00000,186.00000,186.00000,-574.00000,35.00000,1025.00000,-876.00000,61.00000,-574.00000
2016-12-31,205,814,-1074,-260,-86,-26,310,-61,653,598,-2043,-1167,138,102,240,-437,-3407,1537,570,2107,622,622,-601,-12,2116,-693,121,-601
2016-09-30,1176,803,-586,217,-261,134,62,-260,763,2156,-1766,-8616,1,-1547,-1546,7963,-3965,920,184,1104,1882,1882,-541,136,2581,772,-69,-541
2016-06-30,647,667,53,720,-432,70,1,15,-105,1262,-1614,-783,-166,0,-166,-7915,-10478,9657,177,9834,1113,1113,-533,-55,10359,1143,11,-533
2016-03-31,501.00000,639.00000,71.00000,710.00000,235.00000,,-72.00000,-107.00000,-333.00000,878.00000,-1872.00000,-114.00000,-94.00000,-5.00000,-99.00000,-112.00000,-2197.00000,1109.00000,-181.00000,928.00000,141.00000,141.00000,-501.00000,101.00000,669.00000,-650.00000,58.00000,-501.00000
2015-12-31,297,608,418,1026,361,-178,-87,-306,-137,1186,-2184,-591,382,165,547,-172,-2400,1995,-114,1881,120,120,-506,14,1509,295,22,-506
2015-09-30,969,616,470,1086,40,103,45,130,926,2981,-1251,-720,-36,-166,-202,59,-2114,-706,433,-273,20,20,-498,180,-571,296,11,-498
