,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,309.40000,172.10000,19.50000,191.60000,329.90000,-55.80000,-87.80000,86.10000,272.40000,773.40000,-63.50000,-7.80000,,,-151.80000,-151.80000,-223.10000,,,,-197.00000,-197.00000,-99.40000,,-296.40000,253.90000,49.40000,-99.40000
2022-09-30,302.2,182.4,99.4,281.8,-308.4,-109.5,-1.2,71.4,-347.7,236.3,-141.6,-4,0,-216.2,214.5,-1.7,-147.3,0,0,0,-66.6,-66.6,-99.4,0,-166,-77,37,-99.4
2022-06-30,267.3,163.8,69.5,233.3,12.5,-176.4,17.5,-140.4,-286.8,213.8,-117.6,-2.3,0,216.2,-113.5,102.7,-17.2,0,0,0,-120,-120,-90,0,-210,-13.4,52.1,-90
2022-03-31,305.8,165.4,56.4,221.8,-24.1,-86.9,15.5,-39.3,-134.8,392.8,-126.7,-8.2,0,0,18.5,18.5,-116.4,0,0,0,-405.2,-405.2,-91.2,0,-496.4,-220,55.7,-91.2
2021-12-31,399.90000,182.50000,57.50000,240.00000,-17.80000,35.50000,-0.50000,-75.40000,-58.20000,581.70000,-95.80000,-5.80000,,,3.60000,3.60000,-98.00000,-50.00000,,-50.00000,-347.70000,-347.70000,-92.50000,,-490.20000,-6.50000,50.40000,-92.50000
2021-09-30,326.3,171.1,-2.2,168.9,-220.8,-35.3,37.8,121.4,-96.9,398.3,-263,-6.9,-2751,-689.6,678.3,-11.3,-3032.2,748.5,0,748.5,14.3,14.3,-92.5,1.5,671.8,-1962.1,47.6,-92.5
2021-06-30,337.7,91,44.7,135.7,-76.4,-67.7,18.1,-74.5,-200.5,272.9,-115,-1.5,0,689.6,-459.2,230.4,113.9,1489.7,0,1489.7,-1.6,-1.6,-82.5,-7.3,1398.3,1785.1,43.5,-82.5
2021-03-31,325,89.3,53.4,142.7,195.8,-27.1,-18.7,-2,148,615.7,-140.9,-1.6,0,0,38.6,38.6,-103.9,0,0,0,13.5,13.5,-82.6,0,-69.1,442.7,56.3,-82.6
2020-12-31,509.30000,86.40000,43.80000,130.20000,-296.30000,88.90000,22.40000,30.60000,-154.40000,485.10000,-118.90000,-4.30000,,,12.20000,12.20000,-111.00000,,,,-240.60000,-240.60000,-83.00000,,-323.60000,50.50000,44.50000,-83.00000
2020-09-30,246.9,90.7,34.4,125.1,-42.4,-106.9,48.4,-4.1,-105,267,-145.9,-1.5,0,0,-43,-43,-190.4,0,0,0,-217.7,-217.7,-83.5,0,-301.2,-224.6,45,-83.5
2020-06-30,129.8,90.6,47.4,138,21.5,-46.5,25.9,-10,-9.1,258.7,-71.6,-7.4,0,0,-175.5,-175.5,-254.5,0,0,0,-51.8,-51.8,-73.5,0,-125.3,-121.1,37.8,-73.5
2020-03-31,181,91.8,42.5,134.3,59.2,-44.9,-6.5,-42.7,-34.9,280.4,-60.7,-0.2,0,0,104.9,104.9,44,0,0,0,-265.3,-265.3,-74.9,0,-340.2,-15.8,40.2,-74.9
2019-12-31,257.10000,91.20000,34.50000,125.70000,38.50000,7.90000,-6.70000,-24.10000,15.60000,398.40000,-111.20000,,,,-69.30000,-69.30000,-180.50000,,,,-65.90000,-65.90000,-75.10000,,-141.00000,76.90000,33.60000,-75.10000
2019-09-30,210.6,92.9,44.2,137.1,130.8,-29.9,-8.5,-23.1,69.3,417,-84.4,-13.2,0,0,-4.2,-4.2,-101.8,0,0,0,-131.6,-131.6,-75.1,0,-206.7,108.5,21.5,-75.1
2019-06-30,144.2,93.7,27.7,121.4,-14,-22.8,-0.6,-18.9,-56.3,209.3,-87.8,1.1,0,0,-51.8,-51.8,-138.5,0,0,0,-78.6,-78.6,-65.7,0,-144.3,-73.5,16,-65.7
2019-03-31,213.9,92,-7.8,84.2,-19.4,-61.9,-1.7,-23,-106,192.1,-96.7,-12.9,0,0,-158.5,-158.5,-268.1,0,0,0,-127.4,-127.4,-66,0,-193.4,-269.4,21.8,-66
2018-12-31,284.90000,93.00000,23.60000,116.60000,131.40000,-5.00000,-22.20000,43.30000,147.50000,549.00000,-129.50000,,,,301.00000,301.00000,171.50000,,,,-301.00000,-301.00000,-67.10000,,-368.10000,352.40000,20.80000,-67.10000
2018-09-30,285.5,83.8,8.1,91.9,-180.1,22.1,-69.7,57.9,-169.8,207.6,-112.3,0,-404,0,175.1,175.1,-341.2,0,0,0,-223.2,-223.2,-68,0,-291.2,-424.8,21.5,-68
2018-06-30,286.5,74.7,22,96.7,-101.2,-36.5,25.9,-13.4,-125.2,258,-191.5,-2.6,0,0,-490.6,-490.6,-684.7,0,0,0,-238.8,-238.8,-57.7,0,-296.5,-723.2,19.5,-57.7
