,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,320.00000,303.00000,8.00000,311.00000,,,,63.00000,63.00000,762.00000,-589.00000,-39.00000,0.00000,-36.00000,-36.00000,-5.00000,-669.00000,-4.00000,-4.00000,-309.00000,-309.00000,-169.00000,,-482.00000,-377.00000,,-169.00000
2022-09-30,537,344,208,552,-176,-1195,302,1470,-179,797,-564,0,0,-80,-80,34,-610,-19,-19,-8,-8,-162,-6,-195,-25,93,-162
2022-06-30,753,297,51,348,0,0,0,-470,-470,666,-476,0,-1,-1,-2,38,-440,-28,-28,-170,-170,-163,0,-361,-95,0,-163
2022-03-31,833,295,21,316,0,0,0,-1373,-1373,-208,-439,0,0,-51,-51,64,-426,-1024,-1024,-96,-96,-164,1,-1283,-1805,0,-164
2021-12-31,1126.00000,300.00000,77.00000,377.00000,,,,-82.00000,-82.00000,1432.00000,-408.00000,,0.00000,-45.00000,-45.00000,-6.00000,-459.00000,-17.00000,-17.00000,-302.00000,-302.00000,-164.00000,-1.00000,-484.00000,319.00000,,-164.00000
2021-09-30,1358,368,-815,-447,-508,-567,351,705,402,1184,-350,1188,0,0,0,3,841,-1012,-1012,-9,-9,-159,-9,-1189,894,91,-159
2021-06-30,753,302,-30,272,0,0,0,256,256,1307,-302,0,-2,-44,-46,73,-275,-22,-22,-5,-5,-159,-11,-197,736,0,-159
2021-03-31,477,306,10,316,0,0,0,-857,-857,-36,-268,0,-1,0,-1,20,-249,-1013,-1013,1,1,-159,-1,-1172,-1529,0,-159
2020-12-31,472.00000,298.00000,17.00000,315.00000,,,,580.00000,580.00000,1385.00000,-289.00000,,1.00000,,1.00000,29.00000,-259.00000,,,-13.00000,-13.00000,-159.00000,-1.00000,-173.00000,940.00000,,-159.00000
2020-09-30,657,364,95,459,191,86,-64,-108,167,1166,-292,0,0,0,0,12,-280,-707,-707,-6,-6,-150,-11,-874,55,89,-150
2020-06-30,526,295,-20,275,0,0,0,619,619,1448,-283,0,-1,1,0,17,-266,98,-102,-3,-3,-150,0,-255,928,0,-150
2020-03-31,379,293,45,338,0,0,0,-289,-289,366,-312,0,-1,-184,-185,1,-496,180,380,-56,-56,-151,-5,168,-60,0,-151
2019-12-31,509.00000,288.00000,-13.00000,275.00000,,,,83.00000,83.00000,894.00000,-312.00000,29.00000,-16.00000,,-16.00000,-82.00000,-381.00000,-173.00000,-243.00000,-112.00000,-112.00000,-150.00000,-2.00000,-507.00000,13.00000,,-150.00000
2019-09-30,330,383,94,477,-226,-157,-55,924,232,978,-288,169,0,0,0,-10,-129,-709,-639,12,12,-134,0,-761,78,77,-134
2019-06-30,681,286,39,325,0,0,0,-382,-382,596,-315,-320,0,0,0,66,-569,201,201,-43,-43,-134,-4,20,46,0,-134
