,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,121.617,35.197,-21.018,14.179,91.357,-134.727,1.532,-44.87,-58.898,76.898,-53.756,0,0,0,0,0,-53.756,0,0,-74.206,-74.206,-0.065,-74.271,-3.962,9.654
2022-09-30,86.925,34.234,20.929,55.163,-98.917,-132.614,70.83,-67.048,-232.083,-89.995,-58.117,0,0,0,0,0,-58.117,0,0,-23.978,-23.978,-0.451,-24.429,-195.049,8.333
2022-06-30,7.68200,34.86900,18.62200,53.49100,8.58600,-134.21000,96.31900,9.15500,26.32300,87.49600,-35.74700,,,,,35.00000,-0.74700,,,-24.00700,-24.00700,-0.35200,-24.35900,40.93600,11.37500
2022-03-31,-59.61,35.509,-4.838,30.671,-131.988,-6.425,-54.97,18.904,-292.504,-321.443,-39.923,0,0,0,0,0,-39.923,0,0,-299.066,-299.066,-11.446,-310.512,-660.744,11.764
2021-12-31,-172.651,-86.964,-53.751,-140.715,29.586,-14.956,-43.179,11.444,-47.09,-360.456,48.343,0,0,0,0,0,48.343,506.28,506.28,-1.881,-1.881,-90.4,413.999,93.278,-22.581
2021-09-30,113.444,40.753,19.327,60.08,-94.389,41.818,-64.153,1.511,-65.891,107.633,-29.16,0,0,0,0,0,-29.16,-206.279,-206.279,1.792,1.792,37.609,-166.878,-95.478,11.048
2021-06-30,59.20700,46.21100,34.42400,80.63500,64.80300,-26.86200,107.33200,-12.95500,112.98100,252.82300,-19.18300,,,,,,-19.18300,-300.00100,-300.00100,0.08900,0.08900,52.79100,-247.12100,2.20000,11.53300
2021-03-31,77.752,40.785,21.979,62.764,-170.493,49.246,-80.092,30.813,-291.104,-150.588,-7.904,0,0,0,0,0,-7.904,0,0,0.858,0.858,-4.301,-3.443,-168.835,10.372
2020-12-31,733.63,-131.079,-527.668,-658.747,105.874,159.93,-17.972,246.871,174.824,249.707,71.639,38.848,0,0,0,0,110.487,-488.7531,-488.7531,-3.855,-3.855,56.285,-436.323,-78.527,-32.77
2020-09-30,38.946,42.293,13.561,55.854,-231.933,147.5,-28.477,-4.086,-35.097,59.703,-20.777,-0.658,0,0,0,0,-21.435,-250,-250,0.996,0.996,-0.88,-249.884,-213.569,9.512
