,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1011.2,869.8,-1337.2,-467.4,-339.2,180.1,245.6,-483.5,-401.2,142.6,-153.3,-12.2,1950,0,0,0,1784.5,-700.5,-500.4,-1200.9,0.8,0.8,-145.5,15,-1330.6,612.1,29.6,-145.5
2022-09-30,354.3,699.5,192.3,891.8,241.2,-169.5,-329.9,-130.6,-377.1,869,-103.3,-11.8,0,0.1,0.1,0,-115,-94.8,-519.3,-614.1,1.8,1.8,-145.5,-0.9,-758.7,-19,29.1,-145.5
2022-06-30,313.9,722.3,-104.5,617.8,-26.8,-201,284.7,-136.9,-129.2,802.5,-76.2,-5.6,0,-0.3,-0.3,0,-82.1,-991.6,364.4,-627.2,0.7,0.7,-145.5,-7.6,-779.6,-88,29.4,-145.5
2022-03-31,399.20000,736.00000,18.40000,754.40000,-115.50000,-69.10000,-30.20000,132.70000,-15.10000,1138.50000,-59.40000,-7.40000,,-0.10000,-0.10000,,-66.90000,,-837.90000,-837.90000,,,-145.10000,-26.00000,-1009.00000,51.20000,28.30000,-145.10000
2021-12-31,-263.8,749.8,376.6,1126.4,-9.8,-76.5,38,-266.9,-339.5,523.1,-195.2,-120.5,96.7,-0.1,-0.1,0,-219.1,-0.6,-214,-214.6,0,0,-133,-1.6,-349.2,-55.5,22.5,-133
2021-09-30,311.5,1017.1,281.9001,1299,183.8,-10.1,-54.9,-306.1,-524.9,1085.6,-120.4,2.2,0,0,0,0,-118.2,-1140,406.4,-733.6,0,0,-133,-10.9,-877.5,82.6,25,-133
2021-06-30,-279.2,1317.1,530.5999,1847.7,-54.9,-137.6,-245.4,261.1,-1009.1,559.4,-86.3,69.8,0,-0.3,-0.3,0,-16.8,-1350.6,1263.6,-87,0,0,-133,-465.5,-685.5,-134,31,-133
2021-03-31,-1037.60000,1422.50000,395.20000,1817.70000,-59.80000,-203.40000,191.90000,-354.60000,68.70000,848.80000,-37.00000,-3.70000,277.00000,0.00000,0.00000,,236.30000,,-1063.90000,-1063.90000,,,,-35.90000,-1099.80000,-36.90000,32.70000,
2020-12-31,-915.8,953.1,327.2,1280.3,106,-209.5,17,-130.2,-328.3,36.2,-116.9,-340.9,435.8,-0.3,-0.3,0,-22.3,-945.2,1099.3,154.1001,0,0,0,-5,149.1,182.8,29.4,0
2020-09-30,185.7,432.3,-18.8,413.5,-149.9,-256.6,134.8,131.6,-74.2,525,-37.4,-20.9,0,-0.4,-0.4,0,-58.7,0.1,0.3,0.4,0,0,0,-146.1,-145.7,342.4,15.1,0
