,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2023-01-31,-125.697,145.013,391.651,536.664,-518.608,64.889,642.492,283.485,694.452,-73.539,0,0,-302.663,-3.925,-306.588,0,-380.127,0,0,-7.694,-7.694,-0.201,-7.895,307.585,360.913
2022-10-31,-74.721,136.684,336.973,473.657,61.885,18.116,-117.33,9.732,408.668,-58.665,-0.7,0,-113.03,4.332,-108.698,0,-168.063,-1149.622,-1149.622,0.71,0.71,-0.161,-1149.073,-909.388,314.196
2022-07-31,-64.158,134.953,358.83,493.783,-324.841,-4.142,-11.349,-315.267,114.358,-168.598,0,0,-318.247,-0.15,-318.397,0,-486.995,-0.03,-0.03,83.302,83.302,-0.185,83.087,-289.695,308.007
2022-04-30,-102.17300,129.27300,342.34300,471.61600,462.96400,6.91000,-368.72700,70.27400,439.71700,-58.75000,,,-1419.03700,7.04600,-1411.99100,,-1470.74100,2284.12400,2284.12400,0.99000,0.99000,-7.41200,2277.70200,1245.99300,311.50600
2022-01-31,-73.253,130.691,283.41,414.101,-379.19,13.531,565.18,274.301,615.149,-73.355,-8.007,-450.334,92.181,-0.003,92.178,-0.001,-439.519,-9.409,-9.409,71.947,71.947,-0.054,62.484,237.494,292.235
2021-10-31,43.412,122.609,279.588,402.197,6.649,-12.007,-58.095,-60.955,384.654,-33.335,0,-60.645,-74.749,1.87,-72.879,0,-166.859,-9.384,-9.384,1.894,1.894,-0.033,-7.523,210.322,278.995
2021-07-31,105.736,119.131,172.504,291.635,-227.511,8.06,36.24,-198.898,198.473,-87.781,0,0,-54.756,3.199,-51.557,0.006,-139.332,-9.395,-9.395,75.844,75.844,-0.151,66.298,125.118,264.719
2021-04-30,-46.52200,114.07700,291.25900,405.33600,392.11900,-0.17000,-287.41500,93.61400,452.42800,-69.79600,,-679.22000,58.70300,-171.39800,-112.69500,-0.00500,-861.71600,-9.42600,-9.42600,-1.35700,-1.35700,-0.22500,-11.00800,-420.11000,264.63500
2021-01-31,-71.707,117.834,260.75,378.584,-286.903,5.837,500.029,246.869,553.746,-48.688,-2.95,0,-247.5469,0.212,-247.335,0,-298.973,-9.441,-9.441,70.506,70.506,-0.221,60.844,316.405,257.114
2020-10-31,-24.34,114.694,273.213,387.907,-53.923,3.762,-14.567,-69.765,293.802,-78.197,0,0,-383.4211,-1.048,-384.469,0,-462.666,-9.375,-9.375,3.65,3.65,-0.181,-5.906,-174.73,259.832
