,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-158.77,-987.526,42.417,-945.109,124.807,28.557,-1075.322,2947.867,0,0,-102.948,-102.948,439.591,3284.51,-1139.439,-1139.439,-2184.953,-2184.953,833.296,186.862,-2304.234,-78.429,-19.456,833.296
2022-09-30,-2.653,362.513,-5.691,356.822,-87.194,1.822,355.991,-1093.508,0,0,32.031,32.031,-137.772,-1199.249,286.652,286.652,827.392,827.392,-283.454,0.028,830.618,-17.067,5.99,-283.454
2022-06-30,95.672,315.752,-10.65,305.102,-36.613,-5.963,394.811,-1098.147,0,0,10.807,10.807,-189.374,-1276.714,444.076,444.076,808.215,808.215,-276.797,-6.983,968.511,75.208,6.021,-276.797
2022-03-31,65.75100,309.26100,-26.07600,283.18500,-1.00000,-24.41600,324.52000,-756.21200,,,60.11000,60.11000,-112.44500,-808.54700,408.71100,408.71100,549.34600,549.34600,-273.04500,-179.90700,505.10500,20.28800,7.44500,-273.04500
2021-12-31,66.194,288.207,-12.39,275.8171,-38.311,-58.681,283.33,-1491.889,0,0,53.6091,53.6091,-89.516,-1527.796,471.4359,471.4359,981.737,981.737,-265.449,41.021,1228.745,-15.89,2.944,-265.449
2021-09-30,190.336,271.732,-118.804,152.9279,-69.537,9.818,353.082,-1769.082,0,0,-16.951,-16.951,2.695,-1783.338,273.098,273.098,1000,1000,-260.792,-25.273,987.033,-446.059,4.535,-260.792
2021-06-30,45.757,245.076,34.137,279.2131,-12.69,10.285,335.255,-422.148,0,0,-636.465,-636.465,-7.381,-1065.994,-1079.793,-1079.793,366.464,366.464,-254.75,-51.938,-1020.017,-1750.118,4.757,-254.75
2021-03-31,72.19200,248.16300,-10.71200,237.45100,-1.57900,-5.98500,303.65800,-31.28400,,,-46.86300,-46.86300,-60.99300,-139.14000,656.01900,656.01900,,,-254.91500,-29.20100,371.90300,537.77900,5.57600,-254.91500
2020-12-31,155.278,245.836,-74.4289,171.4072,-53.834,-71.513,255.172,-262.979,393.374,0,-14.033,-14.033,-98.179,18.183,-139.77,-139.77,0,0,-255.117,-19.776,-414.663,-134.291,7.38,-255.117
2020-09-30,394.978,257.833,-317.3161,-59.4831,-55.622,-37.527,297.968,1820.775,-393.374,0,-195.22,-195.22,-44.616,1187.565,-758.999,-758.999,0,0,-253.268,-149.619,-1161.886,329.091,6.565,-253.268
