,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-130.2,518.3,79,597.3,-70.2,-12.1,-104.7,-222.9,244.2,-129.5,0,0,0,0,0,17,-112.5,-150.8,0,-150.8,-111.5,-111.5,-50.4,-0.7,-313.4,-169.7,26.8,-50.4
2022-09-30,194.2,231.4,27.4,258.8,-32.7,-37.1,44.7,-2.2,450.8,-118.8,0,0,0,0,0,33.6,-85.2,-159.9,0,-159.9,18.2,18.2,-50.3,-1.9,-193.9,159,27.4,-50.3
2022-06-30,154,235.7,30.1,265.8,-67.6,-25.8,40.1,-74.3,345.5,-105.1,0,-99.8,0,0,0,-38.3,-243.2,-100,0,-100,4.5,4.5,-50.3,-0.2,-146,-49.4,27.6,-50.3
2022-03-31,73.20000,233.80000,20.70000,254.50000,-14.20000,-0.60000,18.70000,-12.00000,315.70000,-92.80000,,,,,,11.70000,-81.10000,-650.00000,,-650.00000,40.50000,40.50000,-50.20000,537.30000,-122.40000,-42.70000,23.20000,-50.20000
2021-12-31,-98.1,362.9,39.6,402.5,-13.1,114.4,31.4,128.1,432.5,-176.4,-8.4,0,0,0,0,0.5,-184.3,-555,0,-555,5.2,5.2,-50.2,-55.8,-655.8,-441.1,24.2,-50.2
2021-09-30,162.4,233,18.7,251.7,-2.6,-6.7,-15,10.1,424.2,-113.7,0,0,0,0,0,1.4,-112.3,-300,0,-300,25.8,25.8,-50.1,-101.8,-426.1,-122.8,18.7,-50.1
2021-06-30,144.8,252.1,27.2,279.3,-34.2,-3.7,-28.9,-5.1,419,-85.7,0,0,0,0,0,-13.2,-98.9,0,0,0,26.2,26.2,-50,-4.5,-28.3,318.1,22.3,-50
2021-03-31,193.00000,235.70000,15.20000,250.90000,34.80000,-85.20000,-31.70000,-220.40000,223.50000,-98.00000,,,,,,-10.10000,-108.10000,-200.00000,,-200.00000,65.30000,65.30000,-49.80000,-11.30000,-195.80000,-77.80000,20.10000,-49.80000
2020-12-31,333.8,265.4,29.7,295.1,-83.6,67.8,11.8,-203.8,425.1,-96.6,-0.4,-235.5,0,0,0,16.6,-315.9,-250,0,-250,32.1,32.1,-49.8,-18.6,-286.3,-165.2,17.7,-49.8
2020-09-30,246.1,258.6,23.7,282.3,-259.1,14,4.4,-147.1,381.3,-94.1,0,0,0,0,0,2.7,-91.4,0,0,0,36,36,-49.6,-29,-42.6,253.9,23.7,-49.6
2020-06-30,-208.2,288.7,21.8,310.5,-17,-26.6,27.3,-155.1,-52.8,-92.6,0,0,0,0,0,7.3,-85.3,-1500,0,-1500,7.2,7.2,-49.6,-43.3,-1585.7,-1720.2,21.8,-49.6
2020-03-31,-509.10000,865.00000,16.50000,881.50000,289.70000,-96.00000,26.00000,78.50000,450.90000,-125.90000,,,,,,4.70000,-121.20000,1497.10000,,1497.10000,54.50000,54.50000,-49.50000,-9.30000,1492.80000,1815.70000,16.50000,-49.50000
2019-12-31,321.4,253.9,-516,-262.1,-203.3,-19.2,-1.9,364,423.3,-128.2,0,-37.1,0,0,0,27.3,-138,-161.1,0,-161.1,32.3,32.3,-49.4,-4.5,-182.7,105.4,22.7,-49.4
2019-09-30,432,251.5,21.6,273.1,80.2,-23,20.6,-127.2,577.9,-153.3,0,0,0,0,0,-10.3,-163.6,-330,0,-330,71.1,71.1,-49.2,9.7,-298.4,109.4,21.6,-49.2
2019-06-30,131.9,323.1,19.7,342.8,-21.4,-32.3,-12.9,-173.7,301,-140,-197.6,0,0,0,0,15.4,-322.2,-115,0,-115,10.4,10.4,-49.1,-9.9,-163.6,-183.7,19.7,-49.1
2019-03-31,246.20000,247.70000,20.30000,268.00000,50.70000,-50.70000,-23.70000,-230.60000,283.60000,-101.50000,,,,,,-4.00000,-105.50000,-110.00000,,-110.00000,44.40000,44.40000,-49.00000,-20.60000,-135.20000,44.00000,20.30000,-49.00000
2018-12-31,-902.5,1230.7,33.6,1264.3,-23.8,-34.3,36,17.7,379.5,-120.1,0,-15.3,0,0,0,53,-82.4,-250.0001,0,-250.0001,4.5,4.5,-49,19,-275.5,18.2,20.2,-49
2018-09-30,162.1,264.4,19.3,283.7,59.7,-65.9,9.7,38.3,484.1,-139.1,0,0,0,0,0,0.2,-138.9,-303.6999,0,-303.6999,47,47,-48.8,7.8,-297.7,43.4,19.3,-48.8
2018-06-30,184.9,261.6,12.1,273.7,31.5,-59.7,13.3,-65.3,393.3,-92.7,0,0,0,0,0,-0.9,-93.6,-1525,0,-1525,8.5,8.5,-48.8,-5.5,-1570.8,-1284.2,12.1,-48.8
2018-03-31,176.20000,263.50000,13.90000,277.40000,146.20000,-39.60000,-50.60000,36.90000,490.50000,-87.10000,,,,,,-14.60000,-101.70000,924.30000,,924.30000,47.90000,47.90000,-48.60000,-81.80000,841.80000,1241.00000,13.90000,-48.60000
2017-12-31,1231.2,536.5,-1761.8,-1225.3001,-185,3.8,145.3,397,402.9,-127.5,0,0,0,0,0,-0.7,-128.2,-300,0,-300,12.9,12.9,-48.6,102.8,-232.9,43.6,13.6,-48.6
2017-09-30,98.8,299.2,13.7,312.9,120.4,-54.2,-10,51.8,463.5,-119.1,0,0,0,0,0,-1.4,-120.5,-297.5,0,-297.5,27.1,27.1,-48.5,-1.8,-320.7,30.8,12.4,-48.5
2017-06-30,184.1,290.9,30,320.9,199.3,-56.4,-19.9,-64.5,440.5,-116.9,0,-4,0,0,0,-8.1,-129,-900,0,-900,39.4,39.4,-48.4,-4,-913,-589.5,13.7,-48.4
2017-03-31,299.30000,267.60000,28.60000,296.20000,27.00000,-13.30000,-109.70000,-320.10000,275.40000,-129.50000,,,,,,-3.60000,-133.10000,249.30000,,249.30000,66.10000,66.10000,-48.10000,-11.20000,256.10000,405.40000,14.00000,-48.10000
2016-12-31,69.7,255.1,-66.1,189,-61.3,33.7,173,368.5,627.2,-148.8,0,0,-0.1,12.9,12.8,-10.8,-146.8,-276.5001,0,-276.5001,23.1,23.1,-48.1,-7.6,-309.1,158.8,11.4,-48.1
2016-09-30,157.9,288.1,29.7,317.8,40.5,-16,-74.5,-123.1,352.6,-150.4,0,-1258.9,-0.2,0,-0.2,35.2,-1374.3,535.7,0,535.7,34.9,34.9,-47.9,-3.5,519.2,-501,15.2,-47.9
2016-06-30,-31.7,280.3,150.7,431,-37.4,21.9,-25.9,-19.7,379.6,-118.3,0,-184.1,-0.9,49.8,48.9,-12.7,-266.2,-119.1,0,-119.1,47.3,47.3,-47.8,-0.8,-120.4,-20.5,18,-47.8
2016-03-31,108.70000,246.90000,166.40000,413.30000,-83.40000,38.30000,-54.10000,-249.20000,272.80000,-112.70000,,,-0.30000,223.50000,223.20000,-14.70000,95.80000,-399.70000,,-399.70000,-384.20000,-384.20000,-44.60000,-4.40000,-832.90000,-462.50000,12.70000,-44.60000
2015-12-31,126.7,284.3,-112.6,171.7001,-85.5,-8.9,1.9,164.1,462.5,-117.5,0,0,-35.8,224.1,188.3,-2.1,68.7,-372.7,0,-372.7,-121.8,-121.8,-44.8,0.9,-538.4,-7.6,11.7,-44.8
2015-09-30,22.2,239.5,204.3,443.8,88.7,-55.7,61.8,-367.4,98.6,-102,0,52.8,-26.4,179.9,153.5,-10.2,94.1,-150.101,0,-150.101,42.4,42.4,-37.6,1.1,-144.2,42.3,13.5,-37.6
2015-06-30,-173.8,99.6,168.2,267.8,-65.9,-82.9,-110.3,103.2,197.2,-47.9,0,-7812.9,-320.3,398.9,78.6,-6.4,-7788.6,260.101,0,260.101,7.1,7.1,-37.4,-9.1,220.7,-7368.9,8.3,-37.4
2015-03-31,171.10000,89.00000,21.90000,110.90000,6.60000,-57.90000,24.80000,-190.50000,91.50000,-96.80000,,,167.70000,,167.70000,-3.00000,67.90000,7629.00000,,7629.00000,27.50000,27.50000,-37.30000,-50.60000,7568.60000,7710.20000,12.90000,-37.30000
2014-12-31,153.7,92.6,-111.8,-19.2,1.9,-31.9,11.4,227.4,361.9,-83.7,-54.3,0,-1120.2,1282.2,161.9999,4.7,28.7,-249.1,0,-249.1,29.8,29.8,-37.5,-6.3,-263.1,116,12.4,-37.5
2014-09-30,168.3,90.9,16.4,107.3,-27.6,-47.5,82.2,-19.9,255.7,-83.2,0,0,-138.8,0,-138.8,-7.4,-229.4,0.9,0,0.9,35.6,35.6,-37.1,-15.3,-15.9,-1.4,12.8,-37.1
2014-06-30,176.1,91.3,20.1,111.4,-20,-28.6,-0.3,-33.4,254.1,-94.6,0,0,-74.3,0,-74.3,-1.4,-170.3,0.3,0,0.3,80.7,80.7,-36.9,-44.5,-0.4,86,13,-36.9
2014-03-31,221.10000,101.00000,28.50000,129.50000,5.30000,-56.60000,21.10000,-161.80000,188.80000,-80.80000,,,-17.60000,,-17.60000,,-98.40000,0.20000,,0.20000,-262.30000,-262.30000,-34.00000,5.40000,-290.70000,-197.90000,11.20000,-34.00000
2013-12-31,254.8,90.1,-103.9,-13.8,-41.3,-33,-58.4,59.2,300.2,-49.6,-74.2,0,678.4,-631.2,47.2,66.4,-10.2,1.8,0,1.8,-91.3,-91.3,-34,1.3,-122.2,163.2,48.5,-34
2013-09-30,154.1,91.9,18.7,110.6,57,-28.9,14.8,28,292.7,-86.7,0,0,-214.3,155.8,-58.5,-5.5,-150.7,0.8,0,0.8,91.2,91.2,-33.9,2.2,60.3,207.5,0,-33.9
2013-06-30,151.7,91.4,20.4,111.8,-45.8,-26.5,23.8,-73.8,189.7,-81.2,0,0,-503.2,475.4,-27.8,-65.6,-174.6,0,0,0,79.1,79.1,-33.6,1.6,47.1,52.9,-14,-33.6
2013-03-31,218.00000,85.10000,24.90000,110.00000,-44.20000,-59.70000,-29.90000,-147.50000,180.50000,-75.40000,,,137.20000,,137.20000,-8.80000,53.00000,-100.10000,,-100.10000,-325.00000,-325.00000,-30.90000,3.50000,-452.50000,-227.30000,14.00000,-30.90000
2012-12-31,152.3,186.2,-48.6,137.6,-11.3,-14.2,30.3,78.1,368,-87.5,0,-59,550.1,-667.1,-117,38.9,-224.6,99.8,0,99.8,-127.1,-127.1,-31.2,0.4,-58.1,82.8,0,-31.2
2012-09-30,177.7,82.7,16.2,98.9,52.7,-23.6,0.5,68.4,345,-63.5,0,0,-264.2,244.4,-19.8,-2.1,-85.4,-4.2,0,-4.2,-81.5,-81.5,-31.5,0.9,-116.3,150.5,0,-31.5
2012-06-30,214,93.4,16.9,110.3,-32.7,-23.7,-13.4,-92.8,231.5,-64.3,0,0,-281.9,248.1,-33.8,-19.8,-117.9,0.6,0,0.6,-98.8,-98.8,-31.7,-3.1,-133,-23,0,-31.7
2012-03-31,208.90000,96.80000,18.80000,115.60000,-54.20000,-6.00000,-74.80000,-117.10000,207.40000,-48.30000,,,-255.60000,174.60000,-81.00000,-34.90000,-164.20000,1.00000,,1.00000,-131.30000,-131.30000,,1.20000,-129.10000,-94.30000,,0.00000
2011-12-31,156.1,94.3,-2.2,92.1,-23.5,34.9,64.4,144.9,393.1,-72.5,0,-56.8,136.5,-225,-88.5,4.5,-213.3,-374.7,549.3,174.6,-134.1,-134.1,0,-3,37.5,215.3,60.5,0
