Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-09-30,0.013528375628208524,2.8866666666666666e-05,8.101287602879182e-06,0.002574043118467164,-5.837563451776649e-05,-5.837563451776649e-05,-5.9717745111116075e-05,8.678046663891057e-05,0.031158677748681165,0.0006332650524199415,0.0011500974484034694,0.006532979639325189,2.2930394503224375e-05,2.320671561337747e-05,0.0012444890112771423,5.216216216216216e-06,0.0004998116566093758,0.0005363831021419517,0.0004951554295733711
2022-06-30,0.015300479214976315,2.8533333333333333e-05,9.015370938602277e-06,0.00281312430286497,0.0004076395939086294,0.0004076395939086294,0.0003454233163242312,0.0004993462196716537,0.036813541310865686,0.000883753904337178,0.001449483339596699,0.005183488074461897,0.000153538889475309,0.00016944609190801602,0.008469687803368178,3.4936936936936936e-05,0.0005055579765272433,0.000483389311009102,0.00044119011506919874
2022-03-31,0.015036829372099067,1.7333333333333332e-05,5.789194459579594e-06,0.0029128728017997567,0.0008200101522842639,0.0008200101522842639,0.0006928678766513086,0.0009769387861124912,0.033397851910888454,0.000838772219258141,0.0014344153858158533,0.005237910413030832,0.00026919525117215064,0.000264902403608773,0.015023399718870827,6.232432432432432e-05,0.0005045564328500417,0.0006317182162576357,0.0006204117648172659
2021-12-31,0.012707294688962237,6.666666666666667e-08,7.491898712397121e-06,0.003058990478497054,0.0012695634517766498,0.0012695634517766498,0.0011347873847060114,0.0014767606154242401,0.1474818778701279,0.0008156501713888577,0.0015983690733836254,0.004700546829552065,0.0024620610937722376,0.00024674459575139436,0.10031118620395038,0.0005851396396396397,9.175351389678782e-05,0.0006002979110420441,0.000568529322100974
2021-09-30,0.014069485543828019,6.666666666666667e-08,7.868285968283101e-06,0.0029431283860300982,0.001115741116751269,0.001115741116751269,0.0010586629653015227,0.0015658825449066964,0.14676078788568825,0.0007779771796018357,0.0017354157006284592,0.004329298429319372,0.002451164418698391,0.00024615296967076374,0.10584935415752698,0.0005825495495495496,8.697476198565636e-05,0.000620081066177787,0.000590210123893001
2021-06-30,0.016969633815477753,2.8266666666666668e-05,7.93997877892805e-06,0.002892444805769737,0.0010956548223350253,0.0010956548223350253,0.0009707752699885783,0.001349385036735357,0.13666552810353333,0.000760436315701,0.0017043828910560035,0.004408237347294939,0.0019044545418194492,0.00019133260487850482,0.08494117135449773,0.0004334774774774775,8.603821524325842e-05,0.0006911571982039401,0.0006818564825597358
2021-03-31,0.015774421194434226,3.073333333333333e-05,8.656906885377536e-06,0.002803254118307123,0.0009754467005076142,0.0009754467005076142,0.00084836254197837,0.0011788021515116702,0.13013776613913242,0.000746815569111336,0.001414145400372573,0.0053131076207097155,0.0016238509456134628,0.00016377451596221772,0.07065320964331896,0.0003681891891891892,7.874821812380439e-05,0.0006530231525576666,0.0006399150188310545
2020-12-31,0.015954581920400345,3.566666666666667e-05,1.012660950359898e-05,0.0027218281383018534,0.0008919238578680204,0.0008919238578680204,0.000766210809376205,0.0040171746299574075,0.13738661808797298,0.0008515292111860215,0.001401499082020792,0.005360847004072134,0.005782306414882091,0.0005861791034746711,0.2541776076393463,0.0013008783783783784,7.120118767126324e-05,0.00041338737745185794,0.0003780412295002812
2020-09-30,0.014284171844456637,5.8666666666666665e-05,1.7295890568093835e-05,0.0026721851262038795,0.0008137055837563452,0.0008137055837563452,0.0006517282774312174,0.0010187997515122558,0.15135299252343543,0.0008078763794328055,0.001175031324302726,0.0063941268179173935,0.0019112389064741221,0.00019903287395881114,0.07102668424896431,0.00041432882882882886,4.7523099762908904e-05,0.00025100437556842996,0.00020667768695194436
2020-06-30,0.013176214766651059,8.606666666666667e-05,3.7423647156663135e-05,0.002670931576253869,0.0004545431472081218,0.0004545431472081218,0.00037700753004438084,0.0005946071720470313,0.11138942654370185,0.0005439661089247783,0.0009631830693601232,0.007800293193717277,0.0009002359177530336,9.505459028798311e-05,0.030503410513821754,0.00018635135135135133,4.158622064982163e-05,0.00017742178044815557,0.00011749290403452266
