Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-06-30,0.1934176275798481,0.0037032107310291788,0.00035845599845368186,0.684241,0.268262,0.268262,0.34206932363520165,0.14110139838421817,0.13916982352867985,0.08676391139924365,0.0024650613574877063,0.0019092212000857366,0.009961614692411143,0.0010167922712427753,0.002933551171675128,0.1485142102126998,0.011237009465629584,0.00016041538950151783,-6.718940581982924e-05,-7.149435809815371e-05
2021-06-30,0.18850952105201021,0.005120014197613026,0.0005176638488307161,0.67973,0.254874,0.254874,0.33203008348280605,0.082378681783737,0.08529522551249755,0.07408607959661444,0.0025450776995550773,0.0021514476135826867,0.008840067008720719,0.000584008688015062,0.004818797930535753,0.07990232907588281,0.006100838270442289,0.00014895672533624834,0.00030412963930998433,0.0003437214499752605
2020-06-30,0.27456161557101016,0.005900882914060074,0.000615619577131556,0.654122,0.21310500000000002,0.21310500000000002,0.30919452121498014,0.19373232350420094,0.17556017569082397,0.06560417792184405,0.002468150406807866,0.002025328618261251,0.009390619864788301,0.0010913464319710537,0.006514265041555453,0.14649084173165108,0.01103620325110078,0.00013264840351278888,4.6907126677121446e-05,-1.123006246953892e-05
2019-06-30,0.2274595348261923,0.008787730896076429,0.0010329443466078837,0.663147,0.205487,0.205487,0.29954996509661674,0.08120421709946044,0.07610064102491593,0.06823338735818477,0.0026322686077854007,0.0017450044581754605,0.010899169122262376,0.0005418439417924027,-0.002539966402386616,0.06604186636959507,0.004811376693523875,0.00011347430774571427,1.6832200731834814e-05,8.302092386721841e-06
2018-06-30,0.2816848354688001,0.007072185988730644,0.0007488489010249124,0.672081,0.21178799999999998,0.21178799999999998,0.2967662538493581,0.10139217285801244,0.11096167311235865,0.07268143345939132,0.002453103747216119,0.0017957342618343227,0.010591205702534572,0.0007685304001640835,0.014025252824558404,0.1025674240265292,0.0073878084551208915,0.00010596420736976608,5.614218504966022e-05,4.625451472602169e-05
2017-06-30,0.1443759171075342,0.007861928213319134,0.0008627730813845268,0.665256,0.21417999999999998,0.21417999999999998,0.30510977922421284,0.10293466063198518,0.0764337658488801,0.06506392940752746,0.0031220323951591613,0.0016189862505434135,0.011747464412280135,0.0005267109131356267,-0.0036186845182553874,0.06325163864348818,0.004885287996638282,9.38806863085434e-05,-2.5788464889353546e-06,1.7048939722732354e-06
2016-06-30,0.26361535736974967,0.002789239392460476,0.0002581169190992935,0.674636,0.30177600000000004,0.30177600000000004,0.3685026924108442,0.15297544856372647,0.11840975597616885,0.07956059787502251,0.0028333557538525924,0.0017951295356979917,0.010594835005526932,0.0007811061967845929,0.002935100519767551,0.11981009870722041,0.008937537474691608,8.71638439778124e-05,1.0350235232618924e-05,1.86055820452427e-05
2015-06-30,0.35100551529496427,0.0023485218214354376,0.00021664661076755106,0.679447,0.325095,0.325095,0.3874646448699635,0.17644455532872586,0.13473287235041337,0.07658923104628129,0.0029137706829290167,0.0021694550140867594,0.008766658927255585,0.0008362345974430309,0.002552934445920198,0.13124174201404185,0.009725730932959958,8.41858026013546e-05,4.147063948423071e-06,-1.0562930045605915e-05
2014-06-30,1.0,,1.7875132901613123e-05,0.702731,0.44652500000000006,0.44652500000000006,0.47563896016449286,0.23350262740534924,0.17539446164426795,0.07469836124617324,0.0027280291367103617,0.0021853122772172114,0.008703130615047431,0.0009171259604411324,0.0008032324049252227,0.16663255524754528,0.011585887425611181,7.937159781669388e-05,3.024917232967416e-05,5.396360051369197e-05
2013-06-30,0.7176011559068753,,,0.744136,0.510244,0.510244,0.5229953379731691,0.26776397245468814,0.20498092308945282,0.07187106068791645,0.0022703516035653608,0.002597164371954952,0.007323002848072259,0.0010032829863211095,0.0007116426924416215,0.18739086504831734,0.01267429364877681,7.39443537605897e-05,-6.69106116048092e-06,-4.8404163647583595e-05
2012-06-30,0.5449235111233549,,,0.7496309999999999,0.528386,0.528386,0.5402121212697604,0.2668943820317773,0.20197035698085977,0.07875022510354764,0.0020502319278158927,0.002800117182486862,0.006792194020676791,0.0010949028909212346,0.0008023454031423103,0.20228762403171066,0.013831711436985217,6.76352194754452e-05,3.136434918975431e-07,-5.707688515871266e-06
2011-06-30,0.7122432801668643,,,0.7757470000000001,0.5623319999999999,0.5623319999999999,0.5633387035723185,0.2945090540926652,0.21904738743039162,0.0845308842067351,0.001442884972771525,0.0025730425182946453,0.007391618388406455,0.001259564968156216,0.0009726768590530926,0.2355190548977953,0.01591185786441179,5.8260888833083436e-05,3.85433002265203e-05,4.34747962929675e-05
2010-06-30,0.6639268225491796,,,0.7959539999999999,0.581044,0.581044,0.581337246570053,0.300982844223228,0.23076557627201086,0.0933909598415271,0.0039822828074475985,0.0026478269838208883,0.007182855917136498,0.0014381504835732353,0.000895767219745202,0.2740874115909739,0.018167896583969053,5.004025378348635e-05,3.6591740721380033e-06,8.376218211603286e-06
2009-06-30,0.9252483569368468,,,0.788135,0.571232,0.571232,0.5712485520326703,0.3046641103468838,0.22550118601486566,0.10070232306861157,0.004945069727814897,0.002846546711398483,0.006681422730200563,0.0015156037171241198,0.0009515205108510529,0.28882613539210866,0.019146349362951006,4.52629790754186e-05,0.00025589824011151765,0.0002561417878778333
