Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,0.938,0.6372,1.9587,42.9623,30.7424,30.7424,30.407,25.6056,0.3379,9.7979,2.1623,41.6221,52.8813,52.8813,8.6513,19.186,3.5807,2.1312,1.8939
2022-09-30,0.8794,0.6614,2.3695,42.2592,27.6152,27.6152,27.3523,22.9861,0.2555,10.5239,1.4795,60.8333,40.8924,40.8924,5.874,13.8481,3.1782,1.4544,1.2547
2022-06-30,0.8646,0.6197,2.0598,43.2563,27.8162,27.8162,27.8041,23.4357,0.2467,8.6645,1.9639,45.8272,33.459,33.459,5.781,12.7232,3.6102,1.4474,1.3153
2022-03-31,0.9268,0.6052,1.7802,43.7499,30.8179,30.8179,30.9823,25.7098,0.2774,10.0218,2.1427,42.0033,37.1074,37.1074,7.1322,14.6496,4.1585,1.7372,1.5828
2021-12-31,1.0378,0.5972,1.7071,43.7638,33.4729,33.4729,33.2736,27.9398,0.3252,11.8622,1.8995,47.3821,48.1427,48.1427,9.0847,19.3939,4.402,2.8431,2.6734
2021-09-30,1.0746,0.6336,1.9768,42.1953,28.5341,28.5341,27.8887,24.6533,0.2375,7.3231,1.6185,55.6087,32.5741,32.5741,5.855,11.9347,3.8407,1.1731,0.9843
2021-06-30,1.0619,0.622,1.8947,43.2927,29.6265,29.6265,29.9249,26.7014,0.2469,8.9183,2.4016,37.4748,33.827,33.827,6.5923,12.7882,3.8824,1.2895,1.1618
2021-03-31,1.1417,0.611,1.7584,42.5065,30.7008,30.7008,31.2679,26.3775,0.2657,9.8687,2.7117,33.1894,34.1583,34.1583,7.0086,13.2887,4.1458,1.4413,1.305
2020-12-31,1.163,0.5999,1.6919,39.7778,30.0918,30.0918,30.1322,25.8034,0.3148,13.4951,1.901,47.3425,43.4208,43.4208,8.1216,17.3741,3.9365,2.265,2.0605
2020-09-30,1.3636,0.6016,1.7208,38.1604,22.8369,22.8369,23.0316,19.5879,0.1998,9.852,1.7278,52.0889,19.3958,19.3958,3.9128,7.7272,3.8487,1.1524,1.0526
2020-06-30,1.4695,0.5654,1.5595,37.9995,21.9335,21.9335,22.0106,18.854,0.1881,9.3024,1.8608,48.3664,15.5682,15.5682,3.546,6.7655,4.2182,0.9626,0.8701
2020-03-31,1.496,0.5318,1.3963,38.3619,22.0414,22.0414,22.525,19.2907,0.182,10.7807,1.9009,47.3467,14.3436,14.3436,3.5109,6.7154,4.5343,0.7749,0.6684
2019-12-31,1.5978,0.5097,1.2095,38.3548,27.8472,27.8472,28.2273,24.2172,0.2696,13.8155,2.2986,39.1546,24.8361,24.8361,6.5281,12.1768,5.1044,1.7126,1.5944
2019-09-30,1.5401,0.5036,1.194,37.9653,24.3988,24.3988,25.1827,21.371,0.1892,9.6754,1.3981,64.3716,15.1247,15.1247,4.0429,7.5076,5.0913,1.0432,0.8982
2019-06-30,1.5046,0.4682,1.124,37.5904,21.4537,21.4537,22.1357,18.666,0.167,10.0095,2.0325,44.28,10.413,10.413,3.1169,5.5372,5.3215,0.6756,0.5604
2019-03-31,1.3154,0.4601,1.064,37.6127,23.1233,23.1233,23.7749,19.9276,0.1696,7.4107,2.2077,40.7657,10.921,10.921,3.3804,5.8966,5.7442,0.6149,0.4864
2018-12-31,1.3006,0.441,0.9732,37.9919,27.6907,27.6907,28.3549,23.6805,0.2256,10.481,2.2798,39.4768,16.935,16.935,5.3422,9.4674,6.2313,1.3979,1.2222
2018-09-30,1.1329,0.4666,1.0685,38.2894,25.6248,25.6248,26.1065,22.4563,0.172,9.8119,1.2838,70.1041,13.1828,13.1828,3.8622,7.0315,5.6334,0.9329,0.7886
2018-06-30,1.3073,0.458,0.997,38.3385,23.6778,23.6778,24.9395,21.6258,0.1525,5.533,2.0201,44.5514,10.021,10.021,3.2987,5.4315,5.9339,0.7969,0.6211
2018-03-31,1.456,0.4441,0.9603,38.3107,25.9974,25.9974,26.4455,22.6082,0.1664,4.9223,2.7284,32.9869,10.8939,10.8939,3.7611,6.0559,6.4167,0.7704,0.5611
2017-12-31,1.242,0.4257,0.873,38.4085,29.7577,29.7577,30.614,22.7255,0.217,12.3006,1.7347,51.8831,14.3118,15.1822,4.9325,8.2193,6.8973,1.3714,1.2352
2017-09-30,1.2761,0.4203,0.863,37.9068,24.9529,24.9529,26.4687,20.377,0.1401,6.7246,1.4739,61.0618,7.9927,7.9927,2.8546,4.633,6.5373,0.7416,0.5591
2017-06-30,1.3883,0.4043,0.8181,38.513,23.7139,23.7139,24.9031,19.1971,0.1316,8.8748,2.0064,44.8573,6.5826,7.0117,2.5254,3.9215,6.4038,0.4245,0.314
2017-03-31,1.3906,0.3867,0.7348,38.9273,26.6504,26.6504,27.7601,20.8504,0.1581,11.1014,2.5663,35.0703,8.2256,8.7537,3.2968,5.045,6.439,0.6133,0.4701
2016-12-31,1.2282,0.3572,0.6613,38.5139,29.8133,29.8133,30.8611,22.8344,0.2366,17.7636,2.8006,32.1365,13.5139,14.4144,5.4028,8.6872,6.2978,1.2779,1.1214
2016-09-30,1.3527,0.3703,0.6786,38.0197,25.1025,25.1025,26.0138,19.2393,0.1456,13.6205,1.5991,56.2817,7.0285,7.535,2.8021,4.4257,6.0085,0.7401,0.5614
2016-06-30,1.3116,0.3527,0.6712,38.0235,23.8562,23.8562,24.7155,18.405,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,5.866,0.5077,0.376
2016-03-31,1.2831,0.3472,0.6122,39.4031,27.6658,27.6658,27.9724,20.8003,0.1656,13.431,2.5503,35.2901,8.0609,8.6648,3.4447,5.2624,5.9532,0.5352,0.4283
2015-12-31,1.0017,0.2932,0.4909,40.0978,31.8576,31.8576,32.3874,24.2,0.2587,18.543,3.0816,29.2056,14.3147,15.4112,6.2605,10.1179,5.7835,1.2273,1.0659
2015-09-30,1.1088,0.3088,0.539,39.8983,28.3936,28.3936,29.246,21.5996,0.1774,13.1771,1.6973,53.0256,9.3201,10.081,3.8313,6.4418,5.3486,0.5714,0.4164
