Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,0.6466,0.5823,1.6472,63.8591,17.7331,17.7331,34.4632,12.3241,11.7478,0.2101,5.4511,7.6409,47.769,9.5579,9.5788,2.4667,3.9925,46.943,2.6458,1.1193
2021-12-31,0.6284,0.5798,1.5903,67.447,20.315,20.315,38.457,14.9589,14.8172,0.1915,5.526,8.6485,42.2037,10.9704,10.9958,2.8381,4.6092,44.9815,-0.0561,1.3212
2020-12-31,0.4384,0.5825,1.615,70.7095,20.0268,20.0268,39.5113,14.3855,14.7475,0.1847,3.3356,8.096,45.084,10.574,10.6008,2.7201,4.4145,41.8331,-0.9125,-1.1143
2019-12-31,0.3959,0.5579,1.4846,67.1874,16.6585,16.6585,34.2668,11.7907,12.3453,0.205,4.3672,9.1264,39.9939,9.6408,9.6663,2.5296,4.2624,40.2963,-1.9574,-1.3935
2018-12-31,0.4757,0.5318,1.3252,64.2714,16.5643,16.5643,31.3855,12.1853,11.8785,0.2354,6.2822,8.4068,43.4172,10.1331,10.1611,2.807,4.7443,38.6408,1.9096,-3.7025
2017-12-31,0.5142,0.5147,1.2456,65.5635,22.8527,22.8527,36.6375,18.2575,12.3994,0.2383,5.5726,8.157,44.7468,10.5326,10.5629,2.98,5.1119,37.2223,-0.5281,2.2465
2016-12-31,0.6353,0.4994,1.2612,65.0167,7.1056,7.1056,19.8705,2.9035,3.7295,0.2581,5.924,8.546,42.7101,3.562,3.5727,0.9777,1.7831,35.4274,-0.4829,-1.2267
2015-12-31,0.5729,0.4977,1.1378,62.8753,20.2605,20.2605,33.3564,15.9416,12.442,0.2667,4.5604,10.0294,36.3931,9.8777,9.9068,2.8672,4.9616,36.4623,0.2661,-0.3539
2014-12-31,0.5621,0.4876,1.1803,61.1829,19.0944,19.0944,31.5607,14.671,9.9752,0.2751,4.8289,8.9247,40.8978,9.4535,9.4831,2.6711,4.8437,34.3776,1.0034,-0.0857
2013-12-31,0.7052,0.5113,1.1895,62.4728,19.0536,19.0536,31.4956,14.131,9.9943,0.2626,3.9066,7.9642,45.8298,9.1626,9.2148,2.6126,4.478,32.9782,0.5685,-0.5298
2012-12-31,0.6726,0.5057,1.2298,64.6705,17.7718,17.7718,30.6056,12.1914,8.4242,0.2749,3.476,7.9877,45.6952,8.2825,8.3322,2.3213,4.0943,31.3733,-0.0095,-1.0857
2011-12-31,0.6326,0.507,1.2387,62.8738,18.4043,18.4043,30.2593,15.6589,12.8407,0.2895,4.3437,8.2421,44.2849,10.7467,10.8027,3.0178,5.2978,30.3358,2.301,1.8072
2010-12-31,0.7696,0.5323,1.3329,65.1418,18.4584,18.4584,30.7964,12.8163,8.394,0.2859,3.4731,7.5023,48.6515,8.9414,8.9916,2.414,4.1821,28.3315,0.158,1.0393
2009-12-31,0.8928,0.5453,1.3412,66.4097,20.5427,20.5427,32.849,14.3673,10.0601,0.279,2.7279,12.8467,28.412,10.4262,10.4868,2.8336,4.741,27.4864,5.3924,-0.3116
