Date,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,0.3146,0.459,-2.2862,-2.2862,-3.0776,-2.2716,0.1393,-1.9701,-2.188,-0.3093,-1.197,65.9696,3.4342,3.9663
2022-09-30,0.3121,0.4537,-6.2159,-6.2159,-6.9655,-5.2544,0.1352,-4.3807,-4.8581,-0.6993,-2.6755,66.0188,7.7604,7.283
2022-06-30,0.2847,0.398,-10.0737,-10.0737,-10.7611,-8.527,0.1268,-5.6719,-6.1955,-1.0628,-3.6579,73.8893,6.1551,5.7837
2022-03-31,0.2563,0.3446,7.2303,7.2303,6.4602,5.1066,0.127,3.0518,3.289,0.665,2.0764,83.8333,1.533,1.0717
2021-12-31,0.2409,0.3174,11.5441,11.5441,10.7063,6.0718,0.1308,4.802,5.1422,1.1183,3.3592,89.4199,2.8549,2.6615
2021-09-30,0.2301,0.2988,2.5481,2.5481,1.8109,4.0705,0.0935,0.8328,0.8834,0.1544,0.5939,92.7326,4.6356,4.325
2021-06-30,0.221,0.2836,15.4911,15.4911,14.21,12.6127,0.0953,5.5146,5.7763,1.0819,3.9654,94.9226,5.0842,4.6338
2021-03-31,0.2298,0.2984,25.4518,25.4518,24.3515,-11.3083,0.0959,9.7717,10.2636,1.8535,6.9162,89.3067,4.53,4.3309
2020-12-31,0.2057,0.259,27.2213,27.2213,26.1266,23.7001,0.087,8.0363,8.1514,1.8018,5.9671,99.398,4.1217,3.8937
2020-09-30,0.1957,0.2434,16.8758,16.8758,14.3098,10.5451,0.087,4.8077,4.9193,0.9906,3.5872,89.6809,4.2098,3.9853
2020-06-30,0.1973,0.2458,14.1402,14.1402,13.2558,11.7658,0.0858,4.4212,4.525,0.912,3.2897,86.2173,5.8871,5.565
2020-03-31,0.2153,0.2744,11.3116,11.3116,10.45,5.1997,0.085,3.7698,3.8698,0.7209,2.717,76.7397,3.1855,2.9839
2019-12-31,0.2032,0.2551,20.1727,20.1727,19.0094,20.4725,0.0695,5.2758,5.3426,1.0446,3.8401,81.4984,3.6826,3.2642
2019-09-30,0.2023,0.2536,11.2025,11.2025,10.4797,8.0314,0.0914,4.0324,3.9458,0.769,2.841,80.4308,5.5762,5.2098
2019-06-30,0.2131,0.2708,10.472,10.472,9.6734,7.3672,0.0941,3.7745,3.8807,0.7189,2.736,74.1697,4.0049,3.7285
2019-03-31,0.216,0.2756,15.6506,15.6506,14.7407,11.4741,0.0949,6.0127,6.1904,1.1154,4.3253,70.3243,2.1156,1.8785
2018-12-31,0.2324,0.3027,-6.5288,-6.5288,-7.4887,-6.1702,0.0845,-2.7964,-2.8857,-0.4829,-1.9522,64.1928,3.796,3.5661
2018-09-30,0.2144,0.2729,12.1548,12.1548,11.2566,9.0014,0.0914,4.5898,4.5654,0.8551,3.2543,68.5015,4.9618,4.7684
2018-06-30,0.2181,0.2789,9.9416,9.9416,8.8821,6.7135,0.0891,3.444,3.4252,0.6324,2.4248,66.634,4.1546,3.9659
2018-03-31,0.2273,0.2942,13.9611,13.9611,12.9273,10.0,0.0862,4.7964,4.7705,0.888,3.3395,66.1278,1.7394,1.5671
2017-12-31,0.2197,0.2816,18.0183,18.0183,17.0443,15.7523,0.0895,7.7578,7.9234,1.4357,5.5846,63.5239,2.9741,2.7496
2017-09-30,0.223,0.287,10.7909,10.7909,9.82,6.4422,0.087,3.269,3.3619,0.5861,2.3395,61.4417,5.102,4.9092
2017-06-30,0.2279,0.2952,9.9358,9.9358,8.6722,5.6048,0.0885,2.9309,3.0169,0.5223,2.0791,59.5596,1.345,1.1487
2017-03-31,0.2307,0.2999,11.4579,11.4579,10.4936,6.9058,0.0875,3.5803,3.6845,0.6304,2.5269,57.9671,2.3081,2.1088
2016-12-31,0.2358,0.3085,13.2407,13.2407,12.4026,7.9957,0.0934,4.4617,4.3402,0.7734,3.1204,56.2104,3.2886,2.9645
2016-09-30,0.1962,0.2441,9.1313,9.1313,8.2963,5.3248,0.085,2.71,2.6376,0.4791,1.9966,56.8859,3.7029,3.5147
2016-06-30,0.1991,0.2486,4.9978,4.9978,4.103,2.6408,0.0854,1.441,1.4017,0.2526,1.056,55.3989,1.7269,1.5454
