Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,1.7263,0.6879,2.2176,40.7081,18.5026,18.5026,16.2739,15.7052,0.2158,1.0664,2.1777,41.3279,14.3356,-12.5661,3.3925,4.474,10.7509,2.1756,1.9212
2022-09-30,1.7932,0.7362,2.8063,40.2758,17.8286,17.8286,14.6328,12.5424,0.2317,1.1419,2.1626,41.6165,14.4405,-9.7152,2.9062,3.8097,9.0341,1.7913,1.5998
2022-06-30,2.8719,0.7213,2.6045,40.7451,19.0273,19.0273,17.2423,14.8881,0.2116,1.0693,2.3195,38.8009,14.7749,-27.8665,3.153,4.1175,8.8768,1.0056,0.8248
2022-03-31,1.8526,0.657,1.9321,39.8977,16.1692,16.1692,14.8286,12.8524,0.2406,1.0794,2.2313,40.3358,12.4966,-19.1801,3.0955,4.2868,8.4851,0.2314,0.1332
2021-12-31,1.8589,0.6522,1.8915,40.3976,16.2295,16.2295,17.555,15.9053,0.2324,1.1112,2.5034,35.9518,14.7823,-23.0517,3.6939,5.1417,8.6424,1.4521,1.2682
2021-09-30,1.5145,0.5789,1.6493,41.9107,19.3027,19.3027,19.6374,20.014,0.2301,1.2048,2.3325,38.5858,16.5514,-35.8194,4.6074,6.9705,9.6727,0.9943,0.874
2021-06-30,2.0284,0.6449,1.8166,42.9107,19.4671,19.4671,18.2354,15.8924,0.2441,1.3755,2.3569,38.1858,15.0876,-24.3642,3.8822,5.3569,8.7718,1.7266,1.5982
2021-03-31,2.0728,0.6617,1.9561,42.8345,18.9111,18.9111,17.6437,15.5552,0.2355,1.3691,2.221,40.5214,14.8016,-19.8824,3.6704,5.0074,8.1178,1.2259,1.1568
2020-12-31,2.1956,0.6319,1.717,43.9846,16.1832,16.1832,14.547,12.8283,0.237,1.4391,2.2601,39.8213,11.2179,-19.7254,3.0429,4.1291,9.1281,2.1615,2.0132
2020-09-30,2.292,0.6334,1.7278,43.8221,22.0209,22.0209,21.9248,20.1675,0.2406,1.413,2.0758,43.3567,17.7609,-32.1233,4.8519,6.5115,8.9659,1.7411,1.6451
2020-06-30,2.1072,0.6775,2.1019,41.8321,16.3698,16.3698,14.9109,12.5021,0.208,1.1679,1.7907,50.2595,10.8382,-12.5639,2.6007,3.4954,7.3726,1.0507,0.914
2020-03-31,2.0188,0.6994,2.332,43.4415,4.2834,4.2834,1.7786,0.0593,0.2447,1.3851,1.9665,45.767,0.0815,-0.0776,0.0181,0.0245,6.656,0.3301,0.2036
2019-12-31,1.9759,0.6525,1.8776,44.3642,19.9166,19.9166,13.5789,11.2161,0.2425,1.4831,2.1816,41.2537,10.6128,-12.9368,2.7197,3.6883,8.2007,2.2048,2.0346
2019-09-30,1.8996,0.675,2.0767,44.835,22.4643,22.4643,20.1123,17.5865,0.2612,1.4046,2.0362,44.2002,19.1647,-19.2291,4.5962,6.2293,7.3878,1.84,1.6246
2019-06-30,1.708,0.6773,2.1522,43.8594,19.9262,19.9262,17.9978,14.948,0.2566,1.3472,1.9242,46.7724,16.4858,-14.6237,3.8395,5.3192,7.101,1.2648,1.084
2019-03-31,1.7515,0.6873,2.2535,42.2748,16.4886,16.4886,14.5649,12.2443,0.2339,1.2739,1.8215,49.4107,12.5981,-10.3267,2.867,3.9388,6.7742,-0.1325,-0.2618
2018-12-31,1.7888,0.6831,2.2092,42.7819,20.131,20.131,18.1093,18.9066,0.2499,1.4338,2.1619,41.6301,20.3211,-17.1241,4.7292,6.4405,6.9106,2.0655,1.8844
2018-09-30,1.7936,0.703,2.4252,43.4856,20.0,20.0,18.2994,16.3036,0.2606,1.4448,1.9687,45.7147,19.3823,-13.8643,4.2526,5.7569,6.3018,1.4766,1.3632
2018-06-30,1.8019,0.7371,2.8722,43.366,20.3491,20.3491,18.6746,16.1629,0.2678,1.5038,1.9254,46.7433,22.4101,-13.1838,4.3318,5.8927,5.3553,1.347,1.2192
2018-03-31,1.7753,0.7617,3.2735,42.0486,16.0985,16.0985,14.0597,11.7762,0.2333,1.3087,1.8225,49.3818,15.7016,-7.5205,2.7548,3.7412,4.8561,-0.1054,-0.1962
2017-12-31,2.2411,0.7805,3.6432,44.3018,21.0112,21.0112,12.5522,1.5409,0.2451,1.447,2.1005,42.8475,2.984,-1.6133,0.476,0.6548,4.2656,1.8422,1.6803
2017-09-30,2.1393,0.7914,3.8887,45.0279,20.8566,20.8566,18.3787,14.7358,0.249,1.303,2.0126,44.7194,24.2139,-11.5959,3.6816,5.0502,3.9158,1.1071,0.9786
2017-06-30,1.9212,0.8381,5.3489,44.8644,21.5311,21.5311,19.6491,16.8262,0.2686,1.3951,2.0167,44.6268,39.2725,-12.2581,4.5318,6.3601,2.8364,1.093,0.951
2017-03-31,1.8625,0.9006,9.3671,43.9504,18.1305,18.1305,14.9964,12.4636,0.2511,1.2924,2.0409,44.098,44.3226,-7.3257,3.1436,4.4044,1.6271,-0.4256,-0.5068
2016-12-31,1.9304,0.924,12.5756,42.5663,18.6063,18.6063,14.4813,13.1297,0.2535,1.4832,2.1912,41.0743,64.433,-7.8304,3.3372,4.8956,1.2217,2.0547,1.8896
2016-09-30,1.8559,0.9017,9.4765,45.345,20.9086,20.9086,3.631,0.2753,0.2519,1.3912,2.0971,42.9169,1.2862,-0.2061,0.0867,0.1264,1.6195,0.7956,0.6936
2016-06-30,1.7626,0.9096,10.4041,45.7172,21.2515,21.2515,19.9008,16.2421,0.2494,1.4092,1.6793,53.5938,66.8067,-9.7756,4.0674,6.0384,1.4752,1.0538,0.9596
2016-03-31,1.7493,0.949,19.2535,43.0619,16.4245,16.4245,14.9313,11.4872,0.2213,1.321,1.5417,58.3755,75.6757,-5.6867,2.5903,3.8568,0.8116,-0.0083,-0.0846
2015-12-31,1.6442,0.98,51.2828,40.374,14.9432,14.9432,13.8981,13.183,0.241,1.5933,1.7976,50.066,242.4243,-6.813,3.1816,4.8413,0.3094,1.3435,1.2681
2015-09-30,1.6932,0.9825,58.3893,44.0771,20.2755,20.2755,-1.2489,-5.0138,0.226,1.4078,1.9938,45.1405,-93.5715,2.4818,-1.0876,-1.6335,0.2919,0.9654,0.873
2015-06-30,1.9273,0.9424,17.2256,42.6949,18.4216,18.4216,16.1694,12.3003,0.2611,1.4458,1.8912,47.59,89.4085,-11.2593,3.267,5.1457,0.7588,0.2979,0.2026
2015-03-31,1.8745,0.9988,834.7333,40.7892,15.4785,15.4785,12.2738,9.8975,0.238,1.4689,1.7932,50.1897,2926.645,-7.2109,2.2777,3.6456,0.0157,0.0454,-0.0516
2014-12-31,1.8811,0.985,68.3568,34.6818,11.0026,11.0026,6.9573,6.1726,0.2845,2.2126,2.4892,36.1569,121.6216,-3.8052,1.1161,1.8241,0.1931,0.8577,0.7437
2014-09-30,2.0121,0.9952,213.25,43.2779,19.4074,19.4074,17.4502,11.1213,0.2744,1.7161,1.9029,47.2965,1134.999,-10.6907,3.4183,5.4254,0.0627,1.1193,0.9758
2014-06-30,2.0293,1.009,-114.9643,42.5212,16.8015,16.8015,14.6378,8.1279,0.2701,1.7547,1.798,50.0546,-488.3927,-8.1169,2.7793,4.3911,-0.1166,0.6649,0.4922
2014-03-31,1.9803,1.0229,-47.1696,41.1916,14.5307,14.5307,11.7445,7.6725,0.2359,1.6411,1.6424,54.7986,-135.689,-5.6562,1.9415,3.1065,-0.2932,-0.0092,-0.1037
2013-12-31,1.9303,1.0283,-38.3971,82.6371,19.1428,19.1428,15.3106,1.7436,0.2752,1.7072,2.1177,42.4991,-28.8572,-1.4723,0.5048,0.8165,-0.3646,0.6809,1.0289
2013-09-30,2.6994,0.0021,0.0037,45.0662,-4.0454,-4.0454,-4.1777,-14.7637,0.2748,1.7806,1.7265,52.1285,-5.196,-10.3968,-3.5115,-5.1852,,1.025,0.9907
2013-06-30,,,,41.3278,18.9143,18.9143,18.9711,11.4053,,,,,,,,,,0.6125,0.577
2013-03-31,,,,39.3197,14.5362,14.5362,12.8671,8.3245,,,,,,,,,,0.0042,-0.051
2012-12-31,,,,,,,,,,,,,,,,,,0.0,0.0
2012-09-30,,,,,,,,,,,,,,,,,,0.0,0.0
2011-12-31,,,,,,,,,,,,,,,,,,0.0,0.0
2010-12-31,,,,,,,,,,,,,,,,,,0.0,0.0
