Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,1.6162,0.2241,0.319,34.8794,24.3994,24.3994,29.5929,23.2288,18.8527,0.4948,3.8354,6.6902,54.5575,15.5091,-93.6524,9.3277,12.0341,32.4994,-0.0204,-0.1453
2021-12-31,1.3617,0.2449,0.3702,34.4832,23.5945,23.5945,28.8611,22.053,17.85,0.4662,4.7244,6.6889,54.5681,14.4073,-57.0481,8.321,10.8785,29.6634,-0.5573,-0.7117
2020-12-31,2.3445,0.2772,0.4057,33.9979,22.6405,22.6405,28.2632,23.8393,19.2166,0.4383,5.3589,7.5987,48.0343,14.6645,-97.0154,8.4233,10.5997,25.8085,0.6837,0.8089
2019-12-31,1.4207,0.3075,0.5412,34.6543,22.8238,22.8238,27.3608,20.7374,16.6965,0.524,5.3972,6.9265,52.6964,16.837,-50.8164,8.749,11.66,22.3303,0.881,0.7875
2018-12-31,1.4588,0.349,0.6206,34.2469,22.195,22.195,26.3117,20.3832,16.0535,0.5594,5.1002,6.6125,55.1988,18.3392,-43.8548,8.9807,11.9393,16.0895,0.3831,0.3542
2017-12-31,1.6991,0.3166,0.5398,33.4591,21.0136,21.0136,25.2745,18.5279,15.8475,0.5516,5.2939,6.4357,56.715,16.9199,-61.8758,8.7412,11.5625,17.421,0.3559,0.3029
2016-12-31,2.0858,0.3878,0.719,32.6708,20.5979,20.5979,25.2779,18.0492,13.3372,0.5408,5.254,6.4831,56.3005,15.7272,-39.5044,7.2128,9.6286,14.1971,0.4542,0.4694
2015-12-31,1.5809,0.323,0.5955,34.127,22.8397,22.8397,26.6003,20.2899,14.867,0.5967,5.0889,6.5876,55.4067,18.1544,-52.5223,8.8712,12.2897,13.8192,-0.154,-0.1514
2014-12-31,1.6863,0.3059,0.5291,33.8447,22.342,22.342,25.7877,20.0109,14.5317,0.6264,5.3655,6.8697,53.1317,18.0413,-58.4442,9.1024,12.5222,13.4235,0.253,0.2217
2013-12-31,1.5655,0.2669,0.4512,35.3491,22.678,22.678,25.9794,20.166,14.3845,0.6115,5.1312,6.6967,54.5043,16.4853,-69.2872,8.7956,12.0854,12.8002,0.1747,0.1527
2012-12-31,1.3236,0.3089,0.5734,35.3931,22.3703,22.3703,25.5336,19.869,13.7703,0.6424,5.022,6.5654,55.5949,18.1106,-46.716,8.8464,12.5163,10.4158,0.4187,0.3924
2011-12-31,1.6841,0.3537,0.6157,34.5875,21.2695,21.2695,24.1637,18.6173,12.8587,0.6922,5.1404,6.8225,53.4997,18.7287,-52.2094,8.9007,12.1045,8.5335,0.3386,0.292
2010-12-31,1.769,0.3764,0.6582,33.3499,19.513,19.513,22.4632,16.441,11.4908,0.647,4.9124,6.1787,59.0737,15.9943,-50.7024,7.4349,9.9746,7.3641,0.2501,0.224
2009-12-31,2.2849,0.3789,0.6648,31.5677,17.4446,17.4446,20.5661,14.0411,9.8063,0.6464,4.6092,6.3321,57.6427,13.1313,-88.6347,6.3391,8.1561,6.4556,1.5028,1.3665
