Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,4.2912,,,61.0707,34.855,34.855,36.5775,36.1033,30.8685,0.6466,1.3225,4.7463,76.9017,27.6811,30.0698,19.9611,27.6811,15.9204,-1.6248,-1.5631
2021-12-31,4.3364,,,63.7977,31.368,31.368,33.986,31.5762,28.5225,0.5141,1.6416,5.7076,63.9496,21.1344,22.7464,14.6633,21.1344,12.9309,0.8694,0.715
2020-12-31,4.9945,,,63.943,30.1912,30.1912,32.1562,31.8817,27.381,0.489,1.7421,5.9494,61.3512,19.1115,21.097,13.3903,19.1115,10.8971,-0.6641,-0.6638
2019-12-31,5.8144,,,64.0617,33.4248,33.4248,34.5066,35.7684,35.6511,0.576,3.5532,6.15,59.3499,29.705,30.7689,20.545,29.705,9.4735,1.421,1.446
2018-12-31,4.4761,0.0163,0.0165,63.8374,12.7057,12.7057,13.8358,13.4241,15.2427,0.698,2.9407,6.4844,56.2891,15.3082,16.1546,10.6462,15.0593,7.0816,-0.4436,-0.4689
2017-12-31,4.277,0.0222,0.0227,64.4987,28.5674,28.5674,29.9094,28.84,25.6593,0.6689,1.9086,6.6554,54.8427,25.4647,25.4647,17.1973,24.9002,5.637,1.4043,1.429
2016-12-31,3.3209,0.0345,0.0357,64.0398,21.5565,21.5565,23.4377,21.4517,16.2035,0.6531,1.717,4.461,81.82,16.6263,16.6263,10.6529,16.0526,3.9112,-0.2373,-0.2405
2015-12-31,4.1459,0.0497,0.0523,64.8956,17.8259,17.8259,19.6337,17.432,14.2211,0.7221,3.1915,5.806,62.866,15.3653,15.3653,10.4408,14.6018,2.892,0.2285,0.2187
2014-12-31,4.7064,0.0711,0.0766,67.1267,21.4881,21.4881,23.3535,20.8024,11.7939,0.7202,2.4615,6.0228,60.6028,15.6301,15.6301,10.7087,14.5184,2.1199,0.3157,0.4246
2013-12-31,1.3507,0.357,1.8261,66.036,18.3122,18.3122,20.0181,16.1327,5.7518,0.991,1.8286,4.6311,78.8144,59.186,54.6236,11.6482,35.1246,0.6087,0.0241,-0.1117
2012-12-31,3.8213,0.8667,6.5006,68.3302,20.6284,20.6284,22.086,17.0495,4.975,0.8785,2.5331,3.7996,96.0624,165.2655,112.8979,9.6967,15.0519,0.156,0.1185,0.1178
2011-12-31,,,,68.9906,31.7488,31.7488,33.2711,26.9049,9.86,,,,,,,,,,0.1456,0.1131
