Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,0.8593,0.3826,0.7631,72.0615,8.4711,8.4711,20.827,5.6391,7.4136,0.4597,2.6369,3.9416,92.6018,8.8861,-14.9214,3.413,5.4862,11.9557,1.0543,1.1727
2021-12-31,1.1615,0.4173,0.7584,66.7611,2.8222,2.8222,20.2742,-0.7082,0.2993,0.3551,1.3845,3.6303,100.544,0.2927,-0.4979,0.1091,0.1706,12.6781,0.2618,0.2097
2020-12-31,0.9624,0.5282,1.2597,80.0917,19.3936,19.3936,31.2244,14.7124,12.0074,0.3989,1.3168,3.6037,101.2845,20.1049,-18.3281,4.7116,9.4862,5.9566,0.6865,0.7229
2019-12-31,0.859,0.5187,1.2025,79.8187,11.9915,11.9915,27.4196,6.3484,5.4749,0.3973,1.5412,4.0331,90.5016,8.4064,-6.8528,1.9991,4.046,5.5619,0.1079,0.1527
2018-12-31,0.957,0.5528,1.3609,77.655,15.3327,15.3327,32.3223,9.0222,9.7555,0.3642,1.708,3.8211,95.5213,14.597,-10.4475,3.38,6.528,5.5421,-0.38,-0.2959
2017-12-31,0.8027,0.4832,1.07,80.779,16.3677,16.3677,29.882,9.9132,13.3586,0.3546,1.4227,4.0602,89.8974,17.2335,-13.4201,4.5269,8.9063,6.5715,-0.2239,-0.1761
2016-12-31,0.8693,0.4652,1.0083,82.0624,21.3112,21.3112,31.5581,15.4421,15.2117,0.3679,1.7678,4.6013,79.3251,20.4331,-15.0875,5.4473,10.9272,6.5873,0.3232,0.2908
2015-12-31,1.0765,0.433,0.8133,81.1964,16.6505,16.6505,28.1933,12.4211,11.4335,0.4114,2.168,3.5252,103.5408,15.2683,-17.7323,4.7056,8.6565,7.3209,-1.4781,-1.6466
2014-12-31,0.9635,0.2994,0.5519,77.9937,8.0499,8.0499,20.4129,4.6936,4.6446,0.4531,2.9806,3.511,103.9577,6.2863,-9.5848,2.1077,4.404,7.7766,-0.1587,-0.2281
2013-12-31,1.2669,0.2697,0.4462,79.6133,14.3843,14.3843,32.1437,12.6599,9.9047,0.4617,2.7559,3.082,118.4277,11.0566,-92.6487,4.5994,8.0745,9.2482,0.2022,0.1209
2012-12-31,1.3701,0.2821,0.4306,80.7207,29.1281,29.1281,38.1296,27.3335,22.3072,0.5225,2.6167,3.3175,110.0232,26.1839,-261.25,11.7122,18.7978,9.6031,-0.1122,-0.0298
2011-12-31,1.4923,0.2382,0.3975,82.0607,38.0906,38.0906,45.6819,36.5663,29.5228,0.6358,3.2538,3.4242,106.5955,42.4018,379.1921,18.834,32.301,9.0788,-0.8323,-0.857
2010-12-31,1.4971,0.2798,0.3939,80.7959,34.5487,34.5487,42.7876,32.9947,24.2057,0.5927,3.7985,3.055,119.4761,34.5194,585.1557,14.3977,24.8593,8.3072,-0.355,-0.3157
2009-12-31,1.3469,0.305,0.5313,82.3954,35.1878,35.1878,41.5498,32.9442,22.9972,0.5973,3.3,4.2553,85.7757,36.2327,-582.9985,13.7363,25.1819,,4.0479,3.7638
