Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-01-31,0.9874,0.2871,0.407,22.488,5.8712,5.8712,7.5501,5.8422,4.741,2.9571,6.7261,49.6747,7.3478,81.2583,150.0,14.0197,57.932,13.2806,-5.6893,-5.9345
2021-01-31,1.1919,0.2146,0.3002,22.371,5.059,5.059,6.8342,5.0294,3.8043,2.4787,6.5376,44.5448,8.194,39.1977,49.9306,9.4299,30.7877,17.8552,9.1665,9.2268
2020-01-31,1.0989,0.2654,0.3653,23.0258,4.6038,4.6038,6.4645,4.5671,3.5313,2.7989,6.4921,37.9791,9.6105,44.2943,61.7635,9.8839,32.538,13.5898,1.0101,1.1492
2019-01-31,1.1806,0.2872,0.4198,23.2305,4.4311,4.4311,6.2268,4.4031,3.4143,3.3237,6.0858,42.2453,8.64,44.2831,61.2296,11.348,31.5653,12.4425,1.5855,0.9154
2018-01-31,1.2574,0.1834,0.3751,23.4301,4.3724,4.3724,5.9927,4.3107,2.3724,3.2302,6.196,40.1821,9.0837,27.6578,31.3461,7.6558,22.5865,12.7638,-0.9545,-1.3969
2017-01-31,1.4766,0.2191,0.2899,23.9576,4.7052,4.7052,6.365,4.6088,3.1165,2.8438,6.1602,29.2524,12.4776,25.6318,28.1746,8.711,20.0166,15.1362,4.0967,4.1494
2016-01-31,1.4276,0.2342,0.3961,23.2519,3.4785,3.4785,5.1407,3.3141,2.2693,2.9239,6.0061,34.0172,10.7299,18.4331,20.4149,5.9694,14.1158,13.5216,-1.6428,-1.9068
2015-01-31,1.4751,0.2392,0.3226,22.4274,3.5945,3.5945,5.2208,3.4384,3.0566,2.646,6.0479,31.5148,11.5818,24.92,27.5786,8.1732,18.9592,14.2261,2.325,2.3121
2014-01-31,1.41,0.2878,0.4154,23.144,2.817,2.817,4.58,2.6668,1.31,2.8981,5.8058,31.0482,11.7559,17.4229,20.0693,4.9597,12.4085,11.5039,-1.1469,-0.6384
2013-01-31,1.1144,0.2369,0.618,23.5883,0.2353,0.2353,4.5592,0.0105,-1.1529,2.2787,4.4482,14.1465,25.8015,-6.9717,-9.0782,-1.5429,-5.3205,10.9822,-4.4989,-4.5357
2012-02-29,1.1628,0.2785,0.5057,24.1635,4.8397,4.8397,9.5739,4.7649,-2.7081,2.8402,6.0152,19.8676,18.3717,32.6157,49.0865,8.8972,23.5333,12.7885,8.7931,6.7477
2011-02-28,1.2089,0.0888,0.2344,25.2096,4.7721,4.7721,6.7381,4.6857,2.567,2.7871,6.3093,21.187,17.2276,21.311,33.0287,8.7064,19.4177,18.5741,2.8571,1.0708
2010-02-28,1.1769,0.1368,0.2588,24.4542,4.8088,4.8088,6.6893,4.7296,2.6745,2.6906,6.7811,24.3777,14.9727,21.4676,34.3441,8.1685,18.53,16.6279,5.1602,3.7216
2009-02-28,0.9712,0.1792,0.3807,24.4319,4.1542,4.1542,5.9158,3.7765,2.2281,2.8444,7.157,24.098,15.1465,20.0349,37.1583,6.5272,16.4438,12.4636,4.4384,1.3573
