Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-09-30,2.4585,0.2166,0.393,49.9781,16.3314,16.3314,1.6834,-0.4591,0.0836,2.2356,40.258,,-0.1895,-0.0933,-0.1276,,0.0,0.0
2022-06-30,2.7494,0.2247,0.3936,48.8251,11.4776,11.4776,11.9973,12.2684,0.077,2.6841,33.5314,,1.8371,0.9166,1.2271,,-0.8529,-0.8529
2022-03-31,3.1015,0.2394,0.383,45.2923,9.1477,9.1477,-1.2494,-3.1236,0.0756,2.6871,33.494,,-0.3998,-0.1991,-0.2606,,0.8529,0.8529
2021-12-31,2.8637,0.2398,0.3831,47.7821,6.0924,6.0924,8.3747,6.4421,0.0911,3.0505,29.503,0.7172,0.8393,0.4091,0.5452,98.4598,8.978,4.1166
2021-09-30,2.9144,0.2543,0.4114,49.4752,7.2265,7.2265,-60.113,-51.8773,0.0831,3.3071,27.2144,,-9.3775,-4.5131,-5.9705,,0.0,0.0
2021-06-30,3.0854,0.2381,0.3497,49.2894,11.0402,11.0402,3.2956,-1.8538,0.0805,3.1162,28.8816,,-0.5748,-0.3002,-0.3797,,-1.8091,-1.8091
2021-03-31,2.8648,0.2063,0.3213,46.6698,9.9208,9.9208,94.4108,91.1737,0.0742,3.0476,29.5319,,12.2037,6.5976,8.4256,,1.8091,1.8091
2020-12-31,2.6809,0.2422,0.4002,51.0496,15.549,15.549,17.8339,17.0165,0.1056,3.7408,24.0591,2.6896,3.2122,1.5258,2.0381,86.3744,10.7663,8.5051
2020-09-30,2.6472,0.2376,0.3737,54.6417,21.8134,21.8134,53.343,48.4608,0.0897,3.3777,26.645,7.3659,8.8081,4.269,5.6158,,-4.2601,-3.6863
2020-06-30,2.8464,0.2578,0.4126,49.5522,14.0027,14.0027,15.441,13.7585,0.0855,3.1202,28.844,1.6357,1.9316,0.9166,1.214,,4.2601,3.6863
2020-03-31,2.9509,0.2589,0.4002,34.8618,-1.9472,-1.9472,-6.5327,0.1884,0.0754,2.3275,38.6683,-0.9849,-1.1583,-0.5589,-0.7299,69.5252,0.0,
2019-12-31,2.8851,0.2531,0.3888,46.4751,16.7526,16.7526,18.1774,21.7637,0.0941,3.1461,28.6072,2.8261,3.3335,1.6104,2.1108,71.3156,11.7185,9.0727
2019-09-30,2.5908,0.2608,0.4077,41.6646,8.3736,8.3736,-25.4009,-22.703,0.0927,3.6013,24.9911,-4.7943,-5.7532,-2.6645,-3.5439,67.9627,0.0,0.0
2019-06-30,2.61,0.2422,0.3732,38.8005,0.8866,0.8866,5.5802,9.1525,0.0853,3.1905,28.2086,0.5926,0.7017,0.3404,0.449,74.0802,0.0,0.0
2019-03-31,2.7573,0.2556,0.4021,38.5086,-3.8676,-3.8676,-0.1391,-1.3634,0.0781,3.3464,26.8948,-0.1864,-0.2216,-0.1064,-0.1388,75.1025,0.0,
2018-12-31,2.7279,0.2388,0.3708,40.783,1.1533,1.1533,-0.5274,3.8719,0.0778,3.4039,26.4401,-0.2333,-0.2772,-0.1372,-0.1776,72.8756,14.8731,11.2252
2018-09-30,2.6606,0.1925,0.2849,49.5869,15.7005,15.7005,47.6864,43.9528,0.1024,0.9801,91.8285,6.5932,7.7492,4.1389,5.3239,72.8942,0.0,0.0
2018-06-30,2.1917,0.2,0.3358,53.7502,20.8763,20.8763,23.7025,24.6496,0.0901,4.5984,19.5719,3.1357,3.6473,1.7585,2.5085,72.4602,0.0,0.0
2018-03-31,1.9997,0.2561,0.3966,52.6331,21.8491,21.8491,31.8936,32.018,0.0776,4.0322,22.3203,4.3503,5.2475,2.0589,3.2364,57.5244,0.0,
2017-12-31,1.8424,0.2308,0.365,51.0433,19.9226,19.9226,21.7308,17.8899,0.1039,5.5126,16.3261,3.9181,4.7678,1.8577,3.0139,52.6881,14.4598,12.3541
2017-09-30,1.7055,0.2511,0.5384,49.7595,20.0094,20.0094,38.5074,33.8414,0.0965,4.1058,21.9205,7.2779,8.9806,3.2647,5.4507,47.1395,0.0,0.0
2017-06-30,1.7044,0.2562,0.5258,49.3054,20.1686,20.1686,23.8287,21.1507,0.094,4.2238,21.3079,4.4715,5.6627,1.9851,3.3258,41.4682,0.0,0.0
2017-03-31,1.7698,0.2557,0.7258,45.3355,11.8742,11.8742,12.879,10.5186,0.0823,4.4297,20.3172,1.7756,2.2456,0.863,1.3215,41.7063,0.0,
2016-12-31,2.1639,0.272,0.4798,45.72,11.4337,11.4337,26.0015,24.3052,0.0842,3.4414,26.1518,4.0328,5.0937,2.0441,2.9358,38.2608,9.2236,7.4998
2016-09-30,2.7499,0.2884,0.45,49.2878,15.268,15.268,22.671,16.9965,0.1107,4.0273,22.3474,3.505,4.4962,1.875,2.4941,38.1548,0.0,0.0
2016-06-30,3.0646,0.3087,0.4607,52.1573,15.6945,15.6945,17.4953,13.2165,0.1149,4.3183,20.8417,2.8287,3.6305,1.5116,1.9555,37.5172,0.0,0.0
