Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,1.2459,0.5298,1.2636,78.039,16.7096,16.7096,38.9718,16.7096,13.707,0.4768,4.3339,4.6691,78.1731,20.3901,-24.5075,6.5534,9.5884,14.9966,-1.1307,-1.2181
2021-12-31,1.521,0.5238,1.2374,78.5707,17.4582,17.4582,40.4959,17.4582,15.0782,0.4243,4.7446,4.9509,73.7239,19.4801,-25.9557,6.4164,9.2764,16.7236,0.996,0.896
2020-12-31,1.5824,0.5606,1.3377,72.3106,-16.1602,-16.1602,8.253,-16.1602,-21.2028,0.3589,5.6765,5.0015,72.9777,-23.7448,25.0501,-7.5919,-10.4329,17.0563,1.4276,1.5825
2019-12-31,1.6037,0.4563,0.904,69.1031,19.0285,19.0285,25.7066,19.0285,13.1536,0.2012,1.8817,3.4021,107.2872,6.6927,-9.9543,2.6627,3.6388,23.2038,0.4792,0.5717
2018-12-31,1.6629,0.2855,0.5202,71.3355,26.4527,26.4527,29.2762,26.4527,21.8075,0.6449,5.4117,3.9257,92.977,35.0181,76.1311,14.1399,25.019,8.6989,1.1233,1.181
2017-12-31,1.5533,0.3706,0.6721,71.0531,24.6968,24.6968,28.4944,24.6968,4.8469,0.6192,5.1578,3.2978,110.6806,8.2299,25.8347,2.906,5.1801,7.2905,1.3729,1.4575
2016-12-31,1.5501,0.2591,0.4104,74.4222,30.4473,30.4473,32.4137,30.4473,22.9423,0.5763,4.004,3.5048,104.1435,27.5708,55.7314,13.3711,20.4279,9.8239,0.5665,0.3317
2015-12-31,1.2991,0.3123,0.4637,76.3949,12.5423,12.5423,14.8128,12.5423,9.4505,0.5216,3.2015,3.8521,94.7545,11.3075,26.6329,5.1373,7.7763,8.6839,-0.6313,-0.8048
2014-12-31,1.7265,0.3258,0.5227,75.2377,14.9947,14.9947,17.9356,14.9947,12.6204,0.4705,2.5205,4.6841,77.9237,13.542,32.71,6.012,9.1294,9.0641,-0.248,-0.2398
2013-12-31,1.5206,0.3438,0.5474,71.8096,17.6442,17.6442,22.3009,17.6442,15.6424,0.4246,3.0834,4.8765,74.849,16.9336,44.3147,6.6853,11.1126,9.2846,-1.979,-1.9774
2012-12-31,1.15,0.3251,0.5422,73.838,23.665,23.665,29.1868,13.2796,11.1174,0.4909,2.7821,5.7155,63.861,18.3385,-90.1261,6.9672,12.3775,8.3669,1.2931,1.1822
2011-12-31,1.9689,0.2531,0.3461,73.649,32.861,32.861,35.8172,32.861,17.4214,0.6443,4.0448,5.6757,64.3097,33.1506,73.4945,15.9539,24.7611,9.4166,0.2184,0.2501
2010-12-31,1.9696,0.2541,0.3482,72.9162,31.1589,31.1589,34.2743,31.1589,15.8592,0.627,4.3829,5.5989,65.192,28.8592,64.1507,14.5225,21.5253,9.2042,0.5454,0.3874
2009-12-31,2.211,0.2931,0.4302,72.6712,28.2858,28.2858,32.0449,29.7852,56.3271,0.6066,3.6377,5.9444,61.4026,29.8952,65.9505,14.2544,21.1332,8.6513,2.0551,1.9676
