Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-09-30,1.2867,0.8214,4.6439,19.8407,7.5038,7.5038,6.4194,4.7912,0.4612,5.4481,1.2343,72.918,22.4585,-6.5783,2.2099,4.0102,9.8004,2.416,2.1719
2022-06-30,1.2999,0.8542,5.9545,19.0081,7.0829,7.0829,6.1375,4.5446,0.4501,4.8795,1.2445,72.3201,25.2486,-5.7946,2.0457,3.681,8.182,2.7779,2.6152
2022-03-31,1.2573,0.8794,7.3885,18.5591,6.5035,6.5035,5.5538,4.2057,0.4402,4.5942,1.1749,76.5993,28.0148,-4.9369,1.8514,3.3775,6.6107,2.7857,2.4835
2021-12-31,1.2712,0.9054,9.7187,17.62,6.128,6.128,5.1888,3.8885,0.4195,4.9173,1.122,80.2147,30.5087,-4.0582,1.6311,2.8855,5.2352,1.0169,0.7801
2021-09-30,1.3806,0.8283,4.8581,17.2623,7.2906,7.2906,6.6113,5.0302,0.5881,5.1932,1.34,67.1655,31.8519,-10.7896,2.9584,5.4691,6.1454,2.1334,1.9302
2021-06-30,1.4381,0.7885,3.7462,17.1537,7.1875,7.1875,7.2128,5.3261,0.5724,4.7976,1.3538,66.4787,26.1346,-12.629,3.0486,5.5284,7.5835,0.0259,-0.1012
2021-03-31,1.4746,0.7697,3.3587,16.4382,6.6853,6.6853,5.9721,4.8083,0.5343,5.4252,1.3324,67.5479,19.8752,-11.2841,2.5692,4.5775,8.3355,2.4081,2.2635
2020-12-31,1.5272,0.7483,3.0277,17.7737,6.7027,6.7027,5.9521,4.8081,0.5304,5.3622,1.3798,65.2292,18.3718,-13.6648,2.5501,4.6241,9.1409,3.9773,3.8087
2020-09-30,1.5012,0.757,3.1739,17.3556,6.6815,6.6815,5.2582,4.0619,0.5157,6.0653,1.2954,69.4773,15.5995,-10.7531,2.0946,3.7904,8.673,1.5249,1.2953
2020-06-30,1.4701,0.7853,3.6941,17.1152,6.4915,6.4915,5.6211,4.3315,0.499,5.208,1.2905,69.7393,17.914,-9.6019,2.1613,3.8457,7.4025,2.0355,1.5178
2020-03-31,1.2793,0.7944,3.9027,17.2355,5.6001,5.6001,4.8255,3.8253,0.5338,5.405,1.222,73.6515,18.8715,-7.7018,2.042,3.8792,6.2523,1.539,1.3637
2019-12-31,1.2414,0.7737,3.4544,17.1373,6.2554,6.2554,5.2018,4.0909,0.5672,6.1509,1.3354,67.3934,19.3273,-8.4873,2.3202,4.3737,6.7154,2.3147,1.2255
